                                                                                                                               fitsfile                                                                FITSNAME PHOTCODE       MJD-OBS SSSIG00 SSSCAT00 FSIG00 FSCAT00  X2NRM00                                                                                                TARGET                                                                                           TEMPLATE KSUM00     SKYSIG   DSGDNSIG                                                                                               IM_dcmp                                                                                          TMPL_dcmp    IM_FWHM IM_M5SIGMA IM_EXPTIME IM_MAGZERO IM_ZPTMAG IM_UFZPTMAG IM_ZPTNSTAR TMPL_FWHM TMPL_M5SIGMA TMPL_EXPTIME TMPL_MAGZERO TMPL_ZPTMAG TMPL_UFZPTMAG TMPL_ZPTNSTAR
 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/54/ec0915.170701.657443_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits  ec0915.170701.657443_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits 0x365014  57935.017948  0.6903   0.1123 1.2054  0.1956   7.7242  /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.170701.657443_ooi_r_v1_N22.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160305.523436_ooi_r_v1_N22.sw.fits 0.9638  18.300049   1.371792  /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.170701.657443_ooi_r_v1_N22.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160305.523436_ooi_r_v1_N22.sw.dcmp   3.119315    23.0493      100.0    30.1828   30.1828     30.1828        4956  2.788432       23.156        100.0      30.2751     30.2751       30.2751          4767
 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/54/ec0915.160804.559651_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits  ec0915.160804.559651_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits 0x365015  57604.978412  0.6571   0.0453 1.2298  0.0835   2.2002  /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.160804.559651_ooi_i_v1_N22.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160305.523435_ooi_i_v1_N22.sw.fits 1.0381  16.399902     1.6811  /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.160804.559651_ooi_i_v1_N22.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160305.523435_ooi_i_v1_N22.sw.dcmp   4.006022    22.9396      100.0    30.2257   30.2257     30.2257        6145  2.536884      23.3728        100.0      30.1496     30.1496       30.1496          6210
/astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/54/ec0915.251019.1427078_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits ec0915.251019.1427078_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits 0x365013   60967.36389  1.2749   0.1636 2.0964  0.2753   6.1430 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.251019.1427078_ooi_g_v1_N22.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160306.523730_ooi_g_v1_N22.sw.fits 1.0862  11.399902       None /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.251019.1427078_ooi_g_v1_N22.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160306.523730_ooi_g_v1_N22.sw.dcmp   4.972261    23.4334      200.0    30.5593   30.5593     30.5593        2872  3.010413      24.0855        200.0      30.4687     30.4687       30.4687          3019
/astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/54/ec0915.250623.1399252_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits ec0915.250623.1399252_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits 0x365014  60849.978693  0.6386   0.1047 1.6921  0.2881  25.5675 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.250623.1399252_ooi_r_v1_N22.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160305.523436_ooi_r_v1_N22.sw.fits 1.0191  14.600098   2.282707 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.250623.1399252_ooi_r_v1_N22.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160305.523436_ooi_r_v1_N22.sw.dcmp    4.26537    23.0716      100.0    30.2996   30.2996     30.2996        4511  2.788432       23.156        100.0      30.2751     30.2751       30.2751          4767
 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/54/ec0915.130420.199842_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits  ec0915.130420.199842_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits 0x365015  56402.980332  0.9004   0.0590 1.2688  0.0924   4.1853  /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.130420.199842_ooi_i_v1_N22.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160305.523435_ooi_i_v1_N22.sw.fits 0.8909       24.5   1.449531  /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.130420.199842_ooi_i_v1_N22.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160305.523435_ooi_i_v1_N22.sw.dcmp   3.702907    22.4629      100.0    30.0994   30.0994     30.0994        7318  2.536884      23.3728        100.0      30.1496     30.1496       30.1496          6210
/astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/54/ec0915.241223.1349696_ooi_z_v1_N22_160306.523733_ooi_z_v1_N22.diff.fits ec0915.241223.1349696_ooi_z_v1_N22_160306.523733_ooi_z_v1_N22.diff.fits 0x365016  60667.338109  1.1360   0.3906 2.3919  0.8385  13.6064 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.241223.1349696_ooi_z_v1_N22.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160306.523733_ooi_z_v1_N22.sw.fits 0.5391  22.600098       None /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.241223.1349696_ooi_z_v1_N22.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160306.523733_ooi_z_v1_N22.sw.dcmp   2.674525    23.0354      100.0    30.2311   30.2311     30.2311        9616  2.415578      23.6735        200.0      30.9149     30.9149       30.9149          5519
/astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/54/ec0915.250524.1389977_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits ec0915.250524.1389977_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits 0x365013  60819.976568  1.9507   0.3398 2.7467  0.5407 120.1489 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.250524.1389977_ooi_g_v1_N22.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160306.523730_ooi_g_v1_N22.sw.fits 1.1985   9.399902       None /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.250524.1389977_ooi_g_v1_N22.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160306.523730_ooi_g_v1_N22.sw.dcmp   3.163597     24.158      200.0    30.5835   30.5835     30.5835        3118  3.010413      24.0855        200.0      30.4687     30.4687       30.4687          3019
/astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/54/ec0915.251230.1445378_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits ec0915.251230.1445378_ooi_r_v1_N22_160305.523436_ooi_r_v1_N22.diff.fits 0x365014   61039.19569  1.0923   0.1226 2.0624  0.2277   8.4481 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.251230.1445378_ooi_r_v1_N22.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160305.523436_ooi_r_v1_N22.sw.fits 1.2338  19.899902       None /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.251230.1445378_ooi_r_v1_N22.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160305.523436_ooi_r_v1_N22.sw.dcmp   4.404249    22.8805      100.0    30.4796   30.4796     30.4796        4409  2.788432       23.156        100.0      30.2751     30.2751       30.2751          4767
/astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/54/ec0915.230202.1169866_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits ec0915.230202.1169866_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits 0x365015  59977.177475  0.9991   0.1786 1.4455  0.2686   5.9464 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.230202.1169866_ooi_i_v1_N22.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160305.523435_ooi_i_v1_N22.sw.fits 0.9932  21.699951   1.848313 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.230202.1169866_ooi_i_v1_N22.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160305.523435_ooi_i_v1_N22.sw.dcmp   3.126218    22.8642      100.0    30.1851   30.1851     30.1851        6024  2.536884      23.3728        100.0      30.1496     30.1496       30.1496          6210
 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/54/ec0915.201024.948166_ooi_z_v1_N22_160306.523733_ooi_z_v1_N22.diff.fits  ec0915.201024.948166_ooi_z_v1_N22_160306.523733_ooi_z_v1_N22.diff.fits 0x365016  59146.349303  0.8026   0.0716 1.2134  0.1124  16.2464  /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.201024.948166_ooi_z_v1_N22.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160306.523733_ooi_z_v1_N22.sw.fits 1.1096   35.80005   2.100719  /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/54/ec0915.201024.948166_ooi_z_v1_N22.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/54/ec0915.160306.523733_ooi_z_v1_N22.sw.dcmp     4.4006    22.8066      200.0    31.0423   31.0423     31.0423        8526  2.415578      23.6735        200.0      30.9149     30.9149       30.9149          5519
