JD,Filter,mag,magunc
2459083.985,ZTF_g,20.94,0.22
2459084.968,ZTF_g,20.89,0.16
2459084.997,ZTF_r,19.87,0.08
2459085.002,ZTF_r,19.95,0.08
2459085.1,ATLAS-c,20.36,0.23
2459085.953,ZTF_g,21.23,0.25
2459085.975,ZTF_r,19.99,0.08
2459086.932,ZTF_r,19.96,0.09
2459086.942,ZTF_r,20.03,0.09
2459086.993,ZTF_g,21.31,0.24
2459087.014,ZTF_g,20.57,0.25
2459087.05,ATLAS-o,19.87,0.13
2459087.994,ZTF_g,21.03,0.22
2459088.928,ZTF_r,19.91,0.11
2459089.007,ZTF_g,20.92,0.25
2459089.07,ATLAS-c,20.41,-99.0
2459089.966,ZTF_r,20.05,0.13
2459089.989,ZTF_g,20.85,0.17
2459090.893,ZTF_g,20.8,0.24
2459090.976,ZTF_r,20.11,0.1
2459091.06,ATLAS-o,20.07,0.16
2459091.978,ZTF_r,19.96,0.08
2459093.992,ZTF_r,20.15,0.19
2459095.909,ZTF_r,20.18,0.24
2459096.851,ZTF_r,20.21,0.21
2459101.1,ATLAS-o,19.85,0.17
2459103.05,ATLAS-o,19.94,0.17
2459105.06,ATLAS-o,20.08,0.13
2459107.0,ZTF_g,20.93,0.24
2459107.02,ATLAS-o,20.31,0.18
2459107.896,ZTF_g,21.13,0.27
2459107.904,ZTF_g,20.96,0.21
2459107.931,ZTF_r,19.94,0.11
2459109.901,ZTF_r,19.98,0.12
2459110.951,ZTF_r,20.04,0.12
2459110.964,ZTF_r,20.05,0.12
2459111.007,ZTF_g,21.03,0.2
2459112.892,ZTF_r,19.98,0.08
2459113.91,ZTF_g,21.5,0.29
2459113.928,ZTF_r,20.08,0.09
2459114.914,ZTF_r,20.12,0.11
2459114.99,ATLAS-o,20.33,0.21
2459115.846,ZTF_r,20.4,0.15
2459116.874,ZTF_r,20.03,0.08
2459116.93,ZTF_r,20.1,0.1
2459117.01,ZTF_g,21.13,0.19
2459117.891,ZTF_r,20.26,0.1
2459118.833,ZTF_r,19.95,0.1
2459118.966,ZTF_g,21.53,0.28
2459118.99,ATLAS-o,20.2,0.21
2459119.848,ZTF_g,20.84,0.27
2459119.967,ZTF_r,20.2,0.09
2459121.1,ATLAS-o,20.43,0.25
2459122.888,ZTF_r,20.18,0.19
2459123.02,ATLAS-o,20.23,0.31
2459124.815,ZTF_r,20.15,0.25
2459125.979,ZTF_r,20.48,0.27
2459126.851,ZTF_r,20.11,0.21
2459131.0,ATLAS-o,20.08,-99.0
2459133.09,ATLAS-o,20.79,0.35
2459135.03,ATLAS-o,20.23,-99.0
2459136.98,ATLAS-c,20.46,-99.0
2459140.98,ATLAS-c,20.14,-99.0
2459142.93,ATLAS-o,20.55,-99.0
2459144.93,ATLAS-c,20.55,-99.0
2459147.01,ATLAS-o,20.63,-99.0
2459162.96,ATLAS-o,20.19,-99.0
2459170.96,ATLAS-o,20.43,-99.0
2459178.98,ATLAS-o,20.19,-99.0
2459189.9,ATLAS-o,20.25,-99.0
2459190.84,ATLAS-o,20.49,-99.0
2459191.88,ATLAS-c,20.32,-99.0
2459192.82,ATLAS-c,20.52,-99.0
2459194.9,ATLAS-c,20.57,-99.0
2459200.86,ATLAS-c,20.41,-99.0
2459206.85,ATLAS-o,20.08,-99.0
2459217.91,ATLAS-o,20.06,-99.0
2459218.89,ATLAS-o,20.12,-99.0
2459219.9,ATLAS-c,20.08,-99.0
2459220.81,ATLAS-c,20.49,-99.0
2459222.81,ATLAS-c,20.62,-99.0
2459226.84,ATLAS-c,20.62,-99.0
2459228.88,ATLAS-c,20.18,-99.0
2459230.79,ATLAS-c,20.55,-99.0
2459245.75,ATLAS-o,20.25,-99.0
2459246.78,ATLAS-o,20.55,-99.0
2459250.79,ATLAS-c,20.45,-99.0
2459252.81,ATLAS-c,20.59,-99.0
2459254.79,ATLAS-c,20.58,-99.0
2459256.76,ATLAS-c,20.63,-99.0
2459258.8,ATLAS-c,20.82,-99.0
2459262.75,ATLAS-o,20.55,-99.0
2459415.1,ATLAS-o,20.19,-99.0
2459433.11,ATLAS-o,20.1,-99.0
2459435.12,ATLAS-c,20.46,-99.0
2459437.11,ATLAS-o,20.14,-99.0
2459439.11,ATLAS-c,20.62,-99.0
2459443.11,ATLAS-c,20.72,-99.0
2459447.08,ATLAS-o,20.19,-99.0
2459453.06,ATLAS-o,20.02,-99.0
2459455.12,ATLAS-o,20.02,-99.0
2459457.06,ATLAS-o,20.11,-99.0
2459459.04,ATLAS-o,20.05,-99.0
2459463.04,ATLAS-o,20.75,-99.0
2459465.08,ATLAS-c,20.49,-99.0
2459469.05,ATLAS-c,20.58,-99.0
2459470.91,ATLAS-o,20.0,-99.0
2459473.03,ATLAS-c,20.55,-99.0
2459489.13,ATLAS-o,20.14,-99.0
2459493.07,ATLAS-o,20.47,-99.0
2459498.99,ATLAS-o,20.12,-99.0
2459501.01,ATLAS-o,20.51,-99.0
2459519.01,ATLAS-o,20.16,-99.0
2459521.98,ATLAS-o,20.1,-99.0
2459523.97,ATLAS-c,20.35,-99.0
2459524.96,ATLAS-c,20.18,-99.0
2459525.88,ATLAS-o,20.02,-99.0
2459544.86,ATLAS-o,20.28,-99.0
2459546.92,ATLAS-o,20.47,-99.0
2459550.93,ATLAS-o,20.12,-99.0
2459573.83,ATLAS-o,20.02,-99.0
2459574.85,ATLAS-o,20.02,-99.0
2459588.86,ATLAS-o,20.06,-99.0
2459605.83,ATLAS-o,20.3,-99.0
