a57
1385994
659070
843679
1410881
1383215
862063
1259530
331082
1437418
1176172
1404549
546818
296581
1410887
546817
1109195
337821
296580
331929
341669
1428880
1410883
1443005
843678
659069
1437420
331077
862062
1383217
320231
301624
443411
1273642
1347662
443409
337816
1116931
331034
1383214
646134
743628
1337635
659071
1105609
646136
443455
646164
341659
336059
646111
1115459
320221
1305576
646109
1045391
1227844
646166
646186
843685
1425140
331924
862064
1094434
1087190
843684
1224837
927464
646184
301622
296582
1453485
646137
1410882
1457391
320269
1443004
659072
1262443
646135
443412
1456626
443410
301625
1383216
1440481
646185
301623
1425142
648399
1404550
1462557
1046077
862065
1460664
337810
1312960
1428879
646187
1405097
331029
646112
443456
843693
646167
1298809
429230
843692
1470386
879486
646110
443454
646165
