                                                                                                                               fitsfile                                                                FITSNAME PHOTCODE       MJD-OBS SSSIG00 SSSCAT00 FSIG00 FSCAT00  X2NRM00                                                                                                TARGET                                                                                           TEMPLATE KSUM00     SKYSIG  DSGDNSIG                                                                                               IM_dcmp                                                                                          TMPL_dcmp    IM_FWHM IM_M5SIGMA IM_EXPTIME IM_MAGZERO IM_ZPTMAG IM_UFZPTMAG IM_ZPTNSTAR TMPL_FWHM TMPL_M5SIGMA TMPL_EXPTIME TMPL_MAGZERO TMPL_ZPTMAG TMPL_UFZPTMAG TMPL_ZPTNSTAR
/astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/57/ec0915.211122.1054598_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits ec0915.211122.1054598_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits 0x395016   59540.35959  0.6476   0.0403 1.0920  0.0668   2.2925 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.211122.1054598_ooi_z_v1_N26.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160306.523733_ooi_z_v1_N26.sw.fits 0.5872       34.0      None /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.211122.1054598_ooi_z_v1_N26.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160306.523733_ooi_z_v1_N26.sw.dcmp   4.039769    22.2509      100.0    30.3377   30.3377     30.3377       11965  2.446302      23.5986        200.0      30.9301     30.9301       30.9301          8550
/astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/57/ec0915.250428.1382406_ooi_i_v1_N26_160305.523435_ooi_i_v1_N26.diff.fits ec0915.250428.1382406_ooi_i_v1_N26_160305.523435_ooi_i_v1_N26.diff.fits 0x395015  60793.068684  0.6777   0.0686 1.2199  0.1257   3.4696 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.250428.1382406_ooi_i_v1_N26.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160305.523435_ooi_i_v1_N26.sw.fits 1.0472  17.800049      None /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.250428.1382406_ooi_i_v1_N26.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160305.523435_ooi_i_v1_N26.sw.dcmp   3.628558    22.8775      100.0    30.1452   30.1452     30.1452        9364   2.56959      23.3077        100.0      30.1507     30.1507       30.1507          9771
 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/57/ec0915.201123.957178_ooi_g_v1_N26_160306.523730_ooi_g_v1_N26.diff.fits  ec0915.201123.957178_ooi_g_v1_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x395013   59176.30012  0.7302   0.0614 1.3251  0.1137   2.0796  /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.201123.957178_ooi_g_v1_N26.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160306.523730_ooi_g_v1_N26.sw.fits 1.1417  12.399902      None  /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.201123.957178_ooi_g_v1_N26.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160306.523730_ooi_g_v1_N26.sw.dcmp   5.103208    23.3899      200.0    30.6353   30.6353     30.6353        5919  3.170994      23.8373        200.0      30.4937     30.4937       30.4937          6320
/astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/57/ec0915.260217.1457392_ooi_g_v1_N26_160306.523730_ooi_g_v1_N26.diff.fits ec0915.260217.1457392_ooi_g_v1_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x395013  61088.108397  0.8764   0.0970 1.7583  0.2169   3.3643 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.260217.1457392_ooi_g_v1_N26.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160306.523730_ooi_g_v1_N26.sw.fits 1.1483       11.0  2.304336 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.260217.1457392_ooi_g_v1_N26.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160306.523730_ooi_g_v1_N26.sw.dcmp   4.974778    23.5299      200.0    30.6176   30.6176     30.6176        6175  3.170994      23.8373        200.0      30.4937     30.4937       30.4937          6320
    /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/57/ec0915.140118.275418_ooi_i_N26_160305.523435_ooi_i_v1_N26.diff.fits     ec0915.140118.275418_ooi_i_N26_160305.523435_ooi_i_v1_N26.diff.fits 0x395015  56675.365379  0.9450   0.0644 1.3368  0.0969   2.5985     /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.140118.275418_ooi_i_N26.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160305.523435_ooi_i_v1_N26.sw.fits 0.9630  25.199951      None     /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.140118.275418_ooi_i_N26.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160305.523435_ooi_i_v1_N26.sw.dcmp    3.39453    22.5589      100.0    30.1316   30.1316     30.1316        9536   2.56959      23.3077        100.0      30.1507     30.1507       30.1507          9771
/astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/57/ec0915.240128.1271733_ooi_i_v1_N26_160305.523435_ooi_i_v1_N26.diff.fits ec0915.240128.1271733_ooi_i_v1_N26_160305.523435_ooi_i_v1_N26.diff.fits 0x395015  60337.238157  0.7350   0.0472 1.1059  0.0730   2.6796 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.240128.1271733_ooi_i_v1_N26.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160305.523435_ooi_i_v1_N26.sw.fits 0.9936       23.0      None /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.240128.1271733_ooi_i_v1_N26.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160305.523435_ooi_i_v1_N26.sw.dcmp   3.597005    22.5941      100.0    30.1306   30.1306     30.1306        9131   2.56959      23.3077        100.0      30.1507     30.1507       30.1507          9771
 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/57/ec0915.190330.843682_ooi_r_v1_N26_160305.523436_ooi_r_v1_N26.diff.fits  ec0915.190330.843682_ooi_r_v1_N26_160305.523436_ooi_r_v1_N26.diff.fits 0x395014  58572.195989  0.6613   0.0491 0.9308  0.0710   4.4813  /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.190330.843682_ooi_r_v1_N26.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160305.523436_ooi_r_v1_N26.sw.fits 1.8412  30.100098  1.768411  /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.190330.843682_ooi_r_v1_N26.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160305.523436_ooi_r_v1_N26.sw.dcmp   5.035109    22.7167      300.0    30.9104   30.9104     30.9104        6584  2.782884       23.124        100.0      30.2985     30.2985       30.2985          9802
/astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/57/ec0915.250515.1385479_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits ec0915.250515.1385479_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits 0x395016  60810.077121  0.7617   0.0578 1.2605  0.1051   2.4774 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.250515.1385479_ooi_z_v1_N26.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160306.523733_ooi_z_v1_N26.sw.fits 0.4638       33.0      None /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.250515.1385479_ooi_z_v1_N26.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160306.523733_ooi_z_v1_N26.sw.dcmp   2.717708    22.4368      100.0    30.0609   30.0609     30.0609       13954  2.446302      23.5986        200.0      30.9301     30.9301       30.9301          8550
/astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/57/ec0915.250215.1365185_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits ec0915.250215.1365185_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits 0x395016  60721.201826  0.5662   0.0595 1.2726  0.1385   4.1765 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.250215.1365185_ooi_z_v1_N26.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160306.523733_ooi_z_v1_N26.sw.fits 0.5369  22.600098      None /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.250215.1365185_ooi_z_v1_N26.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160306.523733_ooi_z_v1_N26.sw.dcmp   2.701689    22.9911      100.0    30.1977   30.1977     30.1977       13987  2.446302      23.5986        200.0      30.9301     30.9301       30.9301          8550
/astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915_tmpl/57/ec0915.220123.1075209_ooi_i_v1_N26_160305.523435_ooi_i_v1_N26.diff.fits ec0915.220123.1075209_ooi_i_v1_N26_160305.523435_ooi_i_v1_N26.diff.fits 0x395015  59602.269816  0.6784   0.0530 1.1159  0.0871   2.5563 /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.220123.1075209_ooi_i_v1_N26.sw.fits /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160305.523435_ooi_i_v1_N26.sw.fits 1.0511       19.5      None /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/ec0915/57/ec0915.220123.1075209_ooi_i_v1_N26.sw.dcmp /astro/armin/data/v20.0/DECAMNOAO/LEec/workspace/tmpl/57/ec0915.160305.523435_ooi_i_v1_N26.sw.dcmp   3.414592    22.9043      100.0     30.205    30.205      30.205        9605   2.56959      23.3077        100.0      30.1507     30.1507       30.1507          9771
