# SDSS (AB)                                                       
#  filters spectra  num Av  num Rv version
#        5     902      13       1       2
# lgTef  logg  Fe_H a_Fe   Av   Rv               SDSS_u               SDSS_g               SDSS_r               SDSS_i               SDSS_z
3.17750  5.00  0.00  0.0 0.00 3.10             -16.5037             -10.2439              -6.3847              -4.1552              -2.5035
3.17750  5.50  0.00  0.0 0.00 3.10             -16.5037             -10.2439              -6.3847              -4.1552              -2.5035
3.17750  6.00  0.00  0.0 0.00 3.10             -16.5037             -10.2439              -6.3847              -4.1552              -2.5035
3.17750  6.50  0.00  0.0 0.00 3.10              -5.2949              -0.5203               1.3248              -0.4579              -0.1451
3.17750  7.00  0.00  0.0 0.00 3.10              -4.8845              -0.1917               1.4335              -0.6115              -0.2913
3.17750  7.50  0.00  0.0 0.00 3.10              -4.4973               0.0170               1.4513              -0.6900              -0.3417
3.17750  8.00  0.00  0.0 0.00 3.10              -4.0938               0.2307               1.4980              -0.6535              -0.2913
3.17750  8.50  0.00  0.0 0.00 3.10              -3.6525               0.4809               1.5938              -0.5156              -0.1473
3.17750  9.00  0.00  0.0 0.00 3.10              -3.2646               0.5576               1.6257              -0.2827               0.0910
3.17750  9.50  0.00  0.0 0.00 3.10              -2.1578               1.6502               2.5259              -0.0192               0.3187
3.17998 -1.00  0.00  0.0 0.00 3.10             -16.3605             -10.1448              -6.3108              -4.0978              -2.4595
3.17998 -0.50  0.00  0.0 0.00 3.10             -16.3605             -10.1448              -6.3108              -4.0978              -2.4595
3.17998  0.00  0.00  0.0 0.00 3.10             -16.3605             -10.1448              -6.3108              -4.0978              -2.4595
3.17998  0.50  0.00  0.0 0.00 3.10             -16.3605             -10.1448              -6.3108              -4.0978              -2.4595
3.17998  1.00  0.00  0.0 0.00 3.10             -16.3605             -10.1448              -6.3108              -4.0978              -2.4595
3.17998  1.50  0.00  0.0 0.00 3.10             -16.3605             -10.1448              -6.3108              -4.0978              -2.4595
3.17998  2.00  0.00  0.0 0.00 3.10             -16.3605             -10.1448              -6.3108              -4.0978              -2.4595
3.17998  2.50  0.00  0.0 0.00 3.10             -16.3605             -10.1448              -6.3108              -4.0978              -2.4595
3.17998  3.00  0.00  0.0 0.00 3.10             -16.3605             -10.1448              -6.3108              -4.0978              -2.4595
3.17998  3.50  0.00  0.0 0.00 3.10             -16.3605             -10.1448              -6.3108              -4.0978              -2.4595
3.17998  4.00  0.00  0.0 0.00 3.10             -16.3605             -10.1448              -6.3108              -4.0978              -2.4595
3.17998  4.50  0.00  0.0 0.00 3.10             -16.3605             -10.1448              -6.3108              -4.0978              -2.4595
3.17998  5.00  0.00  0.0 0.00 3.10             -16.3605             -10.1448              -6.3108              -4.0978              -2.4595
3.17998  5.50  0.00  0.0 0.00 3.10             -16.3605             -10.1448              -6.3108              -4.0978              -2.4595
3.17998  6.00  0.00  0.0 0.00 3.10             -16.3605             -10.1448              -6.3108              -4.0978              -2.4595
3.17998  6.50  0.00  0.0 0.00 3.10              -5.2938              -0.5271               1.3200              -0.4417              -0.1321
3.17998  7.00  0.00  0.0 0.00 3.10              -4.8830              -0.2002               1.4289              -0.5941              -0.2777
3.17998  7.50  0.00  0.0 0.00 3.10              -4.4988               0.0072               1.4475              -0.6728              -0.3287
3.17998  8.00  0.00  0.0 0.00 3.10              -4.0981               0.2195               1.4939              -0.6383              -0.2802
3.17998  8.50  0.00  0.0 0.00 3.10              -3.6596               0.4673               1.5886              -0.5027              -0.1389
3.17998  9.00  0.00  0.0 0.00 3.10              -3.2727               0.5395               1.6165              -0.2729               0.0960
3.17998  9.50  0.00  0.0 0.00 3.10              -2.1923               1.6190               2.5014              -0.0115               0.3223
3.18407 -1.00  0.00  0.0 0.00 3.10             -16.1562             -10.0046              -6.2079              -4.0190              -2.4002
3.18407 -0.50  0.00  0.0 0.00 3.10             -16.1562             -10.0046              -6.2079              -4.0190              -2.4002
3.18407  0.00  0.00  0.0 0.00 3.10             -16.1562             -10.0046              -6.2079              -4.0190              -2.4002
3.18407  0.50  0.00  0.0 0.00 3.10             -16.1562             -10.0046              -6.2079              -4.0190              -2.4002
3.18407  1.00  0.00  0.0 0.00 3.10             -16.1562             -10.0046              -6.2079              -4.0190              -2.4002
3.18407  1.50  0.00  0.0 0.00 3.10             -16.1562             -10.0046              -6.2079              -4.0190              -2.4002
3.18407  2.00  0.00  0.0 0.00 3.10             -16.1562             -10.0046              -6.2079              -4.0190              -2.4002
3.18407  2.50  0.00  0.0 0.00 3.10             -16.1562             -10.0046              -6.2079              -4.0190              -2.4002
3.18407  3.00  0.00  0.0 0.00 3.10             -16.1562             -10.0046              -6.2079              -4.0190              -2.4002
3.18407  3.50  0.00  0.0 0.00 3.10             -16.1562             -10.0046              -6.2079              -4.0190              -2.4002
3.18407  4.00  0.00  0.0 0.00 3.10             -16.1562             -10.0046              -6.2079              -4.0190              -2.4002
3.18407  4.50  0.00  0.0 0.00 3.10             -16.1562             -10.0046              -6.2079              -4.0190              -2.4002
3.18407  5.00  0.00  0.0 0.00 3.10             -16.1562             -10.0046              -6.2079              -4.0190              -2.4002
3.18407  5.50  0.00  0.0 0.00 3.10             -16.1562             -10.0046              -6.2079              -4.0190              -2.4002
3.18407  6.00  0.00  0.0 0.00 3.10             -16.1562             -10.0046              -6.2079              -4.0190              -2.4002
3.18407  6.50  0.00  0.0 0.00 3.10              -5.2918              -0.5384               1.3121              -0.4150              -0.1107
3.18407  7.00  0.00  0.0 0.00 3.10              -4.8805              -0.2143               1.4215              -0.5653              -0.2552
3.18407  7.50  0.00  0.0 0.00 3.10              -4.5014              -0.0088               1.4413              -0.6442              -0.3073
3.18407  8.00  0.00  0.0 0.00 3.10              -4.1052               0.2009               1.4871              -0.6132              -0.2618
3.18407  8.50  0.00  0.0 0.00 3.10              -3.6715               0.4449               1.5799              -0.4812              -0.1252
3.18407  9.00  0.00  0.0 0.00 3.10              -3.2862               0.5096               1.6014              -0.2568               0.1041
3.18407  9.50  0.00  0.0 0.00 3.10              -2.2493               1.5674               2.4609               0.0012               0.3281
3.19003 -1.00  0.00  0.0 0.00 3.10             -15.8603              -9.8016              -6.0590              -3.9051              -2.3146
3.19003 -0.50  0.00  0.0 0.00 3.10             -15.8603              -9.8016              -6.0590              -3.9051              -2.3146
3.19003  0.00  0.00  0.0 0.00 3.10             -15.8603              -9.8016              -6.0590              -3.9051              -2.3146
3.19003  0.50  0.00  0.0 0.00 3.10             -15.8603              -9.8016              -6.0590              -3.9051              -2.3146
3.19003  1.00  0.00  0.0 0.00 3.10             -15.8603              -9.8016              -6.0590              -3.9051              -2.3146
3.19003  1.50  0.00  0.0 0.00 3.10             -15.8603              -9.8016              -6.0590              -3.9051              -2.3146
3.19003  2.00  0.00  0.0 0.00 3.10             -15.8603              -9.8016              -6.0590              -3.9051              -2.3146
3.19003  2.50  0.00  0.0 0.00 3.10             -15.8603              -9.8016              -6.0590              -3.9051              -2.3146
3.19003  3.00  0.00  0.0 0.00 3.10             -15.8603              -9.8016              -6.0590              -3.9051              -2.3146
3.19003  3.50  0.00  0.0 0.00 3.10             -15.8603              -9.8016              -6.0590              -3.9051              -2.3146
3.19003  4.00  0.00  0.0 0.00 3.10             -15.8603              -9.8016              -6.0590              -3.9051              -2.3146
3.19003  4.50  0.00  0.0 0.00 3.10             -15.8603              -9.8016              -6.0590              -3.9051              -2.3146
3.19003  5.00  0.00  0.0 0.00 3.10             -15.8603              -9.8016              -6.0590              -3.9051              -2.3146
3.19003  5.50  0.00  0.0 0.00 3.10             -15.8603              -9.8016              -6.0590              -3.9051              -2.3146
3.19003  6.00  0.00  0.0 0.00 3.10             -15.8603              -9.8016              -6.0590              -3.9051              -2.3146
3.19003  6.50  0.00  0.0 0.00 3.10              -5.2890              -0.5548               1.3005              -0.3761              -0.0794
3.19003  7.00  0.00  0.0 0.00 3.10              -4.8768              -0.2348               1.4106              -0.5233              -0.2224
3.19003  7.50  0.00  0.0 0.00 3.10              -4.5052              -0.0323               1.4323              -0.6027              -0.2761
3.19003  8.00  0.00  0.0 0.00 3.10              -4.1156               0.1740               1.4771              -0.5766              -0.2349
3.19003  8.50  0.00  0.0 0.00 3.10              -3.6888               0.4123               1.5674              -0.4500              -0.1051
3.19003  9.00  0.00  0.0 0.00 3.10              -3.3058               0.4661               1.5793              -0.2334               0.1159
3.19003  9.50  0.00  0.0 0.00 3.10              -2.3324               1.4923               2.4020               0.0197               0.3366
3.19808 -1.00  0.00  0.0 0.00 3.10             -15.4607              -9.5274              -5.8579              -3.7513              -2.1989
3.19808 -0.50  0.00  0.0 0.00 3.10             -15.4607              -9.5274              -5.8579              -3.7513              -2.1989
3.19808  0.00  0.00  0.0 0.00 3.10             -15.4607              -9.5274              -5.8579              -3.7513              -2.1989
3.19808  0.50  0.00  0.0 0.00 3.10             -15.4607              -9.5274              -5.8579              -3.7513              -2.1989
3.19808  1.00  0.00  0.0 0.00 3.10             -15.4607              -9.5274              -5.8579              -3.7513              -2.1989
3.19808  1.50  0.00  0.0 0.00 3.10             -15.4607              -9.5274              -5.8579              -3.7513              -2.1989
3.19808  2.00  0.00  0.0 0.00 3.10             -15.4607              -9.5274              -5.8579              -3.7513              -2.1989
3.19808  2.50  0.00  0.0 0.00 3.10             -15.4607              -9.5274              -5.8579              -3.7513              -2.1989
3.19808  3.00  0.00  0.0 0.00 3.10             -15.4607              -9.5274              -5.8579              -3.7513              -2.1989
3.19808  3.50  0.00  0.0 0.00 3.10             -15.4607              -9.5274              -5.8579              -3.7513              -2.1989
3.19808  4.00  0.00  0.0 0.00 3.10             -15.4607              -9.5274              -5.8579              -3.7513              -2.1989
3.19808  4.50  0.00  0.0 0.00 3.10             -15.4607              -9.5274              -5.8579              -3.7513              -2.1989
3.19808  5.00  0.00  0.0 0.00 3.10             -15.4607              -9.5274              -5.8579              -3.7513              -2.1989
3.19808  5.50  0.00  0.0 0.00 3.10             -15.4607              -9.5274              -5.8579              -3.7513              -2.1989
3.19808  6.00  0.00  0.0 0.00 3.10             -15.4607              -9.5274              -5.8579              -3.7513              -2.1989
3.19808  6.50  0.00  0.0 0.00 3.10              -5.2853              -0.5771               1.2848              -0.3236              -0.0372
3.19808  7.00  0.00  0.0 0.00 3.10              -4.8719              -0.2625               1.3959              -0.4667              -0.1782
3.19808  7.50  0.00  0.0 0.00 3.10              -4.5103              -0.0639               1.4202              -0.5466              -0.2339
3.19808  8.00  0.00  0.0 0.00 3.10              -4.1296               0.1375               1.4637              -0.5272              -0.1987
3.19808  8.50  0.00  0.0 0.00 3.10              -3.7121               0.3682               1.5504              -0.4079              -0.0781
3.19808  9.00  0.00  0.0 0.00 3.10              -3.3324               0.4073               1.5496              -0.2017               0.1319
3.19808  9.50  0.00  0.0 0.00 3.10              -2.4446               1.3908               2.3223               0.0448               0.3481
3.20841 -1.00  0.00  0.0 0.00 3.10             -14.9475              -9.1753              -5.5997              -3.5538              -2.0503
