mjd,g-i
53438.23630902411,0.9596781824025982
53439.23630902411,0.9590771507377838
53440.23630902411,0.9584761190729694
53441.23630902411,0.9578750874081585
53442.23630902411,0.9572740557433441
53443.23630902411,0.9566730240785297
53444.23630902411,0.9560719924137224
53445.23630902411,0.955470960748908
53446.23630902411,0.9548699290840936
53447.23630902411,0.9542688974192792
53448.23630902411,0.9536678657544648
53449.23630902411,0.9530668340896469
53450.23630902411,0.9524658024248396
53451.23630902411,0.9518647707600252
53452.23630902411,0.9512637390952072
53453.23630902411,0.9506627074303999
53454.23630902411,0.9500616757655855
53455.23630902411,0.9494606441007711
53456.23630902411,0.9488596124359603
53457.23630902411,0.9482585807711459
53458.23630902411,0.947657549106335
53459.23630902411,0.9470565174415242
53460.23630902411,0.9464554857767133
53461.23630902411,0.945854454111899
53462.23630902411,0.9452534224470845
53463.23630902411,0.9446523907822701
53464.23630902411,0.9440513591174557
53465.23630902411,0.9434503274526413
53466.23630902411,0.9428492957878305
53467.23630902411,0.9422482641230197
53468.23630902411,0.9416472324582053
53469.23630902411,0.9410462007933944
53470.23630902411,0.94044516912858
53471.23630902411,0.9398441374637656
53472.23630902411,0.9392431057989548
53473.23630902411,0.9386420741341439
53474.23630902411,0.9380410424693295
53475.23630902411,0.9374400108045151
53476.23630902411,0.9368389791397043
53477.23630902411,0.9362379474748899
53478.23630902411,0.9356369158100755
53479.23630902411,0.9350358841452611
53480.23630902411,0.9344348524804467
53481.23630902411,0.9338338208156358
53482.23630902411,0.9332327891508214
53483.23630902411,0.932631757486007
53484.23630902411,0.9320307258211997
53485.23630902411,0.9314296941563853
53486.23630902411,0.9308286624915709
53487.23630902411,0.9302276308267565
53488.23630902411,0.9296265991619457
53489.23630902411,0.9290255674971313
53490.23630902411,0.9284245358323204
53491.23630902411,0.9278235041675096
53492.23630902411,0.9272224725026987
53493.23630902411,0.9266214408378843
53494.23630902411,0.9260204091730699
53495.23630902411,0.9254193775082555
53496.23630902411,0.9248183458434411
53497.23630902411,0.9242173141786267
53498.23630902411,0.9236162825138159
53499.23630902411,0.9230152508490015
53500.23630902411,0.9224142191841942
53501.23630902411,0.9218131875193798
53502.23630902411,0.9212121558545654
53503.23630902411,0.9206111241897545
53504.23630902411,0.9200100925249401
53505.23630902411,0.9194090608601257
53506.23630902411,0.9188080291953113
53507.23630902411,0.918206997530504
53508.23630902411,0.9176059658656897
53509.23630902411,0.9170049342008753
53510.23630902411,0.9164039025360609
53511.23630902411,0.91580287087125
53512.23630902411,0.9152018392064356
53513.23630902411,0.9146008075416212
53514.23630902411,0.9139997758768104
53515.23630902411,0.913398744211996
53516.23630902411,0.9127977125471851
53517.23630902411,0.9121966808823743
53518.23630902411,0.9115956492175563
53519.23630902411,0.9109946175527455
53520.23630902411,0.9103935858879311
53521.23630902411,0.9097925542231167
53522.23630902411,0.9091915225583058
53523.23630902411,0.9085904908934914
53524.23630902411,0.907989459228677
53525.23630902411,0.9073884275638626
53526.23630902411,0.9067873958990518
53527.23630902411,0.9061863642342374
53528.23630902411,0.9055853325694301
53529.23630902411,0.9049843009046157
53530.23630902411,0.9043832692398013
53531.23630902411,0.9037822375749869
53532.23630902411,0.903181205910176
53533.23630902411,0.9025801742453652
53534.23630902411,0.9019791425805472
53535.23630902411,0.9013781109157399
53536.23630902411,0.9007770792509255
53537.23630902411,0.9001760475861111
53538.23630902411,0.8995750159213003
53539.23630902411,0.8989739842564859
53540.23630902411,0.8983729525916715
53541.23630902411,0.8977719209268606
53542.23630902411,0.8971708892620462
53543.23630902411,0.8965698575972318
53544.23630902411,0.895968825932421
53545.23630902411,0.8953677942676102
53546.23630902411,0.8947667626027958
53547.23630902411,0.8941657309379814
53548.23630902411,0.8935646992731705
53549.23630902411,0.8929636676083561
53550.23630902411,0.8923626359435417
53551.23630902411,0.8917616042787273
53552.23630902411,0.8912597757888001
53553.23630902411,0.8908661279884633
53554.23630902411,0.890472480188123
53555.23630902411,0.8900788323877862
53556.23630902411,0.8896851845874494
53557.23630902411,0.8892915367871126
53558.23630902411,0.8888978889867758
53559.23630902411,0.8885042411864355
53560.23630902411,0.8881105933861022
53561.23630902411,0.8877169455857654
53562.23630902411,0.8873232977854286
53563.23630902411,0.8869296499850918
53564.23630902411,0.886536002184755
53565.23630902411,0.8861423543844182
53566.23630902411,0.8857487065840814
53567.23630902411,0.8853550587837411
53568.23630902411,0.8849614109834079
53569.23630902411,0.8845677631830675
53570.23630902411,0.8841741153827343
53571.23630902411,0.8837804675823975
53572.23630902411,0.8833868197820536
53573.23630902411,0.8829931719817203
53574.23630902411,0.8825995241813835
53575.23630902411,0.8822058763810467
53576.23630902411,0.88181222858071
53577.23630902411,0.8814185807803732
53578.23630902411,0.8810249329800364
53579.23630902411,0.880631285179696
53580.23630902411,0.8802376373793628
53581.23630902411,0.879843989579026
53582.23630902411,0.8794503417786856
53583.23630902411,0.8790566939783488
53584.23630902411,0.8786630461780085
53585.23630902411,0.8782693983776753
53586.23630902411,0.8778757505773385
53587.23630902411,0.8774821027770017
53588.23630902411,0.8770884549766613
53589.23630902411,0.8766948071763245
53590.23630902411,0.8763011593759913
53591.23630902411,0.8759075115756545
53592.23630902411,0.8755138637753213
53593.23630902411,0.8751202159749845
53594.23630902411,0.8747265681746441
53595.23630902411,0.8743329203743073
53596.23630902411,0.8739392725739705
53597.23630902411,0.8735456247736337
53598.23630902411,0.8731519769732969
53599.23630902411,0.8727583291729566
53600.23630902411,0.8723646813726198
53601.23630902411,0.871971033572283
53602.23630902411,0.8715773857719462
53603.23630902411,0.8711837379716059
53604.23630902411,0.8707900901712691
53605.23630902411,0.8703964423709323
53606.23630902411,0.8700027945705955
53607.23630902411,0.8696091467702622
53608.23630902411,0.8692154989699219
53609.23630902411,0.8688218511695851
53610.23630902411,0.8684282033692483
53611.23630902411,0.8680345555689151
53612.23630902411,0.8676409077685783
