mjd,mJyas2,mJyas2_err
53442.87529108706,7.469269045292878,0.3147560590302854
53786.01800512862,9.680465330728593,0.29898192865834156
54074.862182880715,5.037821576109093,0.3019936800974379
54243.40791280967,7.038441606141479,0.2503131634241172
54549.05404033104,8.21754380774506,0.28641813838696556
54752.013047561166,9.68317459292212,0.38498377056303806
54891.723891565474,10.156380017433484,0.2782451570656456
54987.650608922115,12.159187296851062,0.2854587244862068
55230.72201599308,6.579712743137682,0.30002599889983134
55469.22170378106,9.457349103121851,0.3062810115137512
55708.825901917924,8.501897194861337,0.24597918971487118
55875.700710304554,10.54814890630688,0.2994236031158747
56103.794648983254,9.857124754896805,0.15850206763062274
56261.10010142515,11.374908950343636,0.08459215345322031
56342.15563945595,11.98767082730485,0.06482897425760582
56351.7938303642,11.787808259655494,0.07372079923628412
56370.14618587596,11.067244472883873,0.09270645395722668
56398.57344374416,10.890332767947104,0.09431950417821215
56439.20457337748,11.669489394885481,0.08313002942603931
56486.89367282989,11.404471438560497,0.07850904937368053
56495.52080043548,11.555497933510159,0.0885765318607344
56505.90597937765,11.227680338597699,0.07950470026451707
56559.771557397544,11.115002735196368,0.08121859916608273
56612.59010759073,12.382214361574368,0.07860616568717121
56653.76592551543,13.084291038326134,0.07796530804527026
56672.01835553051,14.4322983834622,0.06476184697659748
56685.81837303953,12.67773277651032,0.1154375173006784
56716.49066033781,15.145863287087934,0.0744543553273673
56747.634726252945,15.850810535874903,0.07946907730154408
56768.53160590525,15.683688962295552,0.0812920126653175
56796.9346960784,15.313741162797147,0.0866024456639425
56828.72996504602,15.15708972228162,0.105958777348025
56850.88568304078,16.03174737675341,0.07971459511489745
56882.539556439115,14.827515569864929,0.0932135946055716
56922.702483966495,15.191250087348001,0.11828594887913572
56947.941873835145,14.796415777344848,0.1246351734004564
56980.845515058936,15.341663197367449,0.09476340409437983
56999.79365480036,16.309103789888393,0.09467058743005824
57005.326236049856,15.29798967422062,0.08047321172705958
57024.350957992916,15.857271210619132,0.10225002827795393
57033.11791393359,16.081426331603616,0.08963807632411173
57048.52877085486,18.530396914438086,0.0703943617200543
57055.623333787764,15.850843684965366,0.11416895974405047
57060.82847266073,17.710091397276532,0.11628714898239778
57066.5819215184,15.833181070382764,0.0888464235854927
57082.974999275946,17.337754248977056,0.10795539567999417
57087.050964082984,16.85750580664443,0.09532316457084462
57093.26218305872,19.085920454541107,0.10328272665333424
57105.55837553826,18.495569877348125,0.13519561947862083
57119.58799238978,20.059539158864833,0.1624107912300519
57130.526674628054,20.859147969739183,0.13906511400804897
57150.565825530444,20.55503403639592,0.11853140391251908
57194.46524189506,23.128852292749603,0.15660525348134352
57204.63166930424,24.18979736999522,0.14405086571867623
57211.84492167308,24.325822309282856,0.1370867836234829
57277.14111609555,37.23541991259909,0.20794464112316136
57336.645449417,46.85060233202532,0.17541256638828476
57387.15799199813,52.20188180549556,0.23876729870736577
57396.963983396316,53.16746578745846,0.2241533004638867
57422.13388706089,52.97741672144406,0.17590907711580492
57442.43189885924,55.86291536956813,0.1953311525983269
57450.17777078224,58.948650935194614,0.1546186423124136
57451.39249338439,56.24227301507423,0.12573776115080101
57479.07556440266,53.34449828754778,0.18423961596585278
57533.954122319636,49.963513711714434,0.1325502933049283
57542.408297092574,49.80856388733314,0.2809471411875572
57542.99855883955,49.24722461209695,0.12057676513408272
57550.13170148252,47.87972131461831,0.12015867777760422
57570.60784200148,48.93520861115359,0.14642616503677758
57607.24288558244,43.79441965826321,0.20625884039701015
57644.2288322617,41.15306885174575,0.18795476599572047
57660.890115260714,40.39881895052125,0.14404628580538648
57680.96689070047,38.468923047017796,0.11970646643823112
57707.18707816417,37.003571928429615,0.11837224533976855
57719.49618825143,38.42582695490599,0.32869073020358747
57738.29084247836,37.3006434873192,0.29440790221039365
57758.072606610345,33.71884558846178,0.15161841242873272
57759.2158275767,33.11512571174021,0.17136299488126458
57761.520740728185,32.903601529422694,0.10366379937256441
57767.41921857006,33.65095201142476,0.10057908858526292
57771.41522480645,32.871204551708125,0.09922244007882997
57775.1745247936,33.045690216924925,0.10440699192330408
57782.92733190234,33.88863817336929,0.14133781122717498
57793.58838748186,32.349878233764876,0.09973632701335726
57800.940243912184,32.151738715234444,0.11593456141474145
57803.81552919382,32.80025906049869,0.13604269082633283
57815.79812889594,31.741754277851783,0.12134588646056267
57821.42303802618,31.856778445771035,0.0964893499884333
57826.44084752408,30.5647346758677,0.1389634590225933
57829.64476921256,31.21542273368819,0.10907718283775301
57831.31943233963,30.90215092682923,0.12437523717901988
57838.94754056527,31.77200689279369,0.13687814721786729
57853.319287256076,30.22230930661413,0.10378992719667027
57858.99508035209,30.8169706620358,0.18566202477320795
57871.82579697549,26.783273680314448,0.12591730104096527
57873.00911036475,26.941408962094865,0.17698307892038612
57873.6884094951,26.86723279847331,0.12617846538430855
57879.97388436928,27.450758251162714,0.13863015268978626
57881.927829782675,26.83056452602433,0.23654977295185342
