mjd,muJyas2,muJyas2_err,phase
53400.232024876794,9.54717688642262,1.2674863538272614,-4035.109553966664
53400.2369808768,11.15790084590053,1.2745172917456173,-4035.1045979666596
53400.239914876795,5.588758838388212,1.2662080014784693,-4035.101663966663
53402.241871876795,8.241979138305993,1.3627236038122648,-4033.099706966663
53402.243353876795,5.9211304490741306,1.2917750484543091,-4033.098224966663
53412.035170642346,6.989473336406904,1.1541905848876675,-4023.3064082011115
53412.04012664235,9.522469046476555,1.0998757338341303,-4023.301452201107
53412.04306064235,4.354071500913396,1.111757107502091,-4023.2985182011107
53414.04501764235,10.596884693879339,1.291675051616934,-4021.2965612011103
53414.04649964235,8.495013114047142,1.2418864381511914,-4021.2950792011106
53418.390710669955,7.1438323805416095,0.8577118329803429,-4016.9508681735024
53418.39566666996,7.489725098901242,0.8406937410561297,-4016.945912173498
53418.398600669956,5.1549279773588195,0.8232501968338113,-4016.9429781735016
53419.2336088768,7.639236005850568,1.360806075289077,-4016.107969966659
53420.40055766996,5.970860394665218,0.9138715363302462,-4014.941021173501
53420.402039669956,7.140003309858662,0.9083406564548769,-4014.9395391735015
53431.03675464235,4.196501854888291,1.1457038894105518,-4004.3048242011064
53437.39229466996,5.453510400169138,0.9521622431597259,-3997.9492841734973
53461.9997478768,4.079408220169506,2.9331794643032283,-3973.3418309666595
53473.80289364235,4.035311218792949,2.46906260414205,-3961.538685201107
53475.9823868768,5.8815015262615775,1.900270766479298,-3959.359191966658
53477.9964568768,3.5811064746103867,1.8357139728653016,-3957.3451219666604
53480.15843366996,5.153949437073176,2.0349383418377878,-3955.183145173498
53484.669913814985,5.4551336635398675,1.0508175475710484,-3950.6716650284725
53484.67486981499,8.527549943821436,0.9876596017066744,-3950.666709028468
53484.677803814986,5.933173977927112,0.9985489027177729,-3950.6637750284717
53486.67976081499,5.16384486149297,1.4259539674034065,-3948.6618180284713
53486.681242814986,7.516478344940898,1.3889303439656706,-3948.6603360284716
53487.78553264235,1.337334148648179,1.637932227083234,-3947.5560462011053
53489.79960264235,2.762533209105059,1.5553283911059794,-3945.541976201108
53494.14107266996,5.012784364561828,1.2372152828902963,-3941.2005061734963
53496.15514266996,4.660212045121942,1.1933936961854474,-3939.186436173499
53503.67149781499,6.19990740619398,1.1215980041431914,-3931.6700810284674
53505.552402477115,6.830796912662529,0.8362982592841681,-3929.789176366343
53505.55735847712,8.808108488470044,0.81761500030016,-3929.7842203663386
53505.560292477116,6.3828435365459555,0.8029352968127251,-3929.781286366342
53507.562249477116,7.693340702424233,1.1085400330511415,-3927.7793293663417
53507.563731477116,5.620833473698201,1.0707286755835062,-3927.777847366342
53524.55398647712,3.5638956274588427,0.9942162816489977,-3910.787592366338
53524.61902255993,5.2680042689578155,0.6715508082791607,-3910.72255628353
53524.62397855993,7.886917164286164,0.6627591058545594,-3910.717600283526
53524.62691255993,6.825826310116976,0.6651261026611829,-3910.7146662835294
53526.62886955993,6.1681393402766105,0.8588816984033576,-3908.712709283529
53526.63035155993,5.615614657130513,0.8369024423418543,-3908.7112272835293
53543.62060655993,6.283784041400212,0.746618421289218,-3891.720972283525
53546.43763681499,7.869836162751059,2.2301288470730642,-3888.903942028468
53547.007731876794,5.293459445817262,1.6624972296039873,-3888.3338469666633
53548.007715876796,4.858052635818708,1.6407652396745231,-3887.3338629666614
53558.81087764235,4.265017776373535,1.4116203476934954,-3876.530701201111
53559.81086164235,6.806160714101216,1.5943671903007095,-3875.530717201109
53562.43434581499,4.03789113694534,1.4716890316500224,-3872.907233028469
53565.166417669956,6.90430273670831,1.027467299924369,-3870.1751611735017
53566.16640166996,4.777645388444975,1.1121323072473297,-3869.1751771735
53567.32012547712,5.024615092358536,2.028912957763346,-3868.0214533663384
53583.31683447712,3.5016180975121496,1.2455505989338675,-3852.0247443663393
53586.38674555993,5.529388344889231,1.4675380201065245,-3848.9548332835257
53602.38345455993,5.645371188413779,0.9488275770550478,-3832.9581242835266
53631.445620814986,3.546239196294222,1.6715077052036882,-3803.895958028472
53632.44560481499,5.713754562553467,1.4711445665994676,-3802.89597402847
53652.328109477116,5.82590448302267,1.3447498073489577,-3783.013469366342
53653.32809347712,4.2845356168420095,1.1169919835439075,-3782.0134853663403
53671.3158638768,-2.820882088139916,1.9558790936517496,-3764.0257149666577
53671.3263708768,0.8518242099394808,2.1354875986570248,-3764.0152079666586
53671.39472955993,5.410362219756168,1.1419068879953302,-3763.9468492835294
53672.39471355993,6.665884954469422,0.8717311096393132,-3762.9468652835276
53683.11900964235,-3.0836684152303673,1.695075976629143,-3752.222569201105
53683.12951664235,1.4340824770872918,1.8551916312973835,-3752.212062201106
53689.47454966996,4.504581594475013,1.3074149120776755,-3745.867029173496
53689.48505666996,3.574287599437901,1.431221530826326,-3745.856522173497
53727.230888876795,6.192780323192428,1.6164765450474756,-3708.110689966663
53734.366848876794,7.3343489706636795,2.28952905668646,-3700.9747299666633
53734.369132876796,4.7586607407001305,2.295920818430419,-3700.9724459666613
53734.3706248768,5.3043254407819935,2.2984775231280037,-3700.9709539666583
