mjd,muJyas2,muJyas2_err
53402.00121288134,9.562622139161867,1.2246612788825322
53402.006168881344,11.118923915654037,1.2314546596529343
53402.00910288134,5.737948765425344,1.2234261187424589
53404.01105988134,8.301523636147174,1.316680709317982
53404.01254188134,6.059090401844365,1.248129321543922
53413.80435864689,8.016385227735462,1.1398542716670224
53413.8093146469,10.517918352369414,1.086214070647398
53413.81224864689,5.413717974095761,1.0979478646204404
53415.81420564689,11.578988578788866,1.2756310304979472
53415.81568764689,9.503224549748182,1.226460846229958
53420.1598986745,7.1123050822343,0.8563697659737608
53420.164854674505,7.457656580119554,0.8393783023631702
53420.1677886745,5.12651273006459,0.8219620521623151
53421.002796881345,7.71914563010268,1.3148279691078724
53422.1697456745,5.941168452874351,0.9124415958887093
53422.1712276745,7.108482002921917,0.9069193702152674
53432.8059426469,5.258105515929458,1.1314729902577054
53439.161482674506,5.424627959112399,0.950672389012538
53463.768935881344,4.279595188040972,2.8340749413978514
53475.5720816469,5.098917044361841,2.438394138017101
53477.751574881346,6.020800437502096,1.8360655482187431
53479.76564488134,3.798129765440457,1.7736899611450483
53481.927621674506,5.125535720906981,2.031754261236358
53486.43910181953,4.386236148002034,1.0734045486228183
53486.444057819535,7.524693074363988,1.0088890420734675
53486.44699181953,4.874551792401434,1.020012405271631
53488.44894881953,4.0886861824511485,1.456604410799565
53488.45043081953,6.4918888014144684,1.418784975925808
53489.5547206469,2.4344518091307847,1.617587311998054
53491.568790646896,3.841948333801973,1.536009506280708
53495.91026067451,4.984591530257134,1.2352794044899287
53497.924330674505,4.632570882904723,1.1915263856926583
53505.440685819536,5.147018573940457,1.145706409410884
53507.32159048166,5.946601291130612,0.840750004154787
53507.326546481665,7.934438402017861,0.8219672912960098
53507.32948048166,5.4962633899689735,0.8072094454783992
53509.33143748166,6.81373653477749,1.1144409629541108
53509.33291948166,4.73019702980028,1.0764283297875379
53526.323174481666,2.662309785538717,0.9995086485563559
53526.38821056447,4.942000242579574,0.6815820010846664
53526.39316656448,7.600032769468164,0.6726589738801341
53526.396100564474,6.523092024551907,0.6750613273582775
53528.398057564475,5.85558095098208,0.8717111192120105
53528.399539564474,5.294803010512624,0.8494035512006795
53545.38979456448,5.972953078057088,0.7577709256772123
53548.206824819536,6.8528419371948885,2.278064782983971
53548.77691988134,5.452626773068445,1.6063257621651363
53549.77690388134,5.031931229359529,1.5853280397838927
53560.58006564689,5.325770394507337,1.3940864744162849
53561.580049646895,7.835349549294236,1.5745634007635634
53564.203533819535,2.938530427761002,1.5033225362318539
53566.9356056745,6.87315023191524,1.0258596154894009
53567.935589674504,4.749820477549605,1.1103921469520888
53569.089313481665,4.130804885880778,2.0397131749733957
53585.086022481664,2.599700742676127,1.2521808572518105
53588.15593356448,5.207288705237403,1.4894591564488682
53604.15264256448,5.3250040256664235,0.9630005513814573
53633.21480881953,2.436310579363898,1.7074362509181618
53634.21479281953,4.650416023958428,1.5027663680719456
53654.09729748166,4.936359663797809,1.351908118382937
53655.09728148166,3.386785852948698,1.1229379044854628
53673.085051881346,-2.387552216045904,1.8897950143119253
53673.095558881345,1.1610628663842704,2.0633350139922038
53673.163917564474,5.086484644622196,1.1589639565271492
53674.163901564476,6.360761568100223,0.8847524666647885
53684.8881976469,-1.9316370530290783,1.6740212734874507
53684.8987046469,2.5299984171969854,1.8321481160765525
53691.24373767451,4.477183948185875,1.3053691918836146
53691.25424467451,3.548345589912948,1.4289820896506602
53729.00007688134,6.3215619316099065,1.5618599971225031
53736.13603688134,7.424559936695232,2.2121718108710184
53736.13832088134,4.935897528468843,2.2183476115713834
53736.139812881345,5.463125634259065,2.2208179318515304
53736.14132088135,3.0737083432875494,2.3974458318819916
53736.14281188134,2.7445381659580548,2.3857118105512964
53736.147359881346,7.506698086010097,2.667328322487976
53736.155481881346,3.2991250688508984,2.495023482947771
53737.12441188134,5.159708545850094,1.7125495342114279
53737.126052881344,2.7513315467284585,1.8020986443667315
53737.12754888134,-0.9455027525104924,1.8515050499696575
53737.12903388134,5.450774032858334,1.8058041247869507
53737.13054188134,3.9055886976268184,1.7483691782735487
53737.14798488134,4.45128244751114,1.7205780751219033
53740.80322264689,5.792160767331097,1.31139116451103
53747.1587626745,3.3618642767867186,1.0194878166354293
53747.93918264689,3.216145988573018,1.9601023455921152
53747.941466646895,5.824289012733473,1.9092559050422626
53747.9429586469,3.2418485848949246,2.146725544972892
53747.9444666469,2.652923877866961,1.9997737442628791
53747.945957646894,2.576374840995207,2.06682399553741
53747.9505056469,9.412147958433614,2.235567127911646
53747.9586276469,0.6559438940738573,2.163488107791525
53748.92755764689,1.8332345560358192,1.66508123998418
53748.929198646896,3.044609095729008,1.6963713572456274
53748.93069464689,2.8289307874626033,1.6533474460111368
53748.932179646894,5.167196550243077,1.6891075800242203
53748.933687646895,5.406174820827381,1.4611367256908157
53748.95113064689,6.971518812040692,1.7332489954466193
53751.01375088134,4.465486789121982,1.4000540187729198
53754.2947226745,4.251367396801129,1.5453736153832052
53754.297006674504,2.8448989964345017,1.5487719081053233
53754.29849867451,2.482980821528926,1.5857283414583574
53754.30000667451,6.169278851846528,1.4956735843222275
53754.3014976745,4.905623703126913,1.6931993487953425
53754.30604567451,9.411674895337462,1.7322797150997005
53754.31416767451,4.171507517831351,1.7862276120633254
53755.2830976745,3.718260226018849,1.1647648305059781
53755.284738674505,4.500462253332387,1.2645896792181974
53755.2862346745,2.5794073775190256,1.256518734003167
53755.2877196745,1.7413034349266496,1.213190501796161
53755.289227674504,4.134975871068583,1.2382529106217819
53755.3066706745,5.460310032694643,1.2603418133155497
53757.53344781954,-1.701580530353084,2.135685734047473
53762.816896646895,3.010525217997788,1.177849414055923
53763.97628788134,-0.7484947101688277,2.20290810982047
53769.172436674504,3.764986750947976,0.8810073882091171
53773.98561788134,1.8144625804829673,1.4284627019946023
53775.779433646894,1.3415327133559316,1.9556323288404796
53778.415936481666,0.35248331135814226,1.7991155674014405
53782.1349736745,-0.710989550671826,1.3873530038047135
53785.788763646895,4.361029029085628,1.2286958546057758
53792.144303674504,5.7602093654215665,1.0033459262053686
53797.48255656448,6.325069459282098,1.349436268008514
53813.43796581953,4.173779910917105,1.2663949001109625
53820.57392581953,6.8800941770303865,2.288631978022227
53820.576209819534,2.0364256723899103,2.1312363887682073
53820.57770181954,6.539719263166575,2.161825637563158
53820.57920981954,0.24945737460487294,3.572268091090343
53820.58070081953,4.663764059796229,2.117888352930411
53820.59337081954,5.2990749488593565,2.1362419022073813
53821.56230081953,4.258317471223151,2.337574776094148
53821.563941819535,1.652113473893344,1.8047656789020956
53821.56543781953,8.253829532003628,2.21966712619361
53821.56692281953,5.237896451269457,2.3275637492158006
53821.568430819534,7.622022502347917,3.1968545831523105
53821.58587381953,5.626713611861277,1.7040992419587127
53834.32045448166,4.192698396824937,1.0804531968287046
53835.451639819534,1.5358743284725307,1.2096657478003265
53841.45641448166,2.8765221536185805,1.8272896366896063
53841.45869848166,4.777958785355459,1.7830160992367745
53841.460190481666,6.306156080141491,1.6497482794292597
53841.46169848167,1.445458316759371,2.9140037378045704
53841.46318948166,5.647866715186247,1.8187926951582547
53841.47585948167,4.616159130300559,1.9033149030227519
53842.44478948166,3.6725514128715204,1.7096740775977397
53842.446430481665,3.8791612543180705,1.4467160975748596
53842.44792648166,2.978038244545786,1.8456251420993646
53842.44941148166,0.37663251360514494,1.7856993439308855
53842.450919481664,-0.5195712142279376,2.812934854326388
53842.46836248166,3.88095008411414,1.283038171234087
53853.387074564474,7.1345596234101905,0.850776324616761
53856.33412848166,1.4754212158436104,0.9784898984524861
53858.423506819534,1.8022788770685594,1.2663949001109625
53860.523034564474,6.1524432022097955,1.4458736004882677
53860.525318564476,5.52439936435232,1.386844343596746
53860.52681056448,5.413204717649691,1.3017323917996677
53860.52831856448,3.6745871861819523,2.4596667682647557
53860.529809564476,5.345595626907652,1.3930218239691141
53860.54247956448,4.8750775385455825,1.3885603103668482
53861.511409564475,6.817002812935044,1.4163589720425065
53861.51305056448,4.85791787084456,1.0844909987047058
53861.514546564475,7.698529262072043,1.4091519116080764
53861.516031564475,5.007206979843467,1.3806668632243773
53861.51753956448,5.596813162050644,2.0869587857985183
53861.53498256447,4.059306936038908,0.9863376994548496
53875.400748564476,3.9968457456071818,0.8319006901456352
53879.30599548166,1.230351533781473,1.0925277979522046
53898.372615564476,3.128223366581352,0.8500899379087201
54059.10545088134,3.1793145352638064,2.0355439108405573
54070.90859664689,4.1040030658666,1.7377190121982549
54077.2641366745,5.178251736758838,1.4621154436913117
54087.01759688134,2.564822365577413,2.323953803547639
