ID,x,y,bsize,mjd,zpt,fluxADU,flux_err,X2norm,Npix,Nmask,Jyas2,Jyas2_err,SB,SB_err,fitsfile,skip,imID,filter,CONVOL00,PHOTNORM,KSUM00,FSIG00,FSCAT00,FWHM,M5SIGMA,SKYADU,muJyas2,muJyas2_err,im_expnum
90,3909,1392,3,56675.348218,30.15,-25.58,8.75,0.3,9,9,-1.11e-06,3.798e-07,,,ec0915.140118.275407_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,53,i,TEMPLATE,t,0.985,1.315,0.081,4.046,22.414,3292.0,-1.1099999999999999,0.3798,275407
90,3909,1392,3,56675.34971,30.15,3.06,8.93,0.83,9,9,1.327e-07,3.873e-07,,,ec0915.140118.275408_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,54,i,TEMPLATE,t,0.9808,1.312,0.077,3.864,22.407,3276.0,0.13269999999999998,0.3873,275408
90,3909,1392,3,56675.351218,30.15,6.69,9.09,1.09,9,9,2.903e-07,3.945e-07,,,ec0915.140118.275409_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,55,i,TEMPLATE,t,0.9768,1.287,0.063,4.228,22.312,3282.0,0.2903,0.3945,275409
90,3909,1392,3,56675.352709,30.15,-4.61,9.56,1.17,9,9,-1.999e-07,4.148e-07,,,ec0915.140118.275410_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,56,i,TEMPLATE,t,0.971,1.342,0.105,3.343,22.55,3361.0,-0.19990000000000002,0.4148,275410
90,3909,1392,3,56675.357257,30.15,4.77,9.85,1.05,9,9,2.072e-07,4.274e-07,,,ec0915.140118.275413_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,57,i,TEMPLATE,t,0.9661,1.331,0.095,3.244,22.569,3450.0,0.2072,0.4274,275413
90,3909,1392,3,56675.365379,30.15,-8.64,9.96,0.19,9,9,-3.749e-07,4.32e-07,,,ec0915.140118.275418_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,58,i,TEMPLATE,t,0.969,1.361,0.113,3.363,22.578,3367.0,-0.3749,0.432,275418
90,3909,1392,3,56676.334309,30.15,-5.07,6.71,1.14,9,9,-2.201e-07,2.912e-07,,,ec0915.140119.275854_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,59,i,TEMPLATE,t,1.0492,1.307,0.067,4.532,22.609,2082.0,-0.2201,0.2912,275854
90,3909,1392,3,56676.33595,30.15,8.41,7.15,1.83,9,9,3.65e-07,3.105e-07,,,ec0915.140119.275855_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,60,i,TEMPLATE,t,1.0549,1.319,0.071,4.383,22.639,2142.0,0.365,0.3105,275855
90,3909,1392,3,56676.337446,30.15,-7.06,7.25,1.69,9,9,-3.066e-07,3.147e-07,,,ec0915.140119.275856_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,61,i,TEMPLATE,t,1.0508,1.32,0.065,4.42,22.606,2139.0,-0.3066,0.3147,275856
90,3909,1392,3,56676.338931,30.15,-3.94,6.87,0.88,9,9,-1.71e-07,2.98e-07,,,ec0915.140119.275857_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,62,i,TEMPLATE,t,1.0528,1.322,0.072,4.5,22.597,2186.0,-0.171,0.298,275857
90,3909,1392,3,56676.340439,30.15,-7.67,6.86,2.65,9,9,-3.329e-07,2.975e-07,,,ec0915.140119.275858_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,63,i,TEMPLATE,t,1.0556,1.314,0.062,4.911,22.498,2175.0,-0.33290000000000003,0.2975,275858
90,3909,1392,3,56676.357882,30.15,-6.35,6.99,0.93,9,9,-2.758e-07,3.033e-07,,,ec0915.140119.275867_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,66,i,TEMPLATE,t,1.0568,1.376,0.1,3.899,22.752,2208.0,-0.27580000000000005,0.3033,275867
90,3909,1392,3,56690.223648,30.15,-4.79,5.59,1.71,9,9,-2.08e-07,2.425e-07,,,ec0915.140202.280404_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,69,i,TEMPLATE,t,1.0604,1.387,0.129,3.457,23.294,1052.0,-0.20800000000000002,0.24250000000000002,280404
90,3909,1392,3,56703.186185,30.15,-17.93,8.4,0.87,9,9,-7.783e-07,3.645e-07,,,ec0915.140215.285238_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,72,i,TEMPLATE,t,1.0422,1.261,0.053,5.175,22.234,3205.0,-0.7783,0.3645,285238
90,3909,1392,3,56703.191831,30.15,-9.27,7.84,1.62,9,9,-4.021e-07,3.401e-07,,,ec0915.140215.285241_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,75,i,TEMPLATE,t,1.0384,1.253,0.045,5.625,22.163,3162.0,-0.40209999999999996,0.34009999999999996,285241
90,3909,1392,3,56713.195515,30.15,-17.56,5.98,0.63,9,9,-7.623e-07,2.597e-07,,,ec0915.140225.288122_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,78,i,TEMPLATE,t,1.0838,1.326,0.096,3.779,23.115,1302.0,-0.7623,0.2597,288122
90,3909,1392,3,56745.062221,30.15,-38.52,6.64,0.34,9,9,-1.672e-06,2.88e-07,,,ec0915.140329.296582_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,82,i,TEMPLATE,t,1.0366,1.42,0.151,2.871,23.258,1494.0,-1.6720000000000002,0.288,296582
90,3909,1392,3,56764.147993,30.15,-15.42,6.77,0.43,9,9,-6.69e-07,2.938e-07,,,ec0915.140417.301622_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,83,i,TEMPLATE,t,1.0611,1.331,0.086,3.777,22.639,2466.0,-0.6689999999999999,0.2938,301622
90,3909,1392,3,56764.152138,30.15,-20.34,7.72,1.35,9,9,-8.828e-07,3.351e-07,,,ec0915.140417.301624_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,85,i,TEMPLATE,t,1.0632,1.354,0.104,3.129,22.955,2519.0,-0.8828,0.33509999999999995,301624
