ID,x,y,bsize,mjd,zpt,fluxADU,flux_err,X2norm,Npix,Nmask,Jyas2,Jyas2_err,SB,SB_err,fitsfile,skip,imID,filter,CONVOL00,PHOTNORM,KSUM00,FSIG00,FSCAT00,FWHM,M5SIGMA,SKYADU,mJyas2,mJyas2_err
30,4011,816,3,57545.097186,30.236,399.2,7.03,3.51,9,9,1.6e-05,2.818e-07,20.889,0.019118,ec0915.160606.546815_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,317,r,TEMPLATE,t,0.9788,1.027,0.151,7.481,22.155,1667.0,16.0,0.2818
30,4011,816,3,57545.101308,30.236,415.63,8.19,1.26,9,9,1.666e-05,3.286e-07,20.846,0.021407,ec0915.160606.546817_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,320,r,TEMPLATE,t,0.7702,1.293,0.159,6.992,22.166,1129.0,16.66,0.3286
30,4011,816,3,57545.102798,30.236,423.53,8.61,1.33,9,9,1.698e-05,3.452e-07,20.825,0.02207,ec0915.160606.546818_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,321,r,TEMPLATE,t,0.7102,1.262,0.154,8.035,21.968,1062.0,16.98,0.3452
30,4011,816,3,57566.037228,30.236,432.34,8.1,2.69,9,9,1.733e-05,3.247e-07,20.803,0.020337,ec0915.160627.549000_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,331,r,TEMPLATE,t,0.9119,1.089,0.137,4.828,22.574,1681.0,17.33,0.3247
30,4011,816,3,57778.252702,30.236,244.18,6.43,0.85,9,9,9.79e-06,2.576e-07,21.423,0.028573,ec0915.170125.612774_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,353,r,TEMPLATE,t,0.8913,1.665,0.267,4.73,22.895,917.0,9.79,0.2576
30,4011,816,3,57778.256835,30.236,246.83,6.76,1.57,9,9,9.896e-06,2.709e-07,21.411,0.029724,ec0915.170125.612776_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,358,r,TEMPLATE,t,0.8911,1.389,0.2,4.09,22.945,1070.0,9.895999999999999,0.27090000000000003
30,4011,816,3,57782.268868,30.236,257.99,6.9,0.39,9,9,1.034e-05,2.768e-07,21.363,0.02905,ec0915.170129.614187_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,361,r,TEMPLATE,t,0.9276,1.416,0.212,3.598,23.017,1309.0,10.34,0.2768
30,4011,816,3,57782.272997,30.236,242.35,7.13,1.45,9,9,9.716e-06,2.858e-07,21.431,0.031933,ec0915.170129.614189_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,364,r,TEMPLATE,t,0.9311,1.367,0.195,3.979,22.944,1238.0,9.716,0.2858
30,4011,816,3,57830.199155,30.236,187.45,7.89,1.44,9,9,7.515e-06,3.162e-07,21.71,0.04569,ec0915.170318.631347_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,388,r,TEMPLATE,t,0.9378,1.609,0.265,3.229,23.078,1554.0,7.515,0.3162
30,4011,816,3,57830.199155,30.236,163.24,7.77,1.33,9,9,6.544e-06,3.115e-07,21.86,0.051678,ec0915.170318.631347_ooi_r_vx_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,389,r,TEMPLATE,t,0.9057,1.676,0.226,3.23,23.149,1241.0,6.5440000000000005,0.3115
30,4011,816,3,57847.12133,30.236,159.5,23.41,0.02,6,0,6.395e-06,9.387e-07,21.885,0.159376,ec0915.170404.636944_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,392,r,TEMPLATE,t,0.9508,1.286,0.215,4.069,22.797,1660.0,6.395,0.9387
