ID,x,y,bsize,mjd,zpt,fluxADU,flux_err,X2norm,Npix,Nmask,Jyas2,Jyas2_err,SB,SB_err,fitsfile,skip,imID,filter,CONVOL00,PHOTNORM,KSUM00,FSIG00,FSCAT00,FWHM,M5SIGMA,SKYADU,mJyas2,mJyas2_err
90,3909,1392,3,57026.233149,30.915,-61.02,14.06,0.74,9,0,-1.309e-06,3.016e-07,,,ec0915.150104.394287_ooi_z_v1_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,183,z,TEMPLATE,t,1.0469,1.126,0.081,3.691,22.789,6899.0,-1.3090000000000002,0.3016
90,3909,1392,3,57050.242086,30.915,-48.54,10.05,0.86,9,0,-1.041e-06,2.155e-07,,,ec0915.150128.403911_ooi_z_v1_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,190,z,TEMPLATE,t,0.9862,1.265,0.135,4.029,23.145,3151.0,-1.0410000000000001,0.2155
90,3909,1392,3,57053.240481,30.915,-87.0,12.48,0.47,9,0,-1.866e-06,2.677e-07,,,ec0915.150131.404893_ooi_z_v1_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,196,z,TEMPLATE,t,1.0744,1.197,0.091,3.937,22.873,5247.0,-1.866,0.2677
90,3909,1392,3,57056.260361,30.915,-78.66,12.21,0.77,9,0,-1.687e-06,2.619e-07,,,ec0915.150203.405992_ooi_z_ls9_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,202,z,TEMPLATE,t,1.1394,1.223,0.119,3.582,22.902,6588.0,-1.6869999999999998,0.26189999999999997
90,3909,1392,3,57056.268626,30.915,-66.87,13.51,0.34,9,0,-1.434e-06,2.897e-07,,,ec0915.150203.405996_ooi_z_ls9_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,208,z,TEMPLATE,t,1.1421,1.042,0.093,3.48,22.867,7293.0,-1.434,0.2897
90,3909,1392,3,57083.233746,30.915,-72.01,11.76,0.81,9,0,-1.544e-06,2.521e-07,,,ec0915.150302.417215_ooi_z_v1_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,216,z,TEMPLATE,t,1.043,1.209,0.138,3.416,23.018,4876.0,-1.544,0.2521
90,3909,1392,3,57088.183133,30.915,-96.32,11.16,0.36,9,0,-2.066e-06,2.393e-07,,,ec0915.150307.419088_ooi_z_v1_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,217,z,TEMPLATE,t,1.0554,1.151,0.075,3.392,23.026,6192.0,-2.0660000000000003,0.23929999999999998
90,3909,1392,3,57088.185779,30.915,-72.34,12.84,0.68,9,0,-1.551e-06,2.753e-07,,,ec0915.150307.419089_ooi_z_v1_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,218,z,TEMPLATE,t,1.0498,1.227,0.111,2.883,23.166,5925.0,-1.5510000000000002,0.2753
90,3909,1392,3,57117.011808,30.915,-52.98,13.29,0.16,9,0,-1.136e-06,2.851e-07,,,ec0915.150405.429230_ooi_z_v1_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,227,z,TEMPLATE,t,1.0648,1.16,0.089,4.288,22.642,7572.0,-1.136,0.28509999999999996
90,3909,1392,3,57117.015936,30.915,-46.88,12.28,1.09,9,0,-1.005e-06,2.634e-07,,,ec0915.150405.429232_ooi_z_v1_N22_160306.523733_ooi_z_v1_N22.diff.fits,0x0000,230,z,TEMPLATE,t,1.0614,1.187,0.06,4.641,22.633,6638.0,-1.005,0.26339999999999997
