ID,x,y,bsize,mjd,zpt,fluxADU,flux_err,X2norm,Npix,Nmask,Jyas2,Jyas2_err,SB,SB_err,fitsfile,skip,imID,filter,CONVOL00,PHOTNORM,KSUM00,FSIG00,FSCAT00,FWHM,M5SIGMA,SKYADU,mJyas2,mJyas2_err
0,3460,1472,3,56835.042635,30.469,1.24,4.03,2.77,9,9,4.01e-08,1.304e-07,,,ec0915.140627.331077_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,151,g,TEMPLATE,t,1.0805,1.612,0.217,7.472,22.901,778.0,0.040100000000000004,0.13040000000000002
0,3460,1472,3,56836.973106,30.469,4.32,3.88,1.15,9,9,1.398e-07,1.256e-07,,,ec0915.140628.331929_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,156,g,TEMPLATE,t,1.1392,1.612,0.185,4.296,23.544,802.0,0.1398,0.12560000000000002
0,3460,1472,3,56854.989274,30.469,-4.79,4.02,2.68,9,9,-1.549e-07,1.302e-07,,,ec0915.140716.337821_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,164,g,TEMPLATE,t,1.0666,1.58,0.204,5.465,23.282,815.0,-0.15489999999999998,0.13019999999999998
0,3460,1472,3,56866.986669,30.469,19.68,4.16,1.27,9,9,6.366e-07,1.346e-07,24.39,0.229649,ec0915.140728.341669_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,169,g,TEMPLATE,t,1.0244,1.573,0.195,6.437,23.059,818.0,0.6365999999999999,0.1346
0,3460,1472,3,57053.234882,30.469,10.63,7.41,0.29,9,9,3.44e-07,2.398e-07,,,ec0915.150131.404890_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,191,g,TEMPLATE,t,1.1089,1.106,0.067,3.857,22.877,2760.0,0.34400000000000003,0.2398
0,3460,1472,3,57056.254747,30.469,21.94,9.62,0.8,9,9,7.096e-07,3.111e-07,,,ec0915.150203.405989_ooi_g_ls9_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,197,g,TEMPLATE,t,1.1454,1.107,0.055,4.196,22.373,5399.0,0.7095999999999999,0.31110000000000004
0,3460,1472,3,57056.263019,30.469,-3.15,10.26,1.12,9,9,-1.018e-07,3.317e-07,,,ec0915.150203.405993_ooi_g_ls9_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,203,g,TEMPLATE,t,1.1502,1.038,0.052,4.54,22.269,5700.0,-0.1018,0.3317
0,3460,1472,3,57077.402214,30.469,-19.37,17.95,0.81,9,9,-6.265e-07,5.806e-07,,,ec0915.150224.413818_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,209,g,TEMPLATE,t,0.9531,1.061,0.035,5.898,21.462,13003.0,-0.6265,0.5806
0,3460,1472,3,57083.228154,30.469,-13.16,7.97,0.67,9,9,-4.256e-07,2.577e-07,,,ec0915.150302.417212_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,211,g,TEMPLATE,t,1.0629,1.107,0.077,4.588,22.573,2915.0,-0.4256,0.2577
0,3460,1472,3,57138.965861,30.469,-11.56,7.66,0.79,9,9,-3.74e-07,2.476e-07,,,ec0915.150426.437725_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,231,g,TEMPLATE,t,1.0679,1.03,0.043,9.189,21.913,2880.0,-0.374,0.24760000000000001
0,3460,1472,3,57138.969971,30.469,-6.07,6.98,0.69,9,9,-1.964e-07,2.257e-07,,,ec0915.150426.437727_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,235,g,TEMPLATE,t,1.0816,1.135,0.091,7.415,22.32,2061.0,-0.19640000000000002,0.22569999999999998
0,3460,1472,3,57199.007931,30.469,4.85,7.16,0.58,9,9,1.568e-07,2.316e-07,,,ec0915.150626.453977_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,269,g,TEMPLATE,t,1.0509,1.072,0.056,6.531,22.364,2282.0,0.1568,0.2316
0,3460,1472,3,57199.010581,30.469,12.38,6.97,0.68,9,9,4.003e-07,2.253e-07,,,ec0915.150626.453978_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,271,g,TEMPLATE,t,1.0491,1.101,0.07,6.67,22.334,2198.0,0.4003,0.2253
0,3460,1472,3,57387.334759,30.469,0.65,6.53,1.4,9,9,2.099e-08,2.113e-07,,,ec0915.151231.507217_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,273,g,TEMPLATE,t,1.0986,1.085,0.097,3.893,22.988,2107.0,0.02099,0.2113
0,3460,1472,3,57388.329025,30.469,0.13,6.31,0.53,9,9,4.335e-09,2.041e-07,,,ec0915.160101.507558_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,279,g,TEMPLATE,t,1.1061,1.01,0.076,3.853,23.085,1785.0,0.0043349999999999994,0.2041
0,3460,1472,3,57452.196395,30.469,6.63,4.59,0.81,9,9,2.145e-07,1.485e-07,,,ec0915.160305.523434_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,293,g,TEMPLATE,t,1.0952,1.412,0.184,3.221,23.737,798.0,0.2145,0.14850000000000002
