ID,x,y,bsize,mjd,zpt,fluxADU,flux_err,X2norm,Npix,Nmask,Jyas2,Jyas2_err,SB,SB_err,fitsfile,skip,imID,filter,CONVOL00,PHOTNORM,KSUM00,FSIG00,FSCAT00,FWHM,M5SIGMA,SKYADU,muJyas2,muJyas2_err
30,4011,816,3,56675.34971,30.15,-438.84,9.06,1.46,9,9,-1.904e-05,3.931e-07,,,ec0915.140118.275408_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,87,i,TEMPLATE,t,0.9807,1.309,0.074,3.864,22.407,3274.0,-19.04,0.3931
30,4011,816,3,56675.351218,30.15,-432.93,8.36,1.96,9,9,-1.879e-05,3.629e-07,,,ec0915.140118.275409_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,89,i,TEMPLATE,t,0.9768,1.287,0.063,4.228,22.312,3282.0,-18.790000000000003,0.3629
30,4011,816,3,56675.352709,30.15,-450.63,8.81,0.54,9,9,-1.956e-05,3.825e-07,,,ec0915.140118.275410_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,91,i,TEMPLATE,t,0.971,1.345,0.106,3.343,22.55,3360.0,-19.56,0.3825
30,4011,816,3,56675.357257,30.15,-428.52,9.14,1.91,9,9,-1.86e-05,3.968e-07,,,ec0915.140118.275413_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,93,i,TEMPLATE,t,0.9663,1.333,0.097,3.244,22.568,3451.0,-18.6,0.3968
30,4011,816,3,56675.365379,30.15,-427.87,9.25,0.55,9,9,-1.857e-05,4.013e-07,,,ec0915.140118.275418_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,95,i,TEMPLATE,t,0.9685,1.36,0.113,3.363,22.578,3366.0,-18.57,0.4013
30,4011,816,3,56676.334309,30.15,-437.47,7.0,1.6,9,9,-1.898e-05,3.036e-07,,,ec0915.140119.275854_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,97,i,TEMPLATE,t,1.0486,1.308,0.066,4.532,22.609,2080.0,-18.98,0.3036
30,4011,816,3,56676.33595,30.15,-420.65,7.18,2.6,9,9,-1.825e-05,3.116e-07,,,ec0915.140119.275855_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,99,i,TEMPLATE,t,1.0549,1.319,0.071,4.383,22.639,2142.0,-18.25,0.3116
30,4011,816,3,56676.337446,30.15,-419.82,6.95,3.73,9,9,-1.822e-05,3.018e-07,,,ec0915.140119.275856_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,101,i,TEMPLATE,t,1.0508,1.32,0.065,4.42,22.606,2139.0,-18.22,0.3018
30,4011,816,3,56676.338931,30.15,-418.52,6.98,1.77,9,9,-1.816e-05,3.028e-07,,,ec0915.140119.275857_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,103,i,TEMPLATE,t,1.0527,1.325,0.072,4.5,22.597,2185.0,-18.16,0.30279999999999996
30,4011,816,3,56676.340439,30.15,-435.75,6.21,1.89,9,9,-1.891e-05,2.695e-07,,,ec0915.140119.275858_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,105,i,TEMPLATE,t,1.0578,1.329,0.068,4.911,22.498,2174.0,-18.91,0.2695
