ID,x,y,bsize,mjd,zpt,fluxADU,flux_err,X2norm,Npix,Nmask,Jyas2,Jyas2_err,SB,SB_err,fitsfile,skip,imID,filter,CONVOL00,PHOTNORM,KSUM00,FSIG00,FSCAT00,FWHM,M5SIGMA,SKYADU,muJyas2,muJyas2_err
30,4011,816,3,56835.042635,30.469,-54.53,4.17,0.59,9,9,-1.764e-06,1.35e-07,,,ec0915.140627.331077_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,151,g,TEMPLATE,t,1.0805,1.612,0.217,7.472,22.901,778.0,-1.764,0.135
30,4011,816,3,56836.973106,30.469,-51.3,4.25,0.95,9,9,-1.659e-06,1.374e-07,,,ec0915.140628.331929_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,156,g,TEMPLATE,t,1.1392,1.612,0.185,4.296,23.544,802.0,-1.6589999999999998,0.1374
30,4011,816,3,56854.989274,30.469,-48.48,3.95,2.46,9,9,-1.568e-06,1.278e-07,,,ec0915.140716.337821_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,164,g,TEMPLATE,t,1.0666,1.58,0.204,5.465,23.282,815.0,-1.568,0.1278
30,4011,816,3,56866.986669,30.469,-61.23,3.99,0.46,9,9,-1.981e-06,1.291e-07,,,ec0915.140728.341669_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,169,g,TEMPLATE,t,1.0244,1.573,0.195,6.437,23.059,818.0,-1.981,0.12910000000000002
30,4011,816,3,57053.234882,30.469,-60.73,8.03,1.36,9,9,-1.964e-06,2.597e-07,,,ec0915.150131.404890_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,191,g,TEMPLATE,t,1.1089,1.106,0.067,3.857,22.877,2760.0,-1.9640000000000002,0.2597
30,4011,816,3,57056.254747,30.469,-78.43,17.42,0.52,9,0,-2.537e-06,5.634e-07,,,ec0915.150203.405989_ooi_g_ls9_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,197,g,TEMPLATE,t,1.1454,1.107,0.055,4.196,22.373,5399.0,-2.537,0.5634
30,4011,816,3,57056.263019,30.469,-64.66,11.24,0.91,9,9,-2.092e-06,3.637e-07,,,ec0915.150203.405993_ooi_g_ls9_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,203,g,TEMPLATE,t,1.1502,1.038,0.052,4.54,22.269,5700.0,-2.092,0.3637
30,4011,816,3,57077.402214,30.469,-50.5,100.24,0.06,6,0,-1.633e-06,3.242e-06,,,ec0915.150224.413818_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,209,g,TEMPLATE,t,0.9531,1.061,0.035,5.898,21.462,13003.0,-1.633,3.242
30,4011,816,3,57083.228154,30.469,-61.94,20.97,0.47,6,0,-2.003e-06,6.782e-07,,,ec0915.150302.417212_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,211,g,TEMPLATE,t,1.0629,1.107,0.077,4.588,22.573,2915.0,-2.003,0.6782
30,4011,816,3,57138.965861,30.469,-60.27,7.92,2.07,9,9,-1.949e-06,2.562e-07,,,ec0915.150426.437725_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,231,g,TEMPLATE,t,1.0679,1.03,0.043,9.189,21.913,2880.0,-1.9489999999999998,0.2562
30,4011,816,3,57138.969971,30.469,-95.88,6.47,1.23,9,9,-3.101e-06,2.094e-07,,,ec0915.150426.437727_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,235,g,TEMPLATE,t,1.0816,1.135,0.091,7.415,22.32,2061.0,-3.101,0.2094
30,4011,816,3,57199.007931,30.469,-91.65,7.37,0.73,9,9,-2.965e-06,2.385e-07,,,ec0915.150626.453977_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,269,g,TEMPLATE,t,1.0509,1.072,0.056,6.531,22.364,2282.0,-2.965,0.23850000000000002
30,4011,816,3,57199.010581,30.469,-89.9,6.68,0.83,9,9,-2.908e-06,2.16e-07,,,ec0915.150626.453978_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,271,g,TEMPLATE,t,1.0491,1.101,0.07,6.67,22.334,2198.0,-2.908,0.216
30,4011,816,3,57387.334759,30.469,-47.89,6.5,0.32,9,9,-1.549e-06,2.103e-07,,,ec0915.151231.507217_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,273,g,TEMPLATE,t,1.0986,1.085,0.097,3.893,22.988,2107.0,-1.549,0.2103
30,4011,816,3,57388.329025,30.469,-38.86,6.06,0.9,9,9,-1.257e-06,1.96e-07,,,ec0915.160101.507558_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,279,g,TEMPLATE,t,1.1061,1.01,0.076,3.853,23.085,1785.0,-1.257,0.196
30,4011,816,3,57452.196395,30.469,0.12,4.79,0.82,9,9,3.739e-09,1.55e-07,,,ec0915.160305.523434_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,293,g,TEMPLATE,t,1.0952,1.412,0.184,3.221,23.737,798.0,0.0037389999999999997,0.155
30,4011,816,3,57545.094531,30.469,21.78,4.81,1.15,9,9,7.045e-07,1.556e-07,24.28,0.239786,ec0915.160606.546814_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,315,g,TEMPLATE,t,1.0779,1.043,0.119,8.084,22.616,948.0,0.7045,0.1556
30,4011,816,3,57545.098661,30.469,8.72,4.74,1.08,9,9,2.819e-07,1.532e-07,,,ec0915.160606.546816_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,318,g,TEMPLATE,t,1.0738,1.198,0.151,7.591,22.726,861.0,0.2819,0.1532
30,4011,816,3,57545.104289,30.469,,,,0,0,,,,,ec0915.160606.546819_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,322,g,TEMPLATE,t,0.9225,1.218,0.12,10.517,22.31,688.0,,
30,4011,816,3,57566.034571,30.469,16.36,5.58,1.96,9,9,5.292e-07,1.805e-07,,,ec0915.160627.548999_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,329,g,TEMPLATE,t,0.9836,1.044,0.134,5.214,23.019,982.0,0.5291999999999999,0.18050000000000002
30,4011,816,3,57778.250046,30.469,-87.0,5.21,0.53,9,9,-2.814e-06,1.687e-07,,,ec0915.170125.612773_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,349,g,TEMPLATE,t,0.9495,1.062,0.146,5.353,23.006,903.0,-2.814,0.1687
30,4011,816,3,57778.250046,30.469,-80.18,4.39,0.86,9,9,-2.594e-06,1.421e-07,,,ec0915.170125.612773_ooi_g_vx_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,351,g,TEMPLATE,t,0.945,1.759,0.233,5.366,23.241,501.0,-2.594,0.1421
30,4011,816,3,57778.254182,30.469,-76.76,4.6,1.52,9,9,-2.483e-06,1.488e-07,,,ec0915.170125.612775_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,354,g,TEMPLATE,t,0.9488,1.166,0.141,4.932,23.164,776.0,-2.483,0.14880000000000002
30,4011,816,3,57778.254182,30.469,-73.09,4.13,2.14,9,9,-2.364e-06,1.334e-07,,,ec0915.170125.612775_ooi_g_vx_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,356,g,TEMPLATE,t,0.9592,1.745,0.221,4.945,23.383,480.0,-2.3640000000000003,0.1334
30,4011,816,3,57782.266187,30.469,28948.29,102.33,1.81,3,0,0.0009364,3.31e-06,16.471,0.003838,ec0915.170129.614186_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,359,g,TEMPLATE,t,1.0211,1.077,0.104,3.671,23.466,949.0,936.4,3.31
30,4011,816,3,57782.270358,30.469,-82.93,4.88,0.56,9,9,-2.682e-06,1.578e-07,,,ec0915.170129.614188_ooi_g_v1_N22_160306.523730_ooi_g_v1_N22.diff.fits,0x0000,362,g,TEMPLATE,t,1.0203,1.134,0.143,4.689,23.202,866.0,-2.682,0.1578
