ID,x,y,bsize,mjd,zpt,fluxADU,flux_err,X2norm,Npix,Nmask,Jyas2,Jyas2_err,SB,SB_err,fitsfile,skip,imID,filter,CONVOL00,PHOTNORM,KSUM00,FSIG00,FSCAT00,FWHM,M5SIGMA,SKYADU,mJyas2,mJyas2_err
0,3460,1472,3,56675.348218,30.15,-10.31,9.67,0.42,9,0,-4.476e-07,4.197e-07,,,ec0915.140118.275407_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,85,i,TEMPLATE,t,0.9846,1.315,0.08,4.046,22.414,3292.0,-0.4476,0.41969999999999996
0,3460,1472,3,56675.34971,30.15,-16.15,8.87,0.8,9,0,-7.01e-07,3.847e-07,,,ec0915.140118.275408_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,87,i,TEMPLATE,t,0.9807,1.309,0.074,3.864,22.407,3274.0,-0.7010000000000001,0.3847
0,3460,1472,3,56675.351218,30.15,4.08,8.96,0.3,9,0,1.772e-07,3.89e-07,,,ec0915.140118.275409_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,89,i,TEMPLATE,t,0.9768,1.287,0.063,4.228,22.312,3282.0,0.1772,0.389
0,3460,1472,3,56675.352709,30.15,-4.01,9.79,2.08,9,4,-1.739e-07,4.249e-07,,,ec0915.140118.275410_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,91,i,TEMPLATE,t,0.971,1.345,0.106,3.343,22.55,3360.0,-0.1739,0.4249
0,3460,1472,3,56675.357257,30.15,-11.24,9.12,1.07,9,4,-4.877e-07,3.957e-07,,,ec0915.140118.275413_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,93,i,TEMPLATE,t,0.9663,1.333,0.097,3.244,22.568,3451.0,-0.4877,0.3957
0,3460,1472,3,56675.365379,30.15,8.38,9.44,0.72,9,4,3.635e-07,4.096e-07,,,ec0915.140118.275418_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,95,i,TEMPLATE,t,0.9685,1.36,0.113,3.363,22.578,3366.0,0.3635,0.4096
0,3460,1472,3,56676.334309,30.15,-8.28,6.47,0.38,9,0,-3.595e-07,2.808e-07,,,ec0915.140119.275854_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,97,i,TEMPLATE,t,1.0486,1.308,0.066,4.532,22.609,2080.0,-0.3595,0.28080000000000005
0,3460,1472,3,56676.33595,30.15,-5.4,6.5,1.37,9,0,-2.342e-07,2.82e-07,,,ec0915.140119.275855_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,99,i,TEMPLATE,t,1.0549,1.319,0.071,4.383,22.639,2142.0,-0.2342,0.28200000000000003
0,3460,1472,3,56676.337446,30.15,2.38,6.67,1.01,9,0,1.031e-07,2.896e-07,,,ec0915.140119.275856_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,101,i,TEMPLATE,t,1.0508,1.32,0.065,4.42,22.606,2139.0,0.1031,0.2896
0,3460,1472,3,56676.338931,30.15,-10.71,6.47,1.36,9,0,-4.649e-07,2.806e-07,,,ec0915.140119.275857_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,103,i,TEMPLATE,t,1.0527,1.325,0.072,4.5,22.597,2185.0,-0.4649,0.2806
0,3460,1472,3,56676.340439,30.15,-16.47,7.4,1.28,9,0,-7.147e-07,3.211e-07,,,ec0915.140119.275858_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,105,i,TEMPLATE,t,1.0578,1.329,0.068,4.911,22.498,2174.0,-0.7147,0.3211
0,3460,1472,3,56676.357882,30.15,5.11,6.79,0.25,9,0,2.216e-07,2.946e-07,,,ec0915.140119.275867_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,110,i,TEMPLATE,t,1.0571,1.371,0.098,3.899,22.752,2207.0,0.2216,0.29460000000000003
0,3460,1472,3,56690.223648,30.15,0.14,5.5,1.09,9,0,6.084e-09,2.385e-07,,,ec0915.140202.280404_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,115,i,TEMPLATE,t,1.0604,1.387,0.129,3.457,23.294,1052.0,0.006084,0.23850000000000002
0,3460,1472,3,56703.186185,30.15,5.16,8.28,0.93,9,0,2.239e-07,3.594e-07,,,ec0915.140215.285238_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,120,i,TEMPLATE,t,1.0423,1.259,0.053,5.175,22.234,3206.0,0.22390000000000002,0.3594
0,3460,1472,3,56703.191831,30.15,-2.57,8.15,1.71,9,0,-1.116e-07,3.539e-07,,,ec0915.140215.285241_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,125,i,TEMPLATE,t,1.0395,1.255,0.046,5.625,22.163,3163.0,-0.11159999999999999,0.3539
0,3460,1472,3,56713.195515,30.15,-2.43,5.74,1.68,9,0,-1.055e-07,2.489e-07,,,ec0915.140225.288122_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,130,i,TEMPLATE,t,1.0837,1.341,0.107,3.779,23.115,1303.0,-0.1055,0.2489
0,3460,1472,3,56745.062221,30.15,-2.75,6.64,0.72,9,8,-1.193e-07,2.88e-07,,,ec0915.140329.296582_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,135,i,TEMPLATE,t,1.0366,1.42,0.151,2.871,23.258,1494.0,-0.11929999999999999,0.288
0,3460,1472,3,56764.147993,30.15,-17.19,7.5,0.69,9,0,-7.459e-07,3.255e-07,,,ec0915.140417.301622_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,137,i,TEMPLATE,t,1.0617,1.327,0.084,3.777,22.639,2466.0,-0.7459,0.3255
0,3460,1472,3,56764.152138,30.15,-2.83,7.51,0.81,9,4,-1.227e-07,3.258e-07,,,ec0915.140417.301624_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,140,i,TEMPLATE,t,1.0636,1.352,0.103,3.129,22.955,2519.0,-0.1227,0.32580000000000003
0,3460,1472,3,56814.004757,30.15,5.38,6.09,1.65,9,0,2.333e-07,2.642e-07,,,ec0915.140606.320221_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,143,i,TEMPLATE,t,1.0752,1.31,0.059,5.024,22.64,1603.0,0.2333,0.2642
0,3460,1472,3,56834.971837,30.15,27.14,6.43,0.78,9,0,1.178e-06,2.79e-07,23.722,0.25721,ec0915.140626.331034_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,150,i,TEMPLATE,t,1.0716,1.295,0.059,5.142,22.536,1858.0,1.178,0.27899999999999997
0,3460,1472,3,56836.96303,30.15,20.39,6.88,1.27,9,0,8.85e-07,2.986e-07,,,ec0915.140628.331924_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,155,i,TEMPLATE,t,1.0903,1.295,0.071,3.935,22.728,2359.0,0.885,0.2986
0,3460,1472,3,56851.998267,30.15,-1.68,9.81,0.81,9,0,-7.273e-08,4.257e-07,,,ec0915.140713.336059_ooi_i_v1_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,159,i,TEMPLATE,t,0.9389,1.211,0.03,7.36,21.687,3429.0,-0.07273,0.4257
