phase,AB_mag,AB_mag_err
-4035.109553966664,21.855837878119825,0.0413213869995568
-4032.801138890027,21.853540037166383,0.04041117573530747
-4030.4927238133823,21.851409083878604,0.03953289669375245
-4028.184308736745,21.849444759464532,0.038686325007250284
-4025.8758936601007,21.84764679395622,0.03787123601302126
-4023.567478583463,21.846014905594437,0.037087404109313424
-4021.2590635068264,21.844548800188733,0.03633460158194385
-4018.950648430182,21.843248170452267,0.03561259741028457
-4016.6422333535447,21.842112695310668,0.03492115606372447
-4014.333818276907,21.841142039184156,0.03426003630172369
-4012.025403200263,21.840335851242276,0.03362898999267004
-4009.716988123626,21.83969376463044,0.03302776096853713
-4007.4085730469815,21.839215395667573,0.03245608393402001
-4005.100157970344,21.838900343014135,0.031913683450137634
-4002.791742893707,21.838748186809735,0.03140027301303014
-4000.483327817062,21.83875848777967,0.030915554249032435
-3998.1749127404255,21.83893078630961,0.0304592162466179
-3995.866497663781,21.83926460148767,0.03003093504468349
-3993.558082587144,21.83975943011326,0.029630373294746295
-3991.2496675105062,21.84041474567192,0.029257180111820096
-3988.9412524338622,21.84122999727545,0.028910991125323592
-3986.632837357225,21.84220460856673,0.028591428737102905
-3984.324422280588,21.84333797658853,0.028298102588896864
-3982.016007203943,21.84462947061573,0.028030610236384902
-3979.7075921273063,21.846078430950275,0.02778853802148356
-3977.399177050662,21.84768416767847,0.027571462129135145
-3975.0907619740246,21.84944595938991,0.027378949809583254
-3972.782346897387,21.85136305185778,0.027210560742347997
-3970.473931820743,21.853434656679973,0.027065848513975654
-3968.165516744106,21.855659949880668,0.026944362178355847
-3965.8571016674614,21.858038070472293,0.026845647866077973
-3963.548686590824,21.860568118977337,0.02676925040807481
-3961.240271514187,21.863249155910236,0.02671471493866274
-3958.9318564375426,21.866080200219013,0.026681588444057228
-3956.6234413609054,21.86906022768691,0.02666942122439625
-3954.315026284268,21.87218816929421,0.026677768240211213
-3952.006611207624,21.87546290954041,0.026706190317864045
-3949.6981961309866,21.87888328472732,0.026754255192687506
-3947.389781054342,21.882448081203698,0.026821538373105493
-3945.081365977705,21.88615603357197,0.02690762381378552
-3942.772950901068,21.890005822858257,0.027012104390611188
-3940.4645358244234,21.89399607464654,0.02713458217489089
-3938.156120747786,21.89812535717842,0.02727466850851128
-3935.8477056711417,21.902392179420048,0.02743198388566211
-3933.539290594505,21.9067949890978,0.02760615765016944
-3931.2308755178674,21.911332170704977,0.027796827520371145
-3928.922460441223,21.916002043481587,0.028003638955764496
-3926.6140453645858,21.920802859369868,0.02822624438143878
-3924.3056302879486,21.925732800948587,0.028464302287508948
-3921.997215211304,21.930789979349093,0.02871747622145952
-3919.688800134667,21.935972432156774,0.0289854336915826
-3917.3803850580225,21.941278121302073,0.02926784499953114
-3915.071969981386,21.946704930944946,0.02956438201949798
-3912.763554904748,21.95225066535803,0.02987471694080262
-3910.455139828104,21.957913046813264,0.030198520989618737
-3908.1467247514665,21.963689713477788,0.03053546314448622
-3905.838309674822,21.969578217325395,0.03088520885896988
-3903.529894598185,21.97557602206969,0.031247418803497524
-3901.221479521548,21.981680501126725,0.031621747637145196
-3898.9130644449033,21.98788893561419,0.03200784281876121
-3896.604649368266,21.994198512395705,0.03240534346561223
-3894.296234291629,22.00060632217913,0.032813879266555726
-3891.987819214985,22.007109357677997,0.033233069455618124
-3889.6794041383473,22.013704511846175,0.03366252185089863
-3887.370989061703,22.020388576196726,0.03410183196285886
-3885.0625739850657,22.027158239215538,0.034550582175247056
-3882.754158908429,22.03401008488238,0.03500834100132054
-3880.445743831784,22.04094059131127,0.0354746624174474
-3878.137328755147,22.047946129523577,0.03594908527577486
-3875.8289136785024,22.055022962367737,0.036431132797322206
-3873.5204986018657,22.06216724359954,0.03692031214658494
-3871.212083525228,22.069375017138423,0.037416114088643
-3868.903668448584,22.076642216514898,0.037918012729617236
-3866.5952533719465,22.083964664525176,0.03842546534132518
-3864.2868382953097,22.09133807310989,0.03893791227102873
-3861.978423218665,22.098758043473264,0.03945477693715306
-3859.670008142028,22.106220066460416,0.039975465912016415
-3857.361593065383,22.113719523210467,0.04049936909266808
-3855.053177988746,22.121251686102852,0.04102585996100875
-3852.744762912109,22.128811720015428,0.041554295934527745
-3850.436347835464,22.13639468391177,0.04208401880900247
-3848.1279327588272,22.14399553277591,0.04261435529457926
-3845.81951768219,22.151609119912262,0.04314461764671983
-3843.5111026055456,22.15923019962785,0.0436741043933977
-3841.202687528909,22.166853430313818,0.044202101159925025
-3838.894272452264,22.174473377942704,0.044727881592672165
-3836.585857375627,22.182084519996273,0.04525070838269915
-3834.2774422989896,22.189681249839033,0.04576983439018711
-3831.969027222345,22.197257881550026,0.046284503870141463
-3829.660612145708,22.20480865522493,0.046793953799548364
