phase,AB_mag,AB_mag_err
-4121.016258966658,23.077908198674812,0.1414734007476615
-4118.688257974238,23.072772875630353,0.13774953552019562
-4116.36025698181,23.06771981758686,0.13411513122863944
-4114.03225598939,23.062746753268538,0.13056943797622736
-4111.704254996963,23.057851414367324,0.12711172887935582
-4109.376254004543,23.053031537799004,0.1237412970605047
-4107.048253012123,23.048284868027267,0.12045745248719801
-4104.720252019695,23.043609159453347,0.11725951864869685
-4102.392251027275,23.03900217886825,0.11414682906299022
-4100.064250034848,23.034461707964102,0.11111872360841293
-4097.7362490424275,23.029985545901386,0.10817454467677645
-4095.40824805,23.025571511927733,0.10531363314712779
-4093.08024705758,23.021217448044432,0.10253532418331442
-4090.75224606516,23.016921221715585,0.09983894286196857
-4088.424245072733,23.0126807286154,0.09722379964292038
-4086.096244080312,23.008493895408222,0.09468918569923966
-4083.768243087885,23.004358682555562,0.09223436813040173
-4081.440242095465,23.000273087144688,0.0898585850894018
-4079.1122411030447,22.99623514573218,0.08756104086172864
-4076.7842401106177,22.99224293719642,0.0853409009426664
-4074.456239118197,22.988294585592165,0.08319728716750698
-4072.1282381257697,22.98438826300026,0.08112927295766792
-4069.8002371333496,22.98052219236563,0.07913587875416647
-4067.4722361409295,22.97669465031596,0.07721606771700779
-4065.144235148502,22.972903969953872,0.07536874177599015
-4062.816234156082,22.96914854361494,0.07359273812308713
-4060.4882331636545,22.965426825583716,0.07188682623968479
-4058.1602321712344,22.961737334760404,0.07024970555265951
-4055.832231178807,22.958078657269883,0.06868000381067908
-4053.504230186387,22.954449449005892,0.06717627626699245
-4051.1762291939663,22.950848438102103,0.06573700574566278
-4048.8482282015393,22.9472744273228,0.06436060365609447
-4046.520227209119,22.943726296365494,0.06304541200463983
-4044.192226216692,22.940203004067946,0.06178970643320403
-4041.864225224272,22.93670359051265,0.06059170029329412
-4039.536224231851,22.933227179021515,0.05944954974037916
-4037.208223239424,22.92977297803422,0.05836135980910034
-4034.880222247004,22.926340282863805,0.05732519140526014
-4032.5522212545766,22.92292847732319,0.05633906912694505
-4030.224220262157,22.919537035217267,0.055400989805768124
-4027.896219269736,22.91616552169483,0.05450893164048828
-4025.568218277309,22.912813594455827,0.053660863780748976
-4023.240217284889,22.909481004809273,0.05285475620824434
-4020.9122162924614,22.906167598577877,0.05208858975715691
-4018.5842153000417,22.902873316846108,0.05136036611524479
-4016.256214307614,22.899598196548546,0.050668117650993424
-4013.9282133151937,22.8963423708964,0.0500099169210718
-4011.6002123227736,22.893106069640098,0.049383885724530965
-4009.272211330346,22.889889619166954,0.04878820358588755
-4006.944210337926,22.886693442433106,0.04822111556679862
-4004.616209345498,22.883518058729532,0.04768093932525295
-4002.2882083530785,22.880364083282878,0.04716607136082291
-3999.9602073606584,22.87723222669182,0.046674992403869985
-3997.632206368231,22.87412329420083,0.046206271925169164
-3995.304205375811,22.8710381848134,0.0457585717593581
-3992.976204383383,22.867977890247285,0.045330648850811776
-3990.6482033909633,22.864943493735325,0.04492135714359043
-3988.320202398543,22.861936168675093,0.04452964864788434
-3985.992201406116,22.85895717713199,0.044154573723896445
-3983.664200413696,22.856007868200173,0.04379528063050682
-3981.336199421268,22.853089676226343,0.043451014390347584
-3979.008198428848,22.85020411890206,0.04312111502558803
-3976.6801974364207,22.847352795230048,0.042805015219677195
-3974.3521964440006,22.844537383370984,0.04250223746022151
-3972.024195451581,22.84175963837676,0.04221239071686091
-3969.696194459153,22.839021389817198,0.04193516670633849
-3967.368193466733,22.836324539306876,0.041670335794442376
-3965.0401924743055,22.833671057939096,0.041417742582105406
-3962.7121914818854,22.83106298363425,0.04117730122027927
-3960.3841904894657,22.828502418409638,0.04094899049580186
-3958.056189497038,22.825991525578218,0.04073284872817408
-3955.7281885046177,22.823532526883476,0.04052896851537625
-3953.4001875121903,22.821127699577698,0.04033749136528742
-3951.07218651977,22.818779373450944,0.04015860224828288
-3948.74418552735,22.816489927817756,0.039992524105821485
-3946.416184534922,22.814261788468734,0.03983951234965932
-3944.0881835425025,22.812097424593738,0.0396998493862891
-3941.760182550075,22.80999934568335,0.03957383920146123
-3939.432181557655,22.80797009841525,0.039461802040087514
-3937.104180565227,22.80601226353144,0.03936406921711908
-3934.776179572807,22.80412845271253,0.039280978095346364
-3932.4481785803873,22.802321305454587,0.03921286726602789
-3930.12017758796,22.80059348595403,0.03916007196790489
-3927.79217659554,22.79894768000556,0.039122919779275844
-3925.464175603112,22.79738659191787,0.03910172661638646
-3923.136174610692,22.79591294145153,0.03909679306920549
-3920.808173618272,22.794529460783032,0.03910840110285275
-3918.4801726258447,22.793238891498692,0.03913681114936553
-3916.1521716334246,22.79204398162173,0.03918225961022309
-3913.824170640997,22.790947482675335,0.03924495678516993
-3911.496169648577,22.789952146784422,0.03932508523738012
-3909.168168656157,22.78906072381807,0.039422798599324606
-3906.8401676637295,22.788275958574644,0.039538220817457385
-3904.5121666713094,22.78760058801082,0.03967144582782441
-3902.184165678882,22.787037338515745,0.03982253764865276
-3899.856164686462,22.78658892323088,0.03999153087017885
-3897.5281636940344,22.786258039416012,0.040178431516828456
-3895.2001627016143,22.786047365861286,0.040383218252115945
-3892.872161709194,22.78595956034504,0.04060584389277706
-3890.544160716767,22.785997257136646,0.040846237195539974
-3888.216159724346,22.786163064543477,0.04110430487777188
-3885.8881587319192,22.786459562500575,0.04137993383189119
-3883.560157739499,22.78688930020151,0.04167299349307263
-3881.232156747079,22.787454793768493,0.04198333832015746
-3878.904155754651,22.788158523959538,0.042310810350889204
-3876.576154762231,22.7890029339103,0.042655241794386144
-3874.248153769804,22.789990426907877,0.04301645762627114
-3871.920152777384,22.791123364193574,0.043394278154562566
-3869.592151784964,22.79240406279159,0.0437885215277382
-3867.264150792536,22.79383479336014,0.044199006159612426
-3864.936149800116,22.79541777806145,0.04462555304917611
-3862.608148807689,22.797155188446894,0.045067987976994
-3860.2801478152687,22.799049143353198,0.04552614356300262
-3857.9521468228418,22.80110170680568,0.04599986117390904
-3855.624145830421,22.80331488592411,0.04648899267116027
-3853.296144838001,22.805690628826834,0.04699340199337005
-3850.9681438455736,22.808230822528458,0.04751296656939136
-3848.6401428531535,22.810937290826427,0.04804757856045811
-3846.312141860726,22.813811792171656,0.04859714593169294
-3843.984140868306,22.816856017518116,0.04916159335479021
-3841.656139875886,22.82007158814653,0.04974086294511763
-3839.3281388834585,22.82346005345681,0.050334914837418934
-3837.0001378910383,22.82702288872403,0.050943727605247804
-3834.672136898611,22.83076149281285,0.05156729852984359
-3832.344135906191,22.83467718584462,0.05220564372460978
-3830.01613491377,22.838771206812183,0.05285879812173296
-3827.6881339213433,22.843044711136628,0.053526815327574716
-3825.360132928923,22.847498768160573,0.054209767353601564
-3823.032131936496,22.852134358572727,0.05490774422964421
-3820.704130944075,22.856952371757895,0.05562085350611249
-3818.376129951648,22.86195360306737,0.05634921965181054
-3816.048128959228,22.86713875100398,0.057092983353752715
-3813.720127966808,22.87250841431672,0.05785230072530719
-3811.392126974381,22.878063088999582,0.05862734242878429
-3809.06412598196,22.883803165189363,0.05941829271843189
-3806.736124989533,22.889728923957776,0.06022534840972782
-3804.408123997113,22.895840533992487,0.0610487177806061
-3802.0801230046927,22.902138048163053,0.06188861941028096
-3799.7521220122658,22.908621399966776,0.06274528096113476
-3797.424121019845,22.91529039985059,0.06361893790917296
-3795.096120027418,22.922144731405275,0.06450983222845831
-3792.7681190349977,22.92918394742807,0.0654182110349575
-3790.4401180425775,22.936407465851094,0.0663443251952941
-3788.11211705015,22.943814565532616,0.06728842790589155
-3785.78411605773,22.95140438190908,0.06825077324814621
-3783.4561150653026,22.959175902506704,0.06923161472539051
-3781.1281140728825,22.967127962311267,0.07023120378743668
-3778.800113080455,22.97525923899656,0.07124978834888299
-3776.472112088035,22.98356824801155,0.07228761130729161
-3774.144111095615,22.992053337528574,0.07334490906786295
-3771.8161101031874,23.00071268325457,0.07442191008121576
-3769.4881091107673,23.00954428310938,0.07551883340135973
-3767.16010811834,23.018545951776265,0.07663588727117877
-3764.83210712592,23.027715315130354,0.07777326774298934
-3762.504106133499,23.03704980455365,0.07893115734225131
-3760.176105141072,23.046546651145167,0.08010972378270191
-3757.848104148652,23.056202879837777,0.08130911874164237
-3755.5201031562246,23.06601530343499,0.08252947670453574
-3753.192102163805,23.07598051658209,0.08377091388830127
-3750.864101171384,23.086094889689754,0.08503352725331288
-3748.536100178957,23.09635456282918,0.08631739361423485
-3746.208099186537,23.10675543962111,0.08762256886038249
-3743.8800981941095,23.11729318114416,0.08894908729652559
-3741.55209720169,23.127963199889297,0.09029696111529165
-3739.224096209262,23.138760653792488,0.09166618001265578
-3736.896095216842,23.149680440378447,0.09305671095794969
-3734.5680942244217,23.160717191053973,0.09446849813003562
-3732.2400932319943,23.171865265591066,0.09590146303097692
-3729.912092239574,23.183118746844663,0.09735550478836695
-3727.5840912471463,23.19447143575382,0.09883050065701818
-3725.2560902547266,23.20591684667761,0.10032630672984451
-3722.9280892623065,23.217448203123055,0.10184275886704328
-3720.600088269879,23.229058433924145,0.10337967385112788
-3718.272087277459,23.240740169936494,0.10493685077393354
-3715.944086285031,23.252485741315798,0.10651407265968388
-3713.6160852926114,23.26428717545096,0.10811110832559565
-3711.2880843001913,23.27613619562821,0.1097277144788855
-3708.960083307764,23.288024220504035,0.1113636380453336
-3706.632082315344,23.29994236446892,0.11301861872086516
-3704.304081322916,23.31188143898677,0.11469239173306232
-3701.976080330496,23.32383195499545,0.11638469079438206
-3699.648079338069,23.335784126457927,0.11809525122354332
-3697.3200783456487,23.34772787515172,0.11982381320507414
-3694.992077353229,23.35965283678694,0.12157012515082505
-3692.664076360801,23.371548368540374,0.12333394711988771
-3690.336075368381,23.383403558092397,0.12511505424621228
-3688.0080743759536,23.395207234250584,0.12691324011573252
-3685.6800733835335,23.406947979238353,0.12872832002696688
-3683.352072391114,23.418614142723403,0.130560134061993
-3681.024071398686,23.43019385765154,0.1324085498873109
-3678.696070406266,23.441675057944284,0.13427346519789837
-3676.3680694138384,23.453045498108228,0.13615480971233726
-3674.0400684214183,23.46429277479097,0.13805254662243827
-3671.712067428998,23.47540435030678,0.13996667339861157
-3669.3840664365703,23.486367578137806,0.1418972218512703
-3667.0560654441506,23.497169730400675,0.14384425735054346
-3664.728064451723,23.507798027249805,0.1458078771110513
-3662.400063459303,23.518239668167123,0.1477882074557052
-3660.072062466875,23.52848186506842,0.14978539998364335
-3657.744061474455,23.53851187713149,0.15179962658117668
-3655.4160604820354,23.548317047229588,0.15383107323279394
-3653.088059489608,23.557884839827835,0.15587993261017605
-3650.760058497188,23.567202880176286,0.1579463954420608
-3648.432057504761,23.576258994609127,0.1600306406953774
-3646.10405651234,23.585041251734182,0.16213282462810105
-3643.77605551992,23.593538004275327,0.16425306880661494
-3641.448054527493,23.60173793130737,0.16639144721311644
-3639.1200535350727,23.609630080603818,0.168547972601969
-3636.7920525426457,23.617203910800747,0.17072258229597478
-3634.464051550225,23.624449333064515,0.17291512364318576
-3632.136050557805,23.63135675194117,0.17512533938160824
