Teff,ebv,v_MarIMACS,v_AprIMACS,v_AprWFC,ln_sigma_mgb,ln_sigma_caii,ln_cal_blue_MarIMACS200,ln_cal_blue_AprIMACS300,ln_cal_blue_AprWFCCD
5405.471726809476,0.9211482173418138,-372.08659282320633,-333.6580084662269,-390.344972956626,-0.39814819456460854,-0.6315058411604422,0.013481186355681907,-0.11701688865552436,0.5337819781478006
5434.462903815652,0.9050083611388329,-398.7012239313745,-323.0572445961405,-388.6215916133038,-0.3358180820294292,-0.67589395459061,0.3953584428961324,0.10507361104731662,0.5224222562001286
5413.659402162466,0.9243199478963712,-385.3857210645165,-328.1132443941575,-357.30232509617633,-0.31093908403657533,-0.632383359279269,0.25540458323604454,0.046986884399347534,0.4762965067416176
5421.208580309567,0.9264455148792581,-401.86786956060473,-333.93566568708013,-413.10079771665437,-0.2781144008767006,-0.600991608124168,0.28163425422611715,-0.012884475847602633,0.5586543804121417
5412.985399123432,0.9370702489440357,-366.65020876173696,-337.0686731180697,-367.4702759764884,-0.3410760835720001,-0.6590148187116198,0.1940304550220549,0.040440541831287605,0.4709577023809828
5429.630309838484,0.910306419415037,-380.898018952933,-343.1270369946201,-355.1135687201676,-0.2899798294464911,-0.6297945648692571,0.16751650537718554,0.2671087818380107,0.46023333715209835
5415.00093623871,0.9031462724522161,-392.1385438801346,-327.96297767448476,-386.3788212909673,-0.3022246683192943,-0.6134572980498789,0.12605201097916852,0.13779926495372347,0.4999733267354142
5410.32309286328,0.9045790903241386,-379.3307119627128,-343.56382317693954,-369.51224715464775,-0.3515088608512658,-0.6465887932464855,0.3643643626144215,0.10174518988275384,0.5336075067280363
5426.226512060155,0.9039923061309928,-389.72568638644873,-331.42994136491365,-376.8125082259952,-0.3650955792103425,-0.6129516221286219,-0.023090765569037136,0.06061647160571208,0.5202100036221444
5431.122124980614,0.8868336168069925,-388.2025431538811,-327.99408191204674,-391.3621518465677,-0.3499846530813741,-0.6466461713829237,-0.010170936760101668,0.013766620356756258,0.6061518277021212
5428.868343332292,0.9410884057378128,-374.01090771011724,-326.54539774709616,-399.79111742282987,-0.33002990190499126,-0.6124534750678187,0.575918615682899,0.07415729908765437,0.4331500575832412
5409.622026458262,0.8928824411429623,-360.1186838682172,-339.25181828892823,-376.0850897971437,-0.29716150591995244,-0.6414645232202513,0.2389200364688716,-0.033878800796958555,0.5503538532218201
5443.314863521223,0.8911503543157742,-377.23710350031484,-346.3759685246504,-386.51349157296386,-0.34098637740842375,-0.680475628792102,0.4082727799708852,0.06346896083910486,0.566606015430442
5397.24354070878,0.9035224818696151,-372.1452698038373,-322.3204858293609,-375.9904300724528,-0.3614819403278671,-0.6609220387427912,0.23614534608198182,0.013389257174156368,0.5518876729237019
5426.463932896741,0.917957587371022,-381.75061468157276,-332.9079128434987,-384.4385064563088,-0.33155197260308716,-0.6364952688497296,0.24695517096137345,0.07565367583471044,0.5121916112195686
5420.196065244312,0.9195515541389572,-384.6960726522122,-338.11757663484474,-385.28719202152,-0.33964323330704943,-0.6233977452608035,-0.019062166831198296,0.0896316754688423,0.4523882943815466
5404.4148254341735,0.884470417637036,-391.7371148386095,-333.56041879764354,-371.0162261191902,-0.3354095302237895,-0.6050442315164112,0.21525207819423603,0.1328935127206201,0.5251583907114695
5427.988056987983,0.928765492849947,-401.8664491554045,-338.5371413120999,-391.36164536302914,-0.3085750890342322,-0.6258765190810701,0.18558962406192095,0.16231802997273898,0.444858803151094
5416.502223511333,0.9177228329306635,-374.99658916075776,-339.5469292796677,-385.75100282729335,-0.37634174881288324,-0.6707664030638455,0.235253646286758,0.09494975454343145,0.41817369767283974
5405.828513771975,0.9044220387788566,-392.7388083625699,-332.96200747949973,-390.39514674816655,-0.31574382418710306,-0.6200537963143978,0.2866082159688284,-0.16401756707034637,0.49545550987171244
5399.498476796766,0.8760169535609942,-382.81670032868925,-326.61895922059995,-371.84250464358763,-0.32433354316400326,-0.6496349166176197,0.030767348853914078,0.04112982745862326,0.5026118281147348
5395.4207500725915,0.9041367413518514,-363.6038260908341,-319.69463696945553,-376.6553676721656,-0.3608506338849753,-0.6488601919576172,0.4570627811745081,0.15037743369348464,0.4477715752630105
5410.654490366569,0.8865580160235828,-360.92378225794096,-332.0587644410062,-378.70035046882583,-0.30931623007482967,-0.6399733808037493,0.351669831622254,0.03054545698562656,0.4542189883661434
5428.141168451818,0.9206741978016993,-384.0337592633944,-329.0682180862072,-369.8813287556319,-0.31469208999695086,-0.6018038714933771,-0.05788982561709094,-0.036445811086768615,0.551650733809191
5423.157193734881,0.9033179000689524,-383.0785110274436,-335.76141460740075,-374.71370019880015,-0.3059465604551503,-0.6457456850856494,0.2131402541500846,0.08028190824355647,0.4957848398799537
5408.058555302269,0.9023833135965887,-386.63032523175616,-328.73862464222213,-375.32816972177886,-0.3528626783358722,-0.6515397227578654,0.1478801684027825,0.15057539920556542,0.4739311149510783
5419.964663431202,0.9389003366135316,-378.26367273746644,-329.25417840662334,-399.8266019857781,-0.3407266904028179,-0.6595605658890445,0.18870445907194228,0.07421520357006386,0.411976506666954
5420.996195314618,0.9453791669529378,-379.0306960370214,-338.5588194938047,-379.8723282835658,-0.32598329335329074,-0.6513472816206477,0.24692387669648624,-0.044327409454734484,0.5213376991590564
5414.526831291622,0.9234934243850008,-389.07778441652346,-332.7150763071947,-384.5820882126395,-0.36867250389412015,-0.6559104768431794,0.15309680801699221,-0.06364141783380291,0.5360812288301644
5415.853603530729,0.9122676083044777,-385.16554604268873,-336.61035326160084,-378.2826965767072,-0.34394174577263037,-0.6476769749499343,0.18448301056646316,0.05945458583289662,0.462257220989279
5411.512222665617,0.9372887137123481,-394.6162947078362,-331.06972338124206,-376.9140801368824,-0.3276900478103912,-0.6545618272785774,0.6841172336366845,-0.06497494405697618,0.4427110896799419
5409.298539264888,0.8812237231210996,-379.5671868365391,-330.22908759682554,-367.8201850189567,-0.34609024771391383,-0.6424221745929363,0.3772069428452546,0.09910946794621761,0.47692717493718123
5398.229393823854,0.8992133418266853,-389.5029308391084,-333.5746696088157,-371.3674907126024,-0.33446485558723643,-0.6486916855664911,0.27109763670598075,0.11611790816025021,0.4496544738416669
5396.313836615697,0.8971310206690745,-383.31491743218305,-320.2476135280427,-380.38197488253815,-0.32316851541469366,-0.6026275466680461,0.2982272039900825,0.12751889206440936,0.4169582150950433
5411.245438067486,0.9188705592346627,-395.8708730805199,-331.4383210423115,-386.8612006693527,-0.3307194134192299,-0.6867577097728902,0.25213355146233063,0.006571674046269016,0.4498839671328385
5415.661290539761,0.9326131476338102,-364.29252965501144,-340.613304389655,-380.0841921657103,-0.3774662512804007,-0.6152388019819504,0.08064189755419175,0.016359882811719947,0.4053707694941843
5400.310065061416,0.919104186888787,-363.29873360622236,-321.956766336133,-379.3415206500061,-0.3373939390711185,-0.6743202732517447,0.2725954200398503,0.158022575985254,0.4646430282347819
5407.105982621756,0.9135725232777504,-363.4180081867177,-318.6841472675367,-371.99488815543606,-0.32592829167863957,-0.6113038188735288,-0.032346084366108384,-0.012478306051361368,0.4061808361718672
5401.832638355845,0.9073773643707979,-372.5882137443888,-330.6996195348003,-388.19502990591565,-0.303032220884783,-0.6917728373312577,0.3671716223186158,0.02979754572374521,0.5704140842218454
5403.461903151726,0.9003062482961877,-367.940771778893,-326.18727835486925,-383.8899055583702,-0.3589521453876747,-0.6836505952875475,0.19844372023190088,0.17580707189156256,0.5493734760761328
5407.583198474637,0.9099396140905702,-394.78581160684047,-324.82124014738685,-375.43400599500853,-0.34187367461380713,-0.610964938296765,0.25281272248509684,-0.017805452368646696,0.5493157770011491
5428.066232257321,0.9144836222800501,-400.1123027709375,-327.38182816347035,-413.8286415269181,-0.30890429445512574,-0.6678186452112325,0.1361682001121247,-0.004901502035449076,0.5359315459475678
5418.690227353893,0.9050382207541917,-380.00129011812356,-332.80114968942877,-392.2161731417197,-0.3126316912872727,-0.6321315532498072,0.07332128982718372,0.09579363395688205,0.5526431242896953
5419.342534183153,0.9147434813991734,-369.30779323862816,-326.25124640221935,-381.0833650510173,-0.3509512314222657,-0.6135042370967857,0.21762980174581836,-0.012380670460860471,0.4908451244477677
5422.210651562409,0.9257335357021755,-380.6845207765942,-333.85927171954035,-380.9267964640087,-0.2753198357795048,-0.6317126119248462,0.2951118225684177,-0.05476065241114996,0.4917219353161862
5421.708141802843,0.9187519130031058,-378.70731867478304,-322.6169433349076,-395.7750124123142,-0.3460090048287557,-0.600450051622306,-0.09078424533548768,0.043242963349348115,0.47292811066416907
5416.964617213027,0.9355849881217096,-366.5757034917245,-331.61263563017866,-381.88791328431256,-0.3418361762076723,-0.6306279819167999,0.29952553532893766,-0.019445365011052596,0.4157835652310067
5420.085404933801,0.9289508355533664,-385.5179935638874,-325.978576721838,-389.34612539143876,-0.3663949688930425,-0.611981131440839,0.2993901685553538,0.028741957541854678,0.5062677757160879
5416.1176625162725,0.917291663045655,-369.65012361547736,-335.58354851071084,-397.88493432849504,-0.3397416759288946,-0.6527117723532889,0.4794317940302957,-0.07717293575371759,0.43292231811475196
5404.280547437865,0.9485713489307905,-397.56384607854847,-328.23543856527397,-379.40699738955595,-0.3039864327590369,-0.6344423010246494,0.18611916924034505,0.23780892680681892,0.5287942806103056
5414.508971053005,0.8878749526456975,-385.46080323126785,-331.84614874096764,-393.35387143634966,-0.33794580499264604,-0.6422489921903939,0.13791238178034687,0.1792798825720558,0.5528211984843714
5410.417575329004,0.9448434888924552,-374.0286105526723,-343.08428923367603,-379.0549074064879,-0.33815552329032966,-0.6422706839400043,0.1269804400000732,-0.03156592247608461,0.4956642154628368
5414.228190118541,0.8976061295207125,-398.5191630230091,-328.3409756961145,-389.45907369026384,-0.30970239005909106,-0.6632546379757067,0.44867583104691333,0.047169450074132924,0.551694715652036
5409.967531791269,0.8933190346262803,-381.02599048196055,-323.3698662683498,-389.4132685398998,-0.3192885714712818,-0.6090773737673623,0.2009002255928941,0.07008777041427938,0.48440381224961565
5419.794598034968,0.9132322771150037,-381.7857354321983,-326.63608687286455,-389.5274532738861,-0.32890836935227163,-0.6297304190431808,0.3307400695591649,0.07880440918683584,0.45883474199408375
5412.429249741132,0.9042781039364917,-385.45784444889046,-331.91363569635644,-369.37397088931124,-0.3185315160721124,-0.6260896385525931,0.5878649973678644,-0.0711051336073807,0.5080521272105698
5406.35765480165,0.9253926466376114,-372.4344578783203,-335.34649649027284,-388.3226333995516,-0.38740197243562796,-0.6334340998833092,0.03381180616688982,-0.1017104346471334,0.5269541117405915
5426.028582072763,0.8941373513157809,-389.89986144348217,-323.7961916886322,-377.751505404028,-0.3382004427511465,-0.6450748031364625,0.28088881438453017,0.1659593946714102,0.5205257120877773
5413.609180892501,0.924420919980942,-385.42410940032863,-328.0594472755174,-357.2838327502821,-0.3109860734154996,-0.6323878738252653,0.2555093703091215,0.046259527325571426,0.4763621463994247
5413.206545946412,0.9217135276097423,-393.9430656277638,-333.4745480291553,-399.3051933277188,-0.3253041263166234,-0.6550590622473402,0.30622828744890307,0.06403583861994716,0.4847434830025446
5407.046576887891,0.93044373919674,-359.0827264826918,-337.5275635716677,-364.01891706865524,-0.34309896722820377,-0.656202207809722,0.08820202396375426,0.0228787746575643,0.45184546322851793
5418.609176124056,0.9037391311040466,-379.6750588290422,-336.43315121192194,-367.3318557365341,-0.32357390949495574,-0.6424991176110957,0.212726677066785,0.17857234445416834,0.45698818450980633
5417.684882983463,0.905471206947128,-388.9956566229272,-329.6669687566412,-375.0066173173948,-0.32354894460184486,-0.6230364862180113,0.044717424451897386,0.19999981799129105,0.4883899675611739
5415.148860476615,0.899297490120849,-381.68437010291706,-343.89308521895344,-364.160005013065,-0.3673500959885134,-0.6296239621655996,0.3610336120092364,0.10337679043777195,0.5176222043066734
5424.722031620243,0.900702553697989,-389.78717500081723,-332.99707351148277,-375.38263794338917,-0.3569893742108773,-0.6174596610873654,0.07467262885974343,0.07050681474856489,0.5421017586770034
5430.900002706945,0.8844185962684075,-389.06522800689805,-327.5628965983049,-392.18024719457867,-0.3399272480842053,-0.6435248782904843,0.03519097900675516,0.0035522863039675126,0.624604414966715
5427.342331192549,0.9413989783101149,-374.01237186340575,-327.91328385253723,-398.07608267676613,-0.33070194964169103,-0.6149195741865167,0.5387881772120444,0.06541322298576739,0.4383204311857426
5415.617677657471,0.9057375524879298,-363.25072668132066,-332.09911965955206,-384.3990228601609,-0.3305316257102297,-0.6106138677369416,0.24456965962004326,0.058886661293276486,0.4840849628794679
5434.210314720827,0.8935299672426752,-378.2468761337392,-346.005935771902,-380.020411983574,-0.35004602434367776,-0.6656298474600623,0.4059207992515906,0.07995004014243313,0.5519360885749388
5393.632051394124,0.8910747202329207,-376.2892661451922,-321.1331396345066,-371.00677984374477,-0.3854922178463151,-0.6547166424581007,0.2037583792599884,-0.0777444614876622,0.6238657431506568
5428.513958338506,0.9220088374640288,-381.5159451553738,-331.8250553988083,-384.0897669577524,-0.3381314780198059,-0.6371226294588831,0.32872940484645985,0.07360509458951733,0.4868728320743816
5423.275558870147,0.920854151547974,-383.0818481884953,-339.8074760619796,-387.4807633852442,-0.34165741875227895,-0.615328809942112,-0.17262322932787066,0.11595667715717367,0.44155606448019724
5407.3282854202025,0.9004350649556063,-379.75242535576444,-338.789193655287,-374.9191550774411,-0.3574972974546108,-0.5992185627999121,0.14274390573625145,0.08394855405801704,0.47992861516535273
5424.352235137562,0.9234953481337723,-391.2848076353799,-334.3754700265805,-387.44428287019053,-0.3233332969988617,-0.6231770918806676,0.19514045707329522,0.10949425808409767,0.45917866509794275
5421.124562642302,0.9169877803601886,-377.1696036053135,-343.3153489776374,-396.0464741286971,-0.40240505640258123,-0.6813894104738054,0.28902752521141967,0.12882202459072234,0.3786303439456636
5407.905881517108,0.9068994116847275,-395.604123319419,-335.3341282030348,-395.8311769456729,-0.31550705705173704,-0.6246217582089728,0.2588792195137517,-0.1480302555168811,0.5057401296698718
5401.042155228033,0.8808808700050593,-381.5500942455448,-325.93571688166946,-374.7469521075565,-0.3244835061497501,-0.6450511085252417,0.06788825417603353,0.052076692620278184,0.4977708894564358
5399.856178877216,0.9047476385092313,-364.94973353240334,-324.1336742962056,-376.88985882380894,-0.353390846945392,-0.6450476080385505,0.3904369001413162,0.11465242990019295,0.46090809235997066
5410.03480254056,0.8846690227769458,-359.5138818333149,-331.8499711274339,-380.1823429087386,-0.3083544184111818,-0.6403836987333054,0.35791939280723495,0.01296652733046133,0.45375806173999367
5420.352730980948,0.9072623477457139,-383.2347181367599,-329.53663350252333,-379.60775255072775,-0.321834915820887,-0.6130564245468065,0.02786518571337515,0.042883955770181344,0.5419895425570297
5432.346727279074,0.908786769072743,-382.7044441505918,-336.1949026063601,-370.49434649555957,-0.3100915533738462,-0.6209975557201034,0.17064219563382038,0.0643105826059443,0.45932429583724504
5405.24260544478,0.9055020450396674,-385.33940229253756,-329.2441632473645,-381.79892077416326,-0.3768713380927986,-0.6686503275890434,0.16418895270918582,0.12649168857726112,0.44412649305380214
5421.15194257839,0.9397955102786021,-379.3275670139531,-328.0952421100391,-404.0500293777255,-0.34123875098458506,-0.6601823948099017,0.18525269581646636,0.08511413708992074,0.4023665816349442
5430.974833119927,0.9464664450107747,-383.8242131682547,-334.14674464142746,-380.65728939258815,-0.31407858364968805,-0.6598860955581936,0.36002834893566604,-0.057924326382335856,0.5455929989929201
5423.622385252244,0.9316421399268064,-403.83554109126635,-329.08624657264005,-378.4596926729669,-0.3534487571756051,-0.6755915262078763,0.3738445916501132,-0.024716863145933327,0.5079718305778931
5416.7092599496345,0.9188653393693202,-376.3824110609164,-341.23139416039203,-369.1574263668267,-0.3751280815790532,-0.6370378782080441,-0.00323873031815744,0.07957319438333224,0.4014018008222934
5410.1721190517965,0.9153115173261,-389.95047520437134,-332.6168472986132,-378.1469787296483,-0.33308693250637456,-0.64966263919886,0.48078878750071197,0.003942132802473172,0.48764788666164993
5411.779542011687,0.8893526640562482,-378.0153865525889,-328.3913428056721,-373.6090531343415,-0.35101223319715347,-0.6329382161974184,0.3905322926642133,0.07601113102924603,0.49053665159340315
5397.074734935628,0.9004988622703087,-390.84363282253025,-333.5030718696669,-368.37412140295714,-0.3355092267581675,-0.6494684078301396,0.2941359268807453,0.1163798603878684,0.43734322104212975
5398.35419561346,0.8968844290582723,-382.3408051040541,-321.3496181235241,-379.8488930826672,-0.32113412638584465,-0.604737952447232,0.30094491955317715,0.1287298101055636,0.4133761419341181
5408.9497172588635,0.9164941892855473,-403.1057813895838,-333.16394077861287,-385.06262485353346,-0.3214296726128307,-0.7071219327110586,0.2914301854425363,-0.0382078257562933,0.4525179293781452
5415.3745240037615,0.9408575884462401,-354.17937533892956,-343.9798486922829,-374.46407778227297,-0.39970398432093907,-0.6100504780196282,-0.0020656273539259584,0.04259647389623014,0.37301999678033804
5400.801070681227,0.9175807676666017,-366.1937346058183,-323.08166951720796,-377.57923351157706,-0.33823845706071964,-0.6693453723217115,0.2511990435396796,0.15393642290200815,0.46453700154941296
5399.965631534216,0.8935521360717948,-367.5048763485722,-323.79679790204193,-356.2517120202175,-0.3683071151314743,-0.6096933656924228,0.2821555007040465,0.014428597972224413,0.44717785262862625
5407.378489216042,0.9181554397211864,-366.6041090665617,-330.41405356383177,-390.29901315854727,-0.30760499439456906,-0.685749273719785,0.3693316695328985,0.0030460653211235034,0.5519324936180293
5396.278805878615,0.9020793639523506,-367.5652320087676,-325.1189020725797,-383.12167178099156,-0.35863557271219554,-0.7004517284036956,0.3431269259706398,0.20283965739348245,0.5481751857102595
5401.218288127716,0.9120714756470208,-388.3188944632559,-320.8714482900277,-376.6962453904691,-0.355761505833184,-0.6111765862001156,0.1765837156586477,0.031240796262415813,0.5371478045244252
5430.395456266445,0.91813807151,-405.42032889027564,-327.45823690322635,-414.4258497575944,-0.31719256373167226,-0.6657405913459848,0.08539292730108455,0.0004835787185594291,0.5489580338213559
5405.446167318137,0.8848920333096408,-369.62830680120896,-339.90451506879003,-378.37558988985575,-0.30511137222107815,-0.6218583244660475,-0.10310644639653929,0.08351467056542136,0.6056142205746825
5420.703897583009,0.9191422187941648,-370.7402660516198,-325.4323681599735,-381.21514995995756,-0.35718150797197645,-0.6095728049621966,0.19711082655556128,-0.016087991286929317,0.49626953629345605
5416.990742027145,0.9311496848126952,-383.3408957020371,-332.4799657488449,-382.40349361239714,-0.2796661581900962,-0.6367201464861384,0.20789511799162314,0.02140936701645829,0.4994287726588397
5419.360305808239,0.9218166239533152,-372.2685040809155,-322.08670159363584,-394.75854358851086,-0.35111964914905075,-0.5912526726673821,-0.08485460336076922,0.03591271670936851,0.44673841064632036
5422.447030946249,0.9363594974652568,-363.10641820361184,-328.30118771713074,-382.66156537285076,-0.3333788122421568,-0.6175424866413529,0.09603997695275035,0.009349632015950102,0.43817567306263894
5419.818273150275,0.9273048047111762,-380.97581909337225,-322.3911001053165,-396.2730345592996,-0.369385381210713,-0.5973936255382823,0.15082353603146892,0.0442840822398206,0.47733753762601105
5408.497177094822,0.9161968746513389,-373.59242046004715,-335.9392421473761,-389.90918003924565,-0.3371585051999899,-0.6525238777061592,0.48711826861910124,-0.031062950979648646,0.4119387673551299
5406.968327550059,0.9385094334349601,-397.34907673440625,-332.1776535087039,-377.50953423891355,-0.2818953943433844,-0.6674636745613343,0.21082917963628417,0.22864710980242708,0.5306944208676713
5410.954536821345,0.8859541435515635,-381.58196659181704,-334.7850450581314,-397.7222922773637,-0.3330360359872503,-0.6331589505337689,0.10018721254764337,0.18522976874900093,0.5690123407291385
5410.690449898321,0.9442562470635285,-374.0800436366646,-343.11552563680664,-379.06163553079614,-0.33827824882255997,-0.6425285586331623,0.13011175072460524,-0.030284774875109208,0.49628729148209483
5414.575297762685,0.894532870548829,-397.55176623068803,-327.11782932540603,-388.93784162062013,-0.3093933101957333,-0.6504572807272633,0.4663930789984011,0.0582098678846847,0.572861000438661
5414.446479875095,0.8958905734245154,-389.2196587694087,-320.95729141260614,-395.9630744101341,-0.32302152651207744,-0.5984416683930917,0.10238349252245643,0.07198647290925456,0.5212959382755131
5414.666298597078,0.9107373775045797,-377.1898024234135,-318.47289186007566,-401.23190413398936,-0.3373356338317804,-0.6052436041693021,0.42478528130346604,0.10548762868841119,0.43204622367463164
5411.934709187327,0.896209966030805,-385.389919298678,-328.618943254422,-364.99106313845846,-0.3232742114524139,-0.6202767247760157,0.31345158153457625,0.048287268657829285,0.5244132252699555
5404.415942665965,0.9145014204535153,-370.7260599793421,-331.81604698713136,-381.4478637892631,-0.37425056568692183,-0.6401946836091137,0.026607030633751333,-0.02745645164038106,0.5234894447680172
5428.714872978845,0.8929839998581163,-389.3423287904323,-323.6404495252678,-375.7444820363369,-0.34073774693720055,-0.6465658983337967,0.26276315152005725,0.1865854839609499,0.514810152281846
5417.023566042827,0.910238499118966,-390.88243060087063,-325.42097237209424,-360.64503872308586,-0.31073668284537803,-0.6162320265963122,0.2878618911066252,0.040691297496002254,0.4966932505752577
5403.051750155753,0.9157170414627209,-392.81015150109255,-326.5342991239796,-393.9302742730968,-0.3542864926537321,-0.6301823007968544,0.19703619417909563,0.07897362002865739,0.4827954590563624
5408.634827442584,0.9108182201355117,-374.4791354060929,-331.6104368052337,-370.5524596167085,-0.32733435335690964,-0.6481933524639091,0.2171913156180706,0.08329596891941,0.49361432796864363
5420.46276251408,0.8994834193494096,-378.5430285193006,-336.65472426200455,-363.86911943411945,-0.31330048705023256,-0.6558083684286153,0.26117586478576776,0.2611266321987991,0.4026230490132404
5414.2883742552585,0.9069172359277392,-385.58530740880366,-330.61141669911984,-374.80095333517266,-0.32671107113759973,-0.6292865335814867,0.043476375087636396,0.15689440765274743,0.47377146962211714
