ID,x,y,bsize,mjd,zpt,fluxADU,flux_err,X2norm,Npix,Nmask,Jyas2,Jyas2_err,SB,SB_err,fitsfile,skip,imID,filter,CONVOL00,PHOTNORM,KSUM00,FSIG00,FSCAT00,FWHM,M5SIGMA,SKYADU,muJyas2,muJyas2_err,im_expnum,g_ixs_flag,g_ims_flag
0,3460,1472,3,56675.345934,30.15,-9.28,9.65,0.49,9,0,-4.029e-07,4.187e-07,,,ec0915.140118.275406_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,52,i,TEMPLATE,t,0.9812,1.285,0.06,4.012,22.429,3347.0,-0.4029,0.4187,275406,True,True
0,3460,1472,3,56675.348218,30.15,-10.98,9.67,0.42,9,0,-4.764e-07,4.197e-07,,,ec0915.140118.275407_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,53,i,TEMPLATE,t,0.985,1.315,0.081,4.046,22.414,3292.0,-0.4764,0.4196999999999999,275407,True,True
0,3460,1472,3,56675.34971,30.15,-17.82,8.87,0.81,9,0,-7.733e-07,3.847e-07,,,ec0915.140118.275408_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,54,i,TEMPLATE,t,0.9808,1.312,0.077,3.864,22.407,3276.0,-0.7733,0.3847,275408,True,True
0,3460,1472,3,56675.351218,30.15,4.08,8.96,0.3,9,0,1.772e-07,3.89e-07,,,ec0915.140118.275409_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,55,i,TEMPLATE,t,0.9768,1.287,0.063,4.228,22.312,3282.0,0.1772,0.389,275409,True,True
0,3460,1472,3,56675.352709,30.15,-5.01,9.79,2.08,9,4,-2.173e-07,4.249e-07,,,ec0915.140118.275410_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,56,i,TEMPLATE,t,0.971,1.342,0.105,3.343,22.55,3361.0,-0.2173,0.4249,275410,True,True
0,3460,1472,3,56675.357257,30.15,-10.24,9.12,1.07,9,4,-4.443e-07,3.957e-07,,,ec0915.140118.275413_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,57,i,TEMPLATE,t,0.9661,1.331,0.095,3.244,22.569,3450.0,-0.4443,0.3957,275413,True,True
0,3460,1472,3,56675.365379,30.15,7.83,9.44,0.7,9,4,3.397e-07,4.096e-07,,,ec0915.140118.275418_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,58,i,TEMPLATE,t,0.969,1.361,0.113,3.363,22.578,3367.0,0.3397,0.4096,275418,True,True
0,3460,1472,3,56676.334309,30.15,-9.62,6.5,0.36,9,0,-4.174e-07,2.822e-07,,,ec0915.140119.275854_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,59,i,TEMPLATE,t,1.0492,1.307,0.067,4.532,22.609,2082.0,-0.4174,0.2822,275854,True,True
0,3460,1472,3,56676.33595,30.15,-5.4,6.5,1.37,9,0,-2.342e-07,2.82e-07,,,ec0915.140119.275855_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,60,i,TEMPLATE,t,1.0549,1.319,0.071,4.383,22.639,2142.0,-0.2342,0.282,275855,True,True
0,3460,1472,3,56676.337446,30.15,2.38,6.67,1.01,9,0,1.031e-07,2.896e-07,,,ec0915.140119.275856_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,61,i,TEMPLATE,t,1.0508,1.32,0.065,4.42,22.606,2139.0,0.1031,0.2896,275856,True,True
0,3460,1472,3,56676.338931,30.15,-11.82,6.47,1.35,9,0,-5.131e-07,2.806e-07,,,ec0915.140119.275857_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,62,i,TEMPLATE,t,1.0528,1.322,0.072,4.5,22.597,2186.0,-0.5131,0.2806,275857,True,True
0,3460,1472,3,56676.340439,30.15,-16.48,7.46,1.25,9,0,-7.15e-07,3.238e-07,,,ec0915.140119.275858_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,63,i,TEMPLATE,t,1.0556,1.314,0.062,4.911,22.498,2175.0,-0.7150000000000001,0.3238,275858,True,True
0,3460,1472,3,56676.357882,30.15,4.2,6.8,0.26,9,0,1.825e-07,2.949e-07,,,ec0915.140119.275867_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,66,i,TEMPLATE,t,1.0568,1.376,0.1,3.899,22.752,2208.0,0.1825,0.2949,275867,True,True
0,3460,1472,3,56690.223648,30.15,0.14,5.5,1.09,9,0,6.084e-09,2.385e-07,,,ec0915.140202.280404_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,69,i,TEMPLATE,t,1.0604,1.387,0.129,3.457,23.294,1052.0,0.006084,0.2385,280404,True,True
0,3460,1472,3,56703.186185,30.15,5.82,8.28,0.93,9,0,2.527e-07,3.594e-07,,,ec0915.140215.285238_ooi_i_N22_160305.523435_ooi_i_v1_N22.diff.fits,0x0000,72,i,TEMPLATE,t,1.0422,1.261,0.053,5.175,22.234,3205.0,0.2527,0.3594,285238,True,True
