Teff,ebv,ln_sigma_mgb,ln_sigma_caii
5394.899947083411,0.9781430316088987,-0.32271691482438764,-0.32044980555635083
5402.950799491095,0.9962897790632724,-0.31297159980947165,-0.3621518754370456
5382.499107143453,0.9677082335153655,-0.2961244157784223,-0.3193694110507175
5402.032327278996,1.0033097429528854,-0.37238416985284184,-0.3347930948005418
4257.941165402058,0.48200274479316624,-0.2270151123527571,-0.5266435033255992
5382.529322244388,0.9549011876799837,-0.32560290683067744,-0.353005717047337
4254.655159272984,0.4807506447940622,-0.22569903241446138,-0.51062521219277
5386.115101697746,0.9878554119879954,-0.31768510915608233,-0.3427750286040539
5412.698905371998,0.981230136465036,-0.3050172902427406,-0.34412401908440227
5382.22955541176,0.9760959156949977,-0.31288268895364535,-0.34180843289574386
5387.175274903647,0.9792860962078815,-0.3089898869686272,-0.3608380560618127
5399.094255916587,0.9612089172964329,-0.30435775437525353,-0.3241647915689072
4256.972782423798,0.4658876530040228,-0.2234831859661649,-0.4925713810543326
5413.049494566622,0.9879372234484062,-0.29334591778580765,-0.333233368046856
5376.271870334142,0.9513614754557573,-0.25420933037951576,-0.32034039888831395
5410.619998878352,0.9943939066186441,-0.32243617894674537,-0.35459252159792787
5408.709065206906,0.9929758497110296,-0.3338531157289035,-0.33123516688044496
5390.954728183425,0.9908792729342725,-0.28337748523226336,-0.32143350225320916
5390.805417239761,0.9844772814564294,-0.32664060626058267,-0.3456526747036337
4256.5165304029,0.4782371011419604,-0.22421559188956808,-0.5245950459320505
4255.343346795617,0.472875048044021,-0.2262731945209622,-0.5474919638807756
4256.125789582597,0.4886130499514501,-0.22819009440173593,-0.4880210233209645
5388.111380094056,0.9874382797020159,-0.2711570321803982,-0.32533732602959475
5396.6036797074885,0.9843620640943606,-0.2917993315809304,-0.35098772793558913
5378.889235947472,0.986381147476526,-0.34857055524848024,-0.3245993290278526
5386.1873091567795,0.9804087438434163,-0.3865759560215753,-0.3671968818714116
5393.882931373722,0.9878229623378226,-0.31373114221817955,-0.31254648502653554
5372.363042373276,0.9876169569919653,-0.28754856094377745,-0.34071249869653286
5381.440350117907,0.9774119243341518,-0.3308295856148558,-0.3447558344837479
5383.640215588117,0.959143247143541,-0.3185179414182775,-0.30456146081826424
4257.956948243473,0.4755113514532595,-0.2284442129016955,-0.5162001122822429
5402.638995599432,1.0022601985429989,-0.29688227314655125,-0.3149713347735042
5408.099833978913,1.0110931163185595,-0.3358979992653999,-0.3617529742065625
4263.7493587143035,0.48539876989281905,-0.2285396903541517,-0.47546076130879006
5382.8570417043475,0.9791659397127229,-0.298006762801504,-0.34235837616330994
5392.665826834627,0.9826725401306844,-0.2643130091910204,-0.3404279046681532
5402.648280688902,1.0137843254250951,-0.3499612636178732,-0.28334346943312155
5382.196201792575,0.9796548015854312,-0.3310740433316972,-0.35169344848929945
4257.043573529774,0.4872826653887475,-0.22437012021565012,-0.49633543222336235
