group,ID,ra,dec,color,x,y,LC,LC_url
1,32,161.022406,-60.309912,green,4086,816,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID32_lc.txt
1,33,161.020135,-60.309908,green,4101,816,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID33_lc.txt
1,34,161.017863,-60.309903,green,4116,816,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID34_lc.txt
1,35,161.026958,-60.308797,green,4056,831,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID35_lc.txt
1,36,161.024686,-60.308792,green,4071,831,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID36_lc.txt
1,37,161.022415,-60.308787,green,4086,831,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID37_lc.txt
1,38,161.017873,-60.308778,green,4116,831,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID38_lc.txt
1,39,161.038322,-60.307694,green,3981,846,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID39_lc.txt
1,40,161.029238,-60.307676,green,4041,846,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID40_lc.txt
1,41,161.026967,-60.307672,green,4056,846,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID41_lc.txt
1,42,161.024696,-60.307667,green,4071,846,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID42_lc.txt
1,43,161.022424,-60.307662,green,4086,846,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID43_lc.txt
1,44,161.03606,-60.306564,green,3996,861,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID44_lc.txt
1,45,161.033789,-60.30656,green,4011,861,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID45_lc.txt
1,46,161.031518,-60.306556,green,4026,861,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID46_lc.txt
1,47,161.026976,-60.306547,green,4056,861,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID47_lc.txt
1,48,161.024705,-60.306542,green,4071,861,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID48_lc.txt
1,49,161.022434,-60.306537,green,4086,861,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID49_lc.txt
1,50,161.020163,-60.306533,green,4101,861,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID50_lc.txt
1,51,161.031527,-60.305431,green,4026,876,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID51_lc.txt
1,52,161.026985,-60.305422,green,4056,876,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID52_lc.txt
1,53,161.024714,-60.305417,green,4071,876,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID53_lc.txt
1,54,161.022443,-60.305412,green,4086,876,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID54_lc.txt
1,55,161.020172,-60.305408,green,4101,876,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID55_lc.txt
1,56,161.033807,-60.30431,green,4011,891,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID56_lc.txt
1,57,161.031536,-60.304306,green,4026,891,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID57_lc.txt
1,58,161.029265,-60.304301,green,4041,891,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID58_lc.txt
1,59,161.026994,-60.304297,green,4056,891,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID59_lc.txt
1,60,161.022452,-60.304287,green,4086,891,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID60_lc.txt
1,61,161.031545,-60.303181,green,4026,906,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID61_lc.txt
1,62,161.027003,-60.303172,green,4056,906,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID62_lc.txt
1,63,161.029283,-60.302051,green,4041,921,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID63_lc.txt
1,64,161.027013,-60.302047,green,4056,921,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID64_lc.txt
1,65,161.031572,-60.299806,green,4026,951,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID65_lc.txt
1,66,161.042951,-60.296453,green,3951,996,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID66_lc.txt
1,67,161.04068,-60.296448,green,3966,996,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID67_lc.txt
2,70,161.099869,-60.269547,yellow,3576,1356,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID70_lc.txt
2,71,161.097601,-60.269544,yellow,3591,1356,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID71_lc.txt
2,72,161.095332,-60.269541,yellow,3606,1356,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID72_lc.txt
2,73,161.099876,-60.268422,yellow,3576,1371,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID73_lc.txt
2,74,161.097608,-60.268419,yellow,3591,1371,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID74_lc.txt
2,75,161.095339,-60.268416,yellow,3606,1371,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID75_lc.txt
2,76,161.093071,-60.268412,yellow,3621,1371,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID76_lc.txt
2,77,161.090802,-60.268409,yellow,3636,1371,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID77_lc.txt
2,78,161.088534,-60.268405,yellow,3651,1371,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID78_lc.txt
2,79,161.086265,-60.268402,yellow,3666,1371,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID79_lc.txt
2,80,161.099883,-60.267297,yellow,3576,1386,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID80_lc.txt
2,81,161.097614,-60.267294,yellow,3591,1386,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID81_lc.txt
2,82,161.095346,-60.267291,yellow,3606,1386,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID82_lc.txt
2,83,161.093078,-60.267287,yellow,3621,1386,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID83_lc.txt
3,90,161.04953,-60.266825,red,3909,1392,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID90_lc.txt
3,91,161.04884,-60.266038,red,3914,1402,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID91_lc.txt
3,92,161.05115,-60.269356,red,3899,1358,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID92_lc.txt
3,93,161.06299,-60.271229,red,3820,1333,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID93_lc.txt
