ID,x,y,bsize,mjd,zpt,fluxADU,flux_err,X2norm,Npix,Nmask,Jyas2,Jyas2_err,SB,SB_err,fitsfile,skip,imID,filter,CONVOL00,PHOTNORM,KSUM00,FSIG00,FSCAT00,FWHM,M5SIGMA,SKYADU,muJyas2,muJyas2_err,im_expnum,g_ixs_flag,g_ims_flag
0,2069,2290,3,57053.240481,30.93,7.26,11.81,0.33,9,0,1.535e-07,2.498e-07,,,ec0915.150131.404893_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,122,z,TEMPLATE,t,1.0667,1.055,0.078,3.96,22.835,5135.0,0.1535,0.2497999999999999,404893,True,True
0,2069,2290,3,57056.260361,30.93,40.04,12.47,2.18,9,0,8.467e-07,2.636e-07,24.081,0.338065,ec0915.150203.405992_ooi_z_ls9_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,126,z,TEMPLATE,t,1.1271,1.11,0.09,3.591,22.89,6650.0,0.8467,0.2636,405992,True,True
0,2069,2290,3,57056.268626,30.93,,,,0,0,,,,,ec0915.150203.405996_ooi_z_ls9_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,130,z,TEMPLATE,t,1.1209,0.962,0.06,3.502,22.864,7246.0,,,405996,False,True
0,2069,2290,3,57083.233746,30.93,34.95,11.25,1.07,9,0,7.391e-07,2.379e-07,24.228,0.34954,ec0915.150302.417215_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,135,z,TEMPLATE,t,1.0301,1.0,0.094,3.477,22.966,4809.0,0.7391000000000001,0.2379,417215,True,True
0,2069,2290,3,57088.183133,30.93,-10.85,12.83,0.52,9,0,-2.294e-07,2.714e-07,,,ec0915.150307.419088_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,136,z,TEMPLATE,t,1.0496,1.044,0.073,3.314,23.019,5975.0,-0.2294,0.2714,419088,True,True
0,2069,2290,3,57088.185779,30.93,,,,0,0,,,,,ec0915.150307.419089_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,137,z,TEMPLATE,t,1.0437,1.066,0.085,2.909,23.128,5782.0,,,419089,False,True
0,2069,2290,3,57117.011808,30.93,104.09,12.64,1.06,9,0,2.201e-06,2.674e-07,23.043,0.13189,ec0915.150405.429230_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,143,z,TEMPLATE,t,1.0934,1.009,0.069,4.286,22.595,7522.0,2.201,0.2674,429230,False,False
0,2069,2290,3,57117.015936,30.93,,,,0,0,,,,,ec0915.150405.429232_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,144,z,TEMPLATE,t,1.0831,1.159,0.086,4.705,22.582,6567.0,,,429232,False,True
0,2069,2290,3,57139.0088,30.93,17.39,13.41,1.36,8,0,3.678e-07,2.835e-07,,,ec0915.150427.437746_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,150,z,TEMPLATE,t,1.0394,1.115,0.056,5.422,22.494,5427.0,0.3678,0.2835,437746,True,True
0,2069,2290,3,57171.013911,30.93,-122.39,266.33,0.66,9,0,-2.588e-06,5.632e-06,,,ec0915.150529.443410_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,152,z,TEMPLATE,t,0.0916,1.072,0.043,4.027,19.392,24634.0,-2.588,5.632,443410,False,False
0,2069,2290,3,57171.018007,30.93,,,,0,0,,,,,ec0915.150529.443412_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,154,z,TEMPLATE,t,0.1002,1.117,0.056,3.465,19.637,24242.0,,,443412,False,False
0,2069,2290,3,57171.117306,30.93,805.13,712.83,0.9,9,0,1.703e-05,1.507e-05,,,ec0915.150529.443454_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,155,z,TEMPLATE,t,0.0354,1.115,0.042,3.941,18.34,27561.0,17.03,15.07,443454,False,False
0,2069,2290,3,57171.121418,30.93,,,,0,0,,,,,ec0915.150529.443456_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,157,z,TEMPLATE,t,0.0164,1.111,0.056,3.604,18.164,28223.0,,,443456,False,False
0,2069,2290,3,57198.960089,30.93,31.44,15.3,0.79,9,0,6.649e-07,3.236e-07,,,ec0915.150625.453952_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,162,z,TEMPLATE,t,1.0925,1.02,0.051,4.818,22.312,10075.0,0.6648999999999999,0.3236,453952,True,True
0,2069,2290,3,57198.965698,30.93,,,,0,0,,,,,ec0915.150625.453955_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,165,z,TEMPLATE,t,1.0896,1.069,0.042,4.338,22.417,10275.0,,,453955,False,True
0,2069,2290,3,57199.005294,30.93,52.81,13.5,0.44,9,0,1.117e-06,2.855e-07,23.78,0.277558,ec0915.150626.453976_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,168,z,TEMPLATE,t,1.0816,1.073,0.068,4.367,22.58,7448.0,1.117,0.2855,453976,True,True
0,2069,2290,3,57387.340403,30.93,14.38,13.95,0.82,9,0,3.042e-07,2.95e-07,,,ec0915.151231.507220_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,174,z,TEMPLATE,t,1.0506,1.011,0.068,3.215,23.032,5502.0,0.3041999999999999,0.295,507220,True,True
0,2069,2290,3,57388.334629,30.93,24.7,10.48,0.51,9,0,5.222e-07,2.216e-07,,,ec0915.160101.507561_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,178,z,TEMPLATE,t,1.0731,1.005,0.069,3.576,23.089,4235.0,0.5222,0.2216,507561,True,True
0,2069,2290,3,57443.170926,30.93,4.85,13.99,1.89,9,0,1.025e-07,2.959e-07,,,ec0915.160225.519763_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,181,z,TEMPLATE,t,1.0222,0.957,0.053,3.972,22.703,6011.0,0.1025,0.2959,519763,True,True
0,2069,2290,3,57443.175066,30.93,,,,0,0,,,,,ec0915.160225.519765_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,183,z,TEMPLATE,t,1.0333,0.949,0.04,4.61,22.543,5983.0,,,519765,False,True
0,2069,2290,3,57452.205272,30.93,50.88,13.25,0.86,9,0,1.076e-06,2.801e-07,23.82,0.282644,ec0915.160305.523437_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,185,z,TEMPLATE,t,1.0727,1.036,0.097,2.48,23.464,4679.0,1.0759999999999998,0.2800999999999999,523437,True,True
0,2069,2290,3,57535.95023,30.93,95.7,43.4,0.38,9,0,2.024e-06,9.178e-07,,,ec0915.160527.545715_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,188,z,TEMPLATE,t,0.325,1.013,0.05,3.821,21.404,7396.0,2.024,0.9178,545715,True,True
0,2069,2290,3,57535.954356,30.93,,,,0,0,,,,,ec0915.160527.545717_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,190,z,TEMPLATE,t,0.3345,0.997,0.05,4.248,21.414,6001.0,,,545717,False,True
0,2069,2290,3,57535.991722,30.93,-7.28,13.24,0.64,9,0,-1.539e-07,2.8e-07,,,ec0915.160527.545735_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,192,z,TEMPLATE,t,0.9218,1.086,0.054,4.069,22.785,4570.0,-0.1538999999999999,0.28,545735,True,True
0,2069,2290,3,57535.995867,30.93,,,,0,0,,,,,ec0915.160527.545737_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,194,z,TEMPLATE,t,1.0094,1.044,0.076,3.536,22.914,4934.0,,,545737,False,True
0,2069,2290,3,57545.965079,30.93,-56.15,16.6,1.48,9,0,-1.188e-06,3.51e-07,,,ec0915.160606.547142_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,204,z,TEMPLATE,t,0.5826,0.934,0.037,4.422,22.417,3083.0,-1.1880000000000002,0.351,547142,True,True
0,2069,2290,3,57566.040208,30.93,1.3,14.3,4.01,9,0,2.746e-08,3.024e-07,,,ec0915.160627.549002_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,208,z,TEMPLATE,t,1.011,1.002,0.061,4.683,22.414,7941.0,0.02746,0.3024,549002,True,True
