mjd,mJyas2,mJyas2_err,phase
53314.3253198768,2.438922516249869,1.155755601930022,-4121.016258966658
53314.3268148768,0.6465308514551869,1.0628246171437916,-4121.014763966661
53326.12846564235,2.9163174571721604,0.880568006542686,-4109.213113201105
53326.12996064235,2.1630692784009495,0.8176377191771289,-4109.211618201109
53332.48400566996,3.0036962579491324,0.6584525161263393,-4102.857573173496
53332.48550066996,2.5292369265875543,0.6498582563777023,-4102.8560781735
53398.76320881499,1.083878495380675,0.8569598400786009,-4036.5783700284665
53398.76470381499,2.452107375731514,0.9219567941102336,-4036.5768750284697
53400.299041876795,3.452693689525485,0.7258027545962584,-4035.0425369666627
53400.304884876794,1.6494208651197575,0.685807140890792,-4035.0366939666637
53400.3075198768,1.371745435261659,0.6887479948397233,-4035.0340589666594
53412.10218764235,2.712706056384326,0.5599883542384347,-4023.2393912011103
53412.10803064235,2.128412018692382,0.5613564039637734,-4023.2335482011113
53412.11066564235,2.923203307456363,0.5116505972764855,-4023.230913201107
53418.45772766996,3.205991910493972,0.4197965338757284,-4016.883851173501
53418.463570669956,2.06493865463648,0.35963671563526967,-4016.878008173502
53418.46620566996,2.7605117619078934,0.41054117722334976,-4016.875373173498
53419.64569747712,2.749152929621199,0.7594231124695366,-4015.695881366337
53419.64719247712,2.7445491307097694,0.8164613290713258,-4015.69438636634
53438.71231755993,2.302189179048818,0.46480178855501053,-3996.629261283524
53438.71381255993,2.7746141404457325,0.47274259359866105,-3996.6277662835273
53477.9923148768,4.240842547839089,0.7752091009383052,-3957.3492639666583
53484.73693081499,3.2807755416498536,0.548474296713083,-3950.6046480284713
53484.742773814985,2.540510232886507,0.5909723051183817,-3950.5988050284723
53484.74540881499,3.3212736437772556,0.548474296713083,-3950.596170028468
53489.79546064235,4.696195751494666,0.6580319178876722,-3945.546118201106
53496.15100066996,3.678676196669004,0.4379766987286143,-3939.1905781734968
53505.619419477116,2.3128513142007985,0.4787136036221596,-3929.7221593663417
53505.625262477115,1.2969191933563584,0.43389786200646807,-3929.7163163663427
53505.62789747712,1.776040212811388,0.5015288902628753,-3929.7136813663383
53524.68603955993,2.6515316622691496,0.2903687710961538,-3910.655539283529
53524.69188255993,2.2926866823465826,0.304132833171815,-3910.64969628353
53524.69451755993,2.2748463403485144,0.2977801891368943,-3910.6470612835255
53547.003540876794,2.9009894887059633,0.785796175154458,-3888.3380379666633
53548.003588876796,0.8429798952438013,0.9534248502435453,-3887.3379899666616
53558.80668664235,3.5784991258933596,0.6771846140424074,-3876.534892201111
53559.80673464235,2.2460642950714673,0.6908651112957894,-3875.534844201109
53562.43020381499,4.732207522833155,0.6559692591500144,-3872.911375028467
53565.162226669956,3.1256686366894026,0.4852451273461172,-3870.1793521735017
53566.16227466996,2.4437471804802473,0.5546603022389545,-3869.1793041735
53583.31269247712,4.2307206058526745,0.4974547319341757,-3852.0288863663372
53602.37931255993,3.2137141900094606,0.3258377002911264,-3832.9622662835245
53631.441429814986,2.6454553148191198,0.7454650650858775,-3803.900149028472
53632.44147781499,2.270322894742706,1.0334515691029569,-3802.90010102847
53652.323918477116,1.8611901218812024,0.5805675618396403,-3783.017660366342
53653.32396647712,0.7249073640069865,0.8478323482023096,-3782.0176123663405
53671.322170876796,16.39362740640302,1.825093960706799,-3764.0194079666617
53671.39053855993,2.4891421991264964,0.35548337245408834,-3763.9510402835294
53672.39058655993,2.7916868712895817,0.563532464597732,-3762.9509922835277
53683.12531664235,-0.8713106140566826,1.3602974435612805,-3752.216262201109
53689.48085666996,1.1291559873906634,0.9523100898393488,-3745.8607221735
53727.226742876795,1.6965333453816376,1.005183879744737,-3708.114835966662
53735.3746188768,0.5259558395490013,1.545124664768534,-3699.9669599666595
53739.02988864235,1.219981399410308,0.8217418683531436,-3696.3116902011097
53745.38542866996,0.9863590561825416,0.5668905949581683,-3689.9561501735006
53747.17776464235,-0.31405835926892395,1.1104003603995027,-3688.163814201107
53753.53330466996,2.017670226018977,0.8227350967060535,-3681.808274173498
53755.76005981499,0.11592385687882448,1.6339234290413465,-3679.58151902847
53762.202972876796,-5.156950331365948,2.099181548747201,-3673.138605966662
53774.00611864235,-0.7299454757717355,1.662180416285909,-3661.3354602011095
53776.64254847712,-0.4720803529648476,1.2829524577073879,-3658.6990303663406
