mjd,mJyas2,mJyas2_err,phase,4model_flag
53413.21231153722,5.193369827235976,2.344629159197222,-4016.7876884627767,True
53471.97963153723,6.09557287261309,3.7565341957041665,-3958.0203684627704,True
53472.97948553723,15.418367892398331,1.2638152849118696,-3957.020514462769,True
53496.14726953723,10.78063704428365,0.8166101124326002,-3933.8527304627714,True
53510.915574537226,13.317067755739105,0.9029032648588813,-3919.0844254627737,True
53514.085857537226,8.852967477528919,1.225119045385181,-3915.914142462774,True
53514.08792853723,10.44966212295232,0.9512523262672511,-3915.9120714627716,True
53533.00630653722,9.788295135223104,1.2800802909028441,-3896.9936934627767,True
53538.046307537224,11.97850354375913,1.0515154649673961,-3891.9536924627755,True
53538.04837853723,11.660361601761574,0.788853316669687,-3891.951621462773,True
53541.99088453723,18.10195426606536,3.911581268455037,-3888.0091154627735,True
53573.83296753723,13.600137995227485,0.9784680928848786,-3856.1670324627703,True
53591.77362653723,12.640595875895757,1.0668118681249028,-3838.2263734627704,True
53615.73407653723,12.057388875426097,1.0003700301503504,-3814.2659234627718,True
53722.21393453723,10.841711357687892,1.0400446222670283,-3707.786065462773,True
53760.15002353722,10.51302817459364,0.8058936582624153,-3669.8499764627777,True
53817.15207853723,14.360070187471509,4.518340285440728,-3612.8479214627732,True
53818.15193253723,12.715862563078366,1.354704140176356,-3611.8480674627717,True
53823.067416537226,12.54114759045931,0.7820424532907819,-3606.9325834627743,True
53841.008075537226,11.583648846709922,0.9597079025007382,-3588.9919244627745,True
53856.08802153722,9.780626642540666,1.0330893170013247,-3573.9119784627765,True
53864.968525537224,10.945625821987775,0.7706490093619246,-3565.031474462776,True
53908.96779053723,12.153847299828982,1.436389060730514,-3521.03220946277,True
53919.00541453723,11.888835528536058,0.8528044849457981,-3510.994585462773,True
53936.94607353723,12.334785868784655,1.0250037411926631,-3493.0539264627732,True
53946.903879537225,12.156312116636801,1.0935628379965237,-3483.0961204627747,True
53960.906523537225,11.592745603189886,0.943156492897384,-3469.0934764627746,True
54009.82127253723,10.664733716572847,1.0866445320816274,-3420.1787274627713,True
54027.76193153723,13.35086427950864,1.237332655500217,-3402.2380684627715,True
54051.72238153723,12.87528239661055,1.0835897207001195,-3378.277618462773,True
54052.31929953723,8.046016189425858,1.3817406983879434,-3377.68070046277,True
54090.255388537225,4.815498595830642,1.1149805433489905,-3339.7446114627746,False
54104.244537537226,9.422579674539241,1.235052988942096,-3325.7554624627737,True
54107.24293253723,7.66249973496489,1.4289108637783723,-3322.7570674627714,True
54110.26281253723,11.396823669904531,1.3178884013350451,-3319.7371874627715,True
54118.16751953722,6.628864315672805,1.1506767189364344,-3311.8324804627773,True
54137.236197537226,9.759673783304994,1.339172500352678,-3292.763802462774,True
54141.185730537225,5.231826384650562,2.5295868877149927,-3288.814269462775,True
54142.18062653722,6.866558849584492,0.8453694289120596,-3287.8193734627785,True
54142.18558453723,6.568209422498869,1.5422343098992826,-3287.8144154627735,True
54145.179021537224,7.197063440023533,0.9461586305707254,-3284.820978462776,True
54148.198901537224,8.960034559036362,0.9965532314000578,-3281.8010984627763,True
54153.17278153723,7.581705199465506,0.960574245799702,-3276.8272184627713,True
54171.11344053723,7.072598926144779,1.2185424860924694,-3258.8865594627714,True
54175.17228653722,7.44609675912182,1.0129314766695914,-3254.827713462779,True
54180.12167353722,6.019929555651699,1.2321479902771897,-3249.878326462778,True
54181.084912537226,5.126588043710721,1.1777404808788896,-3248.915087462774,True
54193.01125153723,10.9170685731287,1.2908518431234577,-3236.988748462769,True
54195.07389053723,6.583093606449094,1.0302771064416736,-3234.9261094627727,True
54199.025571537226,8.712041206970808,1.2429697063225416,-3230.974428462774,True
54205.098019537225,8.568876208887266,0.8812719689449425,-3224.901980462775,True
54208.09641453723,8.995319119194448,1.0447566627686002,-3221.9035854627728,True
54211.11629453723,11.542345580432185,1.517723575497243,-3218.883705462773,True
54222.986021537225,5.390278041902403,1.1382026426234055,-3207.0139784627754,True
54223.038678537225,9.606077467391465,0.9338714195650845,-3206.9613214627752,True
54226.03707353723,11.088058128580565,1.091708842590169,-3203.962926462773,True
54229.05695353723,10.705208426897697,1.5858902980139462,-3200.943046462773,True
54230.94734053723,8.406113904920613,0.9570774607504141,-3199.0526594627736,True
54238.089679537225,8.74508993484197,0.9748079877992742,-3191.9103204627754,True
54246.99912853722,9.81869251245965,0.8777076737670965,-3183.0008714627766,True
54249.997523537226,9.292067908199394,0.9917013123847495,-3180.002476462774,True
54252.96254053723,13.33022520499274,1.8896828452141528,-3177.037459462772,True
54253.00774553723,14.69931049315398,1.734366446977373,-3176.99225446277,True
54253.017403537226,11.643457602118653,1.2006174105357326,-3176.9825964627744,True
54256.030338537224,8.566887148295953,1.1955245285679779,-3173.9696614627755,True
54260.979725537225,8.11639283674519,1.1795528845713918,-3169.020274462775,True
54279.99078853722,9.015969247365001,1.0194412092346725,-3150.009211462777,True
54284.940175537224,6.993123956762019,1.1282336171929643,-3145.0598244627763,True
54290.89862953722,11.995049393982939,1.2468464155190784,-3139.1013704627767,True
54293.86473353723,10.650499974573275,0.9914817998559159,-3136.1352664627702,True
54311.80539253723,8.415156530328387,1.2279375707963436,-3118.1946074627704,True
54335.76584253723,9.688661745975637,1.0346114653244742,-3094.2341574627717,True
54353.81602253723,11.147460909529768,1.3574923084163444,-3076.1839774627733,True
54371.75668153723,13.743109065895382,1.4228855784017307,-3058.2433184627735,True
54395.717131537225,12.368162407322892,1.3154779209299452,-3034.282868462775,True
54440.34300053723,16.55148353855665,4.879709840828585,-2989.6569994627716,True
