mjd,muJyas2,muJyas2_err
53402.00121288134,9.562622159298286,1.2246612779705628
53402.006168881344,11.118923934631525,1.231454658735906
53402.00910288134,5.737948788409881,1.2234261178314094
53404.01105988134,8.301523657222695,1.3166807083374885
53404.01254188134,6.059090424589755,1.2481293206144768
53413.80435864689,8.016385249023323,1.1398542708182064
53413.8093146469,10.517918371794451,1.0862140698385263
53413.81224864689,5.413717997321747,1.0979478638028308
53415.81420564689,11.578988597423752,1.2756310295480224
53415.81568764689,9.503224569928832,1.2264608453166486
53420.1598986745,7.1123051041954,0.8563697653360474
53420.164854674505,7.45765660182348,0.8393783017381099
53420.1677886745,5.12651275350445,0.8219620515502241
53421.002796881345,7.719145651611882,1.3148279681287585
53422.1697456745,5.941168475707556,0.9124415952092408
53422.1712276745,7.108482024885859,0.9069193695399113
53432.8059426469,5.25810553927132,1.1314729894151307
53439.161482674506,5.424627982330264,0.9506723883046002
53463.768935881344,4.279595212111502,2.834074939287399
53475.5720816469,5.098917067822249,2.4383941362013006
53477.751574881346,6.020800460276,1.836065546851479
53479.76564488134,3.7981297898695203,1.7736899598242335
53481.927621674506,5.125535744347566,2.03175425972337
53486.43910181953,4.386236171993154,1.0734045478234855
53486.444057819535,7.524693096017991,1.0088890413221776
53486.44699181953,4.874551816028919,1.0200124045120578
53488.44894881953,4.088686206663844,1.4566044097148745
53488.45043081953,6.49188882383757,1.4187849748692805
53489.5547206469,2.4344518345753414,1.6175873107934842
53491.568790646896,3.841948358198408,1.536009505136887
53495.91026067451,4.984591553802673,1.2352794035700523
53497.924330674505,4.6325709067124095,1.1915263848053637
53505.440685819536,5.147018597365047,1.14570640855771
53507.32159048166,5.946601313959775,0.8407500035287052
53507.326546481665,7.9344384233667355,0.8219672906839149
53507.32948048166,5.496263413133491,0.8072094448772941
53509.33143748166,6.813736556960919,1.1144409621242193
53509.33291948166,4.730197053535264,1.0764283289859533
53526.323174481666,2.6623098108135963,0.9995086478120512
53526.38821056447,4.942000266156832,0.6815820005771124
53526.39316656448,7.600032791066063,0.6726589733792246
53526.396100564474,6.523092046951774,0.6750613268555792
53528.398057564475,5.855580973879022,0.8717111185628729
53528.399539564474,5.294803033827158,0.8494035505681536
53545.38979456448,5.972953100866626,0.7577709251129224
53548.206824819536,6.852841959349199,2.278064781287563
53548.77691988134,5.452626796265456,1.6063257609689527
53549.77690388134,5.031931252869818,1.5853280386033457
53560.58006564689,5.3257704177988145,1.3940864733781495
53561.580049646895,7.8353495707169,1.5745633995910322
53564.203533819535,2.938530452830186,1.5033225351123738
53566.9356056745,6.87315025405443,1.0258596147254733
53567.935589674504,4.749820501269973,1.1103921461252122
53569.089313481665,4.1308049100621105,2.0397131734544813
53585.086022481664,2.599700767997632,1.2521808563193484
53588.15593356448,5.207288728617108,1.4894591553397118
53604.15264256448,5.325004048958476,0.9630005506643391
53633.21480881953,2.436310604807076,1.7074362496466842
53634.21479281953,4.65041604775282,1.5027663669528797
53654.09729748166,4.936359687379273,1.3519081173762106
53655.09728148166,3.3867858776840762,1.1229379036492442
53673.085051881346,-2.3875521870105416,1.8897950129046506
53673.095558881345,1.1610628927770819,2.0633350124556986
53673.163917564474,5.086484668091863,1.158963955664103
53674.163901564476,6.3607615906209745,0.8847524660059393
53684.8881976469,-1.9316370243332273,1.674021272240856
53684.8987046469,2.5299984425703954,1.8321481147122056
53691.24373767451,4.477183972109266,1.3053691909115444
53691.25424467451,3.5483456145280172,1.4289820885865392
53729.00007688134,6.321561954159847,1.561859995959432
53736.13603688134,7.4245599584238064,2.2121718092236793
53736.13832088134,4.9358975520506405,2.2183476099194452
53736.139812881345,5.463125657448259,2.2208179301977524
53736.14132088135,3.073708368256071,2.397445830096684
