mjd,mJyas2,mJyas2_err,phase
53398.630851096845,4.482189701476595,0.3985575962852353,-4036.8708353797556
53401.01380392359,4.5678609793396205,0.3926223043130411,-4034.4878825530104
53403.396756750335,4.654091623365722,0.38676663204069217,-4032.1049297262653
53405.77970957708,4.7408513348662265,0.38099351180665564,-4029.72197689952
53408.162662403825,4.828108893869014,0.37530583118442795,-4027.339024072775
53410.54561523058,4.915832172988765,0.36970642844207724,-4024.9560712460225
53412.92856805732,5.003988152663183,0.3641980877798002,-4022.5731184192773
53415.31152088407,5.092542937763748,0.3587835343372255,-4020.190165592532
53417.69447371081,5.181461775578182,0.35346542896489264,-4017.807212765787
53420.07742653756,5.270709075168937,0.34824636275628035,-4015.424259939042
53422.460379364304,5.360248428104248,0.34312885134025,-4013.0413071122966
53424.84333219105,5.450042630557757,0.3381153289373289,-4010.6583542855515
53427.226285017794,5.540053706770198,0.33320814218753714,-4008.2754014588063
53429.60923784454,5.630242933864319,0.32840954376235604,-4005.892448632061
53431.99219067129,5.720570868002037,0.3237216857788305,-4003.5094958053087
53434.37514349804,5.810997371868672,0.31914661303993164,-4001.1265429785635
53436.75809632478,5.90148164347211,0.31468625613150075,-3998.7435901518184
53439.14104915153,5.991982246233242,0.31034242441345994,-3996.360637325073
53441.52400197827,6.082457140350516,0.30611679894976235,-3993.977684498328
53443.90695480502,6.172863715413879,0.3020109254291637,-3991.594731671583
53446.28990763176,6.263158824242411,0.29802620713621253,-3989.2117788448377
53448.67286045851,6.353298817917393,0.2941638980390426,-3986.8288260180925
53451.05581328525,6.443239581980115,0.2904250960672679,-3984.4458731913473
53453.438766112005,6.532936573761564,0.28681073665935575,-3982.062920364595
53455.82171893875,6.622344860806754,0.2833215866640875,-3979.6799675378497
53458.204671765496,6.7114191603599185,0.27995823868435876,-3977.2970147111046
53460.58762459224,6.800113879864761,0.27672110595449456,-3974.9140618843594
53462.970577418986,6.8883831584413,0.2736104178425516,-3972.5311090576142
53465.35353024573,6.976180909292676,0.2706262160682339,-3970.148156230869
53467.73648307248,7.063460862995161,0.26776835172358315,-3967.765203404124
53470.11943589922,7.1501766116219585,0.2650364831782786,-3965.3822505773787
53472.50238872597,7.236281653649373,0.26243007494348647,-3962.9992977506336
53474.88534155272,7.3217294395920876,0.259948397558351,-3960.616344923881
53477.268294379464,7.406473418310291,0.25759052855109565,-3958.233392097136
53479.65124720621,7.490467083935327,0.2553553545125787,-3955.850439270391
53482.034200032955,7.573664023349022,0.25324157430480143,-3953.4674864436456
53484.4171528597,7.656017964159656,0.2512477034096834,-3951.0845336169004
53486.800105686445,7.737482823110023,0.24937207940589234,-3948.7015807901553
53489.18305851319,7.818012754853501,0.24761286854341674,-3946.31862796341
53491.566011339935,7.897562201032068,0.2459680733676378,-3943.935675136665
53493.94896416668,7.976085939588939,0.24443554132751685,-3941.55272230992
53496.33191699343,8.053539134247174,0.24301297428643884,-3939.1697694831673
53498.71486982018,8.129877384083233,0.24169793883993515,-3936.786816656422
53501.09782264692,8.20505677312763,0.24048787733215624,-3934.403863829677
53503.48077547367,8.279033919916237,0.23938011945316065,-3932.020911002932
53505.863728300414,8.351766026922741,0.2383718942916969,-3929.6379581761867
53508.24668112716,8.423210929797243,0.23746034271374827,-3927.2550053494415
53510.629633953904,8.493327146337052,0.23664252993540788,-3924.8720525226963
53513.01258678065,8.562073925114838,0.23591545815970288,-3922.489099695951
53515.395539607394,8.629411293689174,0.23527607915072535,-3920.106146869206
53517.77849243415,8.695300106322161,0.2347213066244054,-3917.7231940424535
53520.16144526089,8.759702091127672,0.2342480283434957,-3915.3402412157084
53522.54439808764,8.822579896577745,0.23385311781406598,-3912.957288388963
53524.92735091438,8.883897137287946,0.23353344549221688,-3910.574335562218
53527.31030374113,8.94361843900976,0.23328588942172893,-3908.191382735473
53529.69325656787,9.001709482754551,0.23310734523631607,-3905.8084299087277
53532.07620939462,9.058137047975201,0.2329947354730577,-3903.4254770819825
53534.45916222136,9.112869054732748,0.23294501815659735,-3901.0425242552374
53536.84211504811,9.165874604775349,0.23295519462612632,-3898.659571428492
53539.22506787486,9.217124021459082,0.23302231658913256,-3896.2766186017398
53541.608020701606,9.266588888439301,0.23314349239681556,-3893.8936657749946
53543.99097352835,9.314242087066393,0.2333158925462034,-3891.5107129482494
53546.373926355096,9.360057832415666,0.2335367544228448,-3889.1277601215043
53548.75687918184,9.404011707887905,0.233803386305765,-3886.744807294759
53551.13983200859,9.44608069831599,0.23411317066292345,-3884.361854468014
53553.52278483533,9.48624322151578,0.2344635667708515,-3881.9789016412687
53555.90573766208,9.524479158220934,0.23485211269643116,-3879.5959488145236
53558.28869048882,9.560769880344228,0.23527642668200124,-3877.2129959877784
53560.671643315574,9.595098277509571,0.23573420797723324,-3874.830043161026
53563.05459614232,9.627448781801128,0.2362232371626121,-3872.447090334281
53565.437548969065,9.65780739068019,0.23674137600991485,-3870.0641375075356
53567.82050179581,9.686161688019808,0.23728656692497344,-3867.6811846807905
53570.203454622555,9.712500863213345,0.23785683201738433,-3865.2982318540453
53572.5864074493,9.73681572831393,0.23845027184058737,-3862.9152790273
53574.969360276045,9.759098733165247,0.23906506384421605,-3860.532326200555
53577.35231310279,9.779343978487361,0.23969946057875713,-3858.14937337381
53579.735265929536,9.797547226884145,0.24035178769044088,-3855.7664205470646
53582.11821875629,9.813705911742385,0.2410204417420003,-3853.383467720312
53584.50117158303,9.827819143995306,0.24170388789262262,-3851.000514893567
53586.88412440978,9.839887716728231,0.24240065746794182,-3848.617562066822
