mjd,mJyas2,mJyas2_err,phase,4model_flag
53394.21370753722,8.486729000711561,1.153918272478789,-4035.786292462777,True
53394.221597537224,5.851948945218327,1.111494806578833,-4035.7784024627763,True
53395.213561537224,11.218804890923465,1.2392384841682358,-4034.7864384627755,True
53395.221451537225,7.348606236130786,1.2379886218543998,-4034.778548462775,True
53396.225036537224,9.991913570841982,1.241593435338697,-4033.774963462776,True
53397.223408537226,9.942695468497073,1.332353226549006,-4032.7765914627744,True
53397.224890537225,7.673570437728104,1.2629858681311168,-4032.7751094627747,True
53413.21529153723,5.694416475176492,1.1454335792987975,-4016.784708462772,True
53414.21514553723,9.353385387523474,1.3304784330782522,-4015.7848544627705,True
53433.14965053722,9.37697396450652,0.8130737523088882,-3996.8503494627803,True
53433.154606537224,9.704865314023943,0.7969413365884738,-3996.845393462776,True
53433.15754053722,7.491578539261684,0.780405610475049,-3996.8424594627795,True
53435.15949753722,8.265047210976954,0.8663107241862559,-3994.840502462779,True
53435.16097953722,9.373344170969427,0.8610676890771212,-3994.8390204627794,True
53452.151234537225,7.774621773076356,0.9026086595571884,-3977.848765462775,True
53455.98143053723,5.533263869377861,2.46848006916541,-3974.0185694627726,True
53456.98128453723,5.87289380218481,2.8678090790963355,-3973.018715462771,True
53469.96406953723,2.8359233428374915,1.6375457837382814,-3960.035930462771,True
53470.96392353723,7.634824705999193,1.8579203295169768,-3959.0360764627694,True
53471.97813953723,4.260786150863997,1.5549614367863682,-3958.0218604627735,True
53472.97799353723,5.385697472251599,1.7948022826682661,-3957.022006462772,True
53494.917373537224,7.49065092535776,1.9290336097685576,-3935.082626462776,True
53496.07199953723,7.661020059839307,0.7539971775905637,-3933.9280004627726,True
53496.074933537224,6.453855190819313,0.7566900246533872,-3933.925066462776,True
53498.076890537224,5.705628399791942,0.9771187913673631,-3931.9231094627758,True
53498.078372537224,5.077040956841441,0.9521137829268598,-3931.921627462776,True
53508.900012537226,7.356832536956921,1.1728266228741304,-3921.099987462774,True
53510.91408253722,7.022609214269235,1.1312856523940633,-3919.0859174627767,True
53514.00770253722,5.864650335486061,1.0240465665494063,-3915.992297462777,True
53514.01265853723,8.858792705972228,0.9624976537412555,-3915.9873414627727,True
53514.015592537224,6.330511934154652,0.9731095352599016,-3915.9844074627763,True
53515.06862753723,5.837193213432744,0.8494009021020228,-3914.931372462772,True
53516.017549537224,5.5807825048622615,1.3896258848667846,-3913.982450462776,True
53516.019031537224,7.8734795069658805,1.3535454877033863,-3913.980968462776,True
53533.00928653723,6.590449971953902,1.0930237964206098,-3896.990713462772,True
53537.96815253722,8.101740028549594,0.7970997744465442,-3892.0318474627784,True
