Teff,ebv,ln_sigma_mgb,v_MarIMACS200,v_AprIMACS300,v_AprWFCCD,ln_cal_blue_MarIMACS200,ln_cal_blue_AprIMACS300,ln_cal_blue_AprWFCCD
5467.862509505495,0.9297872189925184,-0.40810325055166585,-264.7548062975677,-259.2275507186363,-328.71422086964304,0.04492286235745707,-0.005141374697468816,0.4949593633060725
5461.839447118663,0.9268035492446512,-0.4091261443863073,-285.6022533729235,-255.1167679851934,-334.3299098170566,0.0031067026848170393,0.06412516503277628,0.4576117125456238
5456.775439657286,0.9696541284253208,-0.3603320339917655,-280.108417848119,-223.788584325189,-289.96408011433385,0.09186686038126361,0.08746065681372077,0.38787389087870194
5440.142003600888,0.9078271258302654,-0.3636452572344483,-250.7322471063919,-249.91777861847933,-333.3719513622952,-0.09119536930202166,0.08587976895844633,0.5092906723912702
5435.551625059319,0.9312257179600695,-0.41229881955513314,-279.3571171282453,-260.01980503663333,-309.12260794322214,0.38491653440829554,0.013969229660289698,0.4663753815815256
5469.988313771238,0.9106253870300003,-0.4003952635724012,-244.5089509165346,-269.9584111753268,-322.74443493008124,0.03995884916727188,0.08819593729442607,0.43616642857435706
5459.601415854993,0.92877216143929,-0.3665728966256253,-284.16611176186814,-260.2220146570128,-298.2484949067647,0.15612762370825606,-0.01906942670794503,0.5331324383691478
5441.429549409658,0.9274745501393606,-0.35322779756902106,-312.5624968593409,-263.10265800905523,-300.9118068805286,0.23557580980795556,0.03241235995846237,0.37633451840833765
5460.595437473719,0.9235352041228568,-0.37112840782832013,-273.1030392197034,-260.33696585930215,-323.7981891822894,0.4481140868001548,-0.02709624184950335,0.47288450455134656
5474.917636892659,0.9240870565425751,-0.31716145866652784,-285.151760895459,-282.6713970183382,-311.33001421775657,0.13064448707043438,0.07020459512475469,0.5554113627378404
5483.666951530051,0.9339481727453393,-0.3600352522168132,-279.83559843939884,-250.38409369695407,-282.784169714522,0.3099020797243722,0.07170253710850608,0.437062210373034
5490.581206075801,0.9544477744262231,-0.3838190051423918,-255.3537930910283,-259.2288546919967,-336.8289318665848,0.3183582029655116,0.06597436707936614,0.5345147906984257
5491.108537981819,0.9594540076234909,-0.3455395429917112,-311.00960706638733,-246.02263638680495,-313.6622489645108,0.40075953459470026,-0.031974667539009974,0.43289565703911664
5451.904271521883,0.9387614697358695,-0.36163199667624724,-268.3771633634189,-263.58059151378575,-321.2204486329281,-0.013601718939400709,0.0052146256976906,0.5128597330263515
5478.54686854066,0.9238686281091512,-0.39087366714867605,-256.4223184508661,-254.85740211546778,-322.7486376162918,0.02253431656154381,0.16862661539338292,0.5777047759842197
5456.95937752562,0.9002090953633574,-0.3682070890706261,-303.37266082328324,-243.23342765058442,-309.9757359644302,0.38204386235019344,0.10454650063944418,0.5252905784746631
5456.325592454428,0.9272577037215373,-0.3686633541018125,-263.0132880382102,-273.8029807242144,-258.0984549333512,0.38217034301143366,0.14954375641532625,0.4686340575850253
5475.460520214813,0.9264691066425289,-0.360312528607624,-273.54093131225505,-264.38783043632486,-330.0045449790422,0.2872760720436846,0.155513135624399,0.6007065244723928
5465.875431812998,0.9200523693073677,-0.3620472858771068,-280.25984710796627,-254.467210438149,-341.5722948115672,0.3779363316531792,0.11980640796163,0.531057507009128
5438.614045996643,0.9055395425128108,-0.3417474112894606,-289.08873659404674,-242.495268795928,-324.40520558374743,0.3915404011712013,0.01917630748402439,0.569060346855293
5461.20702686633,0.9521812684935249,-0.30247975050745785,-294.79186024099124,-265.5712862902946,-315.7072266146526,0.026583119345575806,-0.07837240129990745,0.5426351600708393
5458.132062959351,0.949100494788125,-0.40522333772600705,-275.94215443197623,-264.81242250872424,-331.91849471551865,0.2102282432843396,0.13128984749716255,0.5062226269769566
5465.47354479384,0.9479398506682329,-0.37745274937742535,-258.94514183081947,-249.12876380655982,-333.58401522359463,0.35400888776296613,-0.07337372266473424,0.5137461853502642
5468.358131707985,0.9446304340873083,-0.3658141240008252,-271.6907988483988,-245.4700789632665,-327.30085976304457,-0.01832157423616035,-0.020589220394404664,0.49195680674316256
5447.120396513249,0.9057123092987892,-0.349018522348651,-274.39407656973583,-279.9680735841351,-326.3747657523682,0.5613287513234819,0.17584241018981717,0.598135770860533
5467.911800331373,0.9104649012827555,-0.3542736185534764,-294.25765045738456,-250.34911700125446,-317.44453559155966,-0.014351750346857206,0.22436354769375805,0.55930657840284
5481.982121691938,0.9350565890750953,-0.384855795141093,-294.68243350101716,-245.44008864469842,-346.9969862152136,0.6479727424365195,-0.088645864468818,0.42426368987619884
5481.205251398788,0.9594776322955691,-0.3526637793835785,-288.4125741144613,-249.5996552635408,-317.3044285188945,0.057368245416407226,0.153896012254781,0.5125759523178035
5481.563936179022,0.9334173133166155,-0.3390500288056149,-251.86191066302922,-252.02668990279392,-330.1307661428488,0.12532333338254625,0.10977065516237769,0.4557185234490797
5479.640741111145,0.9494325822591693,-0.4446491873054451,-285.2762895173904,-280.8974852191411,-329.8620881340344,0.32413980829704575,0.06273440580994515,0.5409383060618368
5463.1448254743445,0.9307802066670114,-0.3760412213540875,-300.30480449711337,-240.8143998429377,-331.21485543371284,0.05311206291237186,0.14611983452886337,0.4569322964512624
5483.5291031657225,0.9368086027135915,-0.37208266642985927,-270.6379003272689,-254.34037127120232,-294.3560547191409,0.3844362161863518,-0.03942019878532979,0.5124578406476363
5472.145504201285,0.9145774640852422,-0.4142857307931455,-260.5536437248775,-240.48781088746028,-309.2590757572068,0.25148828101346365,0.033745243257862725,0.47366059068980954
5464.396786737843,0.9074148038730336,-0.44278459568366113,-284.7480758520799,-265.09530485082837,-335.93901857769214,0.12419478719531575,0.1195793791021167,0.5093020975669286
5463.2255917515995,0.931307582025549,-0.427190391021376,-243.94677477276977,-271.92023111205395,-277.7447178588084,0.21759751358824098,0.14844085637083393,0.5904685175500085
