epoch,best_template_sptype,best_template_teff,best_template_r,teff_smoothed_peak,teff_bootstrap_median,teff_bootstrap_p2.5,teff_bootstrap_p97.5,nearest_sptype_to_peak,wave_window,template_library,rest2012_result
Mar2011_IMACS200,G0I,5508.08,0.3849956402822856,5530.0,5530.0,4960.0,7680.0,G0I,5050-6350,Pickles 1998 luminosity class I (proxy for Rest+ UVES POP),"G2-G5, Teff ~ 5000 K"
Apr2011_IMACS300,G0I,5508.08,0.34939172254785394,5570.0,5570.0,4970.0,7670.0,G0I,5050-6350,Pickles 1998 luminosity class I (proxy for Rest+ UVES POP),"G2-G5, Teff ~ 5000 K"
Apr2011_WFCCD,G0I,5508.08,0.2855795090827221,5000.0,5280.0,4750.0,6590.0,G2I,5050-6350,Pickles 1998 luminosity class I (proxy for Rest+ UVES POP),"G2-G5, Teff ~ 5000 K"
