wavelength_A,flux_pickles,sptype,teff_K
1930.0,2.7050512871329424e-11,G0I,5508.08
1935.0,2.823610269209187e-11,G0I,5508.08
1940.0,2.963984266357578e-11,G0I,5508.08
1945.0,3.1305482511845284e-11,G0I,5508.08
1950.0,3.327412650966366e-11,G0I,5508.08
1955.0,3.555861161075313e-11,G0I,5508.08
1960.0,3.811226334526907e-11,G0I,5508.08
1965.0,4.085820917709704e-11,G0I,5508.08
1970.0,4.371894166133039e-11,G0I,5508.08
1975.0,4.6619687277260624e-11,G0I,5508.08
1980.0,4.94834798137056e-11,G0I,5508.08
1985.0,5.2233363467824034e-11,G0I,5508.08
1990.0,5.479372511274505e-11,G0I,5508.08
1995.0,5.708285580330319e-11,G0I,5508.08
2000.0,5.903168925902591e-11,G0I,5508.08
2005.0,6.060514590178201e-11,G0I,5508.08
2010.0,6.186977319355691e-11,G0I,5508.08
2015.0,6.29338733904028e-11,G0I,5508.08
2020.0,6.390350054674698e-11,G0I,5508.08
2025.0,6.48912937273316e-11,G0I,5508.08
2030.0,6.600771318421295e-11,G0I,5508.08
2035.0,6.736023544506864e-11,G0I,5508.08
2040.0,6.905737787166188e-11,G0I,5508.08
2045.0,7.121375017460352e-11,G0I,5508.08
2050.0,7.393053530480032e-11,G0I,5508.08
2055.0,7.726036477251341e-11,G0I,5508.08
2060.0,8.112047839015091e-11,G0I,5508.08
2065.0,8.537751755577361e-11,G0I,5508.08
2070.0,8.988622346439712e-11,G0I,5508.08
2075.0,9.450602800331609e-11,G0I,5508.08
2080.0,9.909893738946352e-11,G0I,5508.08
2085.0,1.0352305124250449e-10,G0I,5508.08
2090.0,1.0763936963975596e-10,G0I,5508.08
2095.0,1.1130345256571417e-10,G0I,5508.08
2100.0,1.1438135855135201e-10,G0I,5508.08
2105.0,1.16786469384067e-10,G0I,5508.08
2110.0,1.185650189139409e-10,G0I,5508.08
2115.0,1.1980916259091146e-10,G0I,5508.08
2120.0,1.2061830700904608e-10,G0I,5508.08
2125.0,1.2109174774010967e-10,G0I,5508.08
2130.0,1.2132850280011098e-10,G0I,5508.08
2135.0,1.21426202426278e-10,G0I,5508.08
2140.0,1.2148620998075899e-10,G0I,5508.08
2145.0,1.216057671227233e-10,G0I,5508.08
2150.0,1.2188026976556188e-10,G0I,5508.08
2155.0,1.2236854585179202e-10,G0I,5508.08
2160.0,1.2303348617681564e-10,G0I,5508.08
2165.0,1.2379905434123373e-10,G0I,5508.08
2170.0,1.2458978293494738e-10,G0I,5508.08
2175.0,1.2532830329092803e-10,G0I,5508.08
2180.0,1.2593466547361487e-10,G0I,5508.08
2185.0,1.2633044610410593e-10,G0I,5508.08
2190.0,1.2643831814873607e-10,G0I,5508.08
2195.0,1.2617847044982256e-10,G0I,5508.08
2200.0,1.2548198591311177e-10,G0I,5508.08
2205.0,1.2431315699057421e-10,G0I,5508.08
2210.0,1.2275322425203683e-10,G0I,5508.08
2215.0,1.2092012113829043e-10,G0I,5508.08
2220.0,1.1893697138276593e-10,G0I,5508.08
2225.0,1.1693036816584623e-10,G0I,5508.08
2230.0,1.1502107599703493e-10,G0I,5508.08
2235.0,1.1333591010131983e-10,G0I,5508.08
2240.0,1.1199801502881357e-10,G0I,5508.08
2245.0,1.1113233944204381e-10,G0I,5508.08
2250.0,1.1085835027735413e-10,G0I,5508.08
2255.0,1.1123915677480056e-10,G0I,5508.08
2260.0,1.1220438467240967e-10,G0I,5508.08
2265.0,1.1362993185271009e-10,G0I,5508.08
2270.0,1.1538141275746483e-10,G0I,5508.08
2275.0,1.1733092275534318e-10,G0I,5508.08
2280.0,1.1934737920160643e-10,G0I,5508.08
2285.0,1.2130044191316358e-10,G0I,5508.08
2290.0,1.2305848007265752e-10,G0I,5508.08
2295.0,1.2449165309735832e-10,G0I,5508.08
2300.0,1.254754772306299e-10,G0I,5508.08
2305.0,1.2592753229068165e-10,G0I,5508.08
2310.0,1.258841225704188e-10,G0I,5508.08
2315.0,1.2543327487790634e-10,G0I,5508.08
2320.0,1.2466166987579186e-10,G0I,5508.08
2325.0,1.2365458657015438e-10,G0I,5508.08
2330.0,1.2250041259154187e-10,G0I,5508.08
2335.0,1.2128992255000526e-10,G0I,5508.08
2340.0,1.2011019956403857e-10,G0I,5508.08
2345.0,1.1905064434269974e-10,G0I,5508.08
2350.0,1.1819355216768912e-10,G0I,5508.08
2355.0,1.1760893647849713e-10,G0I,5508.08
2360.0,1.173178082458648e-10,G0I,5508.08
2365.0,1.173217079042388e-10,G0I,5508.08
2370.0,1.1762049667574104e-10,G0I,5508.08
2375.0,1.182141190492203e-10,G0I,5508.08
2380.0,1.1910000763393214e-10,G0I,5508.08
2385.0,1.2028013307574525e-10,G0I,5508.08
2390.0,1.2175266350666902e-10,G0I,5508.08
2395.0,1.2351972222823804e-10,G0I,5508.08
2400.0,1.2557999085061056e-10,G0I,5508.08
2405.0,1.27916108261239e-10,G0I,5508.08
2410.0,1.3047932179155453e-10,G0I,5508.08
2415.0,1.3320747282996592e-10,G0I,5508.08
2420.0,1.3602929893608007e-10,G0I,5508.08
2425.0,1.3888354355451327e-10,G0I,5508.08
2430.0,1.4170491169362975e-10,G0I,5508.08
2435.0,1.44428885517911e-10,G0I,5508.08
2440.0,1.4698556261016904e-10,G0I,5508.08
2445.0,1.4931514358274e-10,G0I,5508.08
2450.0,1.5134904440827768e-10,G0I,5508.08
2455.0,1.530490040257959e-10,G0I,5508.08
