phase,ABmag,ABmag_err
-4399.911706542058,22.10118170101232,0.05545108892261383
-4397.391811720772,22.10231659706095,0.05450780515218438
-4394.871916899479,22.103454451005888,0.0535763640265455
-4392.352022078194,22.104595166183636,0.05265699428827484
-4389.832127256908,22.105738645534466,0.05174993208156109
-4387.312232435615,22.106884806124096,0.0508554205203816
-4384.79233761433,22.108033760384778,0.04997370419389753
-4382.272442793037,22.109185761522106,0.04910503003909813
-4379.7525479717515,22.11034109695209,0.04824962663619122
-4377.232653150466,22.11150015665523,0.0474076461266923
-4374.712758329173,22.112663353590833,0.04657922897572713
-4372.1928635078875,22.113831102512886,0.045764521575620935
-4369.672968686602,22.115003819997415,0.04496367660520832
-4367.153073865309,22.11618192445711,0.04417685331449697
-4364.633179044024,22.117365836162232,0.04340421784492834
-4362.113284222731,22.11855597727934,0.04264594349823029
-4359.593389401445,22.119752771885036,0.04190221088290442
-4357.07349458016,22.12095664549193,0.041173207914025255
-4354.553599758867,22.122167979780123,0.040459110529523994
-4352.033704937581,22.123387077499228,0.03976006807213043
-4349.513810116296,22.124614234655073,0.03907623433652112
-4346.993915295003,22.125849748709793,0.038407771152979504
-4344.474020473717,22.127093918617916,0.03775484845709105
-4341.954125652432,22.12834704485036,0.03711764417000392
-4339.434230831139,22.129609429421016,0.03649634405020022
-4336.914336009853,22.13088137592511,0.03589114142856415
-4334.39444118856,22.132163189546212,0.03530223670181572
-4331.874546367275,22.13345517711837,0.03472983683870611
-4329.354651545989,22.13475764713914,0.03417415457057751
-4326.8347567246965,22.13607090980215,0.033635407510043895
-4324.314861903411,22.137395277051517,0.03311381705009108
-4321.794967082125,22.13873106258992,0.032609607012948204
-4319.2750722608325,22.14007858193527,0.03212300214154066
-4316.755177439547,22.141438152454135,0.031654226374272974
-4314.235282618254,22.142810100582565,0.03120349969829431
-4311.715387796969,22.144194766584363,0.03077100687822031
-4309.195492975683,22.145592264885416,0.03035680865293795
-4306.67559815439,22.147002658541275,0.02996089734759763
-4304.155703333105,22.14842603005769,0.029583241010110374
-4301.635808511819,22.14986246439119,0.029223794717093923
-4299.115913690526,22.151312077489216,0.028882473140352003
-4296.596018869241,22.152775012837708,0.028559127493889506
-4294.076124047955,22.15425127890741,0.028253528202268067
-4291.556229226662,22.155740239166466,0.027965221591535472
-4289.036334405377,22.157241060481383,0.02769367816616703
-4286.516439584084,22.158752905340943,0.027438357665869342
-4283.996544762798,22.160274931828305,0.027198711720048868
-4281.476649941513,22.161806293429798,0.026974186459891462
-4278.95675512022,22.163346139059435,0.026764225230925243
-4276.436860298934,22.164893612868276,0.026568271165233758
-4273.916965477649,22.16644785421426,0.026385769841625488
-4271.397070656356,22.16800799815067,0.026216171631560505
-4268.87717583507,22.169573357604435,0.026058906624055855
-4266.3572810137775,22.171143688566133,0.025913346820210747
-4263.837386192492,22.172718812638575,0.02577886606552394
-4261.317491371206,22.174298550392255,0.02565485329112599
-4258.797596549914,22.175882721363198,0.025540715278343114
-4256.277701728628,22.177471144041426,0.025435879436360092
-4253.7578069073425,22.179063635845054,0.02533979587046196
-4251.23791208605,22.180660013128154,0.025251939554998708
-4248.718017264764,22.182260091156934,0.02517181199716909
-4246.1981224434785,22.183863684101922,0.025098942542514224
-4243.678227622186,22.185470605032428,0.025032889499531984
-4241.1583328009,22.18708066589706,0.024973240859846604
-4238.638437979607,22.188693684875155,0.024919614063820476
-4236.118543158322,22.190309576623367,0.024871647023583347
-4233.598648337036,22.191928324495382,0.024829000896519484
-4231.078753515743,22.193549926602326,0.024791364360919912
-4228.558858694458,22.19517447574269,0.024758437545946674
-4226.038963873172,22.196802102712667,0.024729898597378466
-4223.519069051879,22.198432594726082,0.024705348097900252
-4220.999174230594,22.200065636945528,0.024684315709532195
-4218.479279409301,22.201700967935167,0.02466630273307894
-4215.959384588015,22.20333832655177,0.024650837510935556
-4213.43948976673,22.20497744650749,0.02463747692435521
-4210.919594945437,22.206617925705125,0.02462576139867105
-4208.399700124151,22.208259187371844,0.02461520278105594
-4205.879805302866,22.209900639944937,0.024605341110513004
-4203.359910481573,22.21154168827384,0.02459574926250436
-4200.8400156602875,22.213181733607144,0.024586033794139872
-4198.320120839002,22.21482017358453,0.02457583546717773
-4195.800226017709,22.216456402230396,0.0245648297418921
-4193.2803311964235,22.218089809950854,0.024552727105605212
-4190.760436375131,22.219719783520787,0.024539273137686123
-4188.240541553845,22.22134570610796,0.02452424851214387
-4185.7206467325595,22.222966957277357,0.024507469053582746
-4183.200751911267,22.2245829129772,0.02448878537969308
-4180.680857089981,22.226192945586018,0.024468082616116268
-4178.160962268696,22.22779642390961,0.02444528003214012
-4175.641067447403,22.229392713210583,0.02442033042821807
-4173.121172626117,22.230981175240203,0.024393219603457198
-4170.601277804824,22.232561168264134,0.024363965506589345
-4168.081382983539,22.234132047080337,0.024332617413729413
-4165.561488162253,22.235693165011018,0.02429925396054306
-4163.04159334096,22.237243843091168,0.024263960276914628
-4160.521698519675,22.238783311144225,0.024226820865409577
-4158.001803698389,22.24031078402826,0.024187944500986054
-4155.481908877096,22.241825472165495,0.024147465891209426
-4152.962014055811,22.24332655414273,0.024105535790171873
-4150.442119234525,22.244813239664815,0.024062272877545036
-4147.9222244132325,22.246284783421366,0.02401777377543907
-4145.402329591947,22.247740683466127,0.023972096931775082
-4142.882434770654,22.249180916599933,0.023925204152370785
-4140.3625399493685,22.250605537416803,0.023877036532413964
-4137.842645128083,22.252014628757035,0.023827552249832615
-4135.32275030679,22.253408466148684,0.023776709015445745
-4132.802855485505,22.25478724187911,0.023724455762992678
-4130.282960664219,22.25615100584039,0.023670746446484633
-4127.763065842926,22.25749988739451,0.023615550199618595
-4125.243171021641,22.25883439304289,0.023558828916951952
-4122.723276200348,22.26015514301538,0.023500555299592624
-4120.203381379062,22.261462698002425,0.023440689280462793
-4117.683486557777,22.262757541883936,0.023379191596186982
-4115.163591736484,22.264040158395066,0.02331604862615555
-4112.643696915198,22.265311034103718,0.02325127407772213
-4110.123802093913,22.266570658325506,0.023184909813315255
-4107.60390727262,22.267819523108717,0.02311702618068799
-4105.084012451334,22.269058123176496,0.02304772286873947
-4102.564117630049,22.2702869558875,0.0229771289254603
-4100.044222808756,22.271506521201143,0.022905402726667662
-4097.52432798747,22.272717329363314,0.02283272943532765
-4095.0044331661775,22.27392005687295,0.02275924767839137
-4092.484538344892,22.275115540655303,0.022685042963662055
-4089.9646435236064,22.276304627964848,0.022610225891545658
-4087.4447487023135,22.27748816990169,0.022534937324562146
-4084.924853881028,22.278667021437002,0.02245934888104989
-4082.4049590597424,22.279842037106338,0.02238366307412729
-4079.8850642384496,22.281013885315556,0.022308101481915338
-4077.365169417164,22.28218290165171,0.022232870934746903
-4074.845274595871,22.28334941763805,0.02215816146759461
-4072.3253797745856,22.284513533296177,0.022084159315650123
-4069.8054849533,22.28567528979688,0.02201107604781482
-4067.285590132007,22.28683464742745,0.021939149994288434
-4064.7656953107216,22.287991002857535,0.021868609099277368
-4062.245800489436,22.28914352926593,0.02179965296357429
-4059.7259056681432,22.290291467899088,0.02173249718480679
-4057.2060108468577,22.29143405750808,0.021667388531236644
-4054.686116025572,22.292570533734956,0.021604605076457693
-4052.1662212042793,22.29370016164279,0.021544448524028273
-4049.6463263829937,22.294822573975726,0.021487179354717605
-4047.126431561701,22.295937638017524,0.021433041130773007
-4044.6065367404153,22.297045224473962,0.021382304385568415
-4042.0866419191298,22.298145252770958,0.02133524749690367
-4039.566747097837,22.299237978913364,0.02129205003721806
-4037.0468522765514,22.300323812043445,0.021252863939058217
-4034.526957455266,22.30140311591732,0.021217838085079342
-4032.007062633973,22.30247619866199,0.021187114437623875
-4029.4871678126874,22.303543338285472,0.021160858501421655
-4026.9672729913946,22.304604684893437,0.021139258202968317
-4024.447378170109,22.30566035288612,0.021122525949300974
-4021.927483348823,22.3067104744688,0.02111089514314685
-4019.4075885275306,22.30775520568225,0.021104617690447015
-4016.887693706245,22.308794704903363,0.02110396655121596
-4014.367798884959,22.309829131226703,0.02110923372104039
-4011.847904063666,22.310858654853458,0.021120723061260338
-4009.328009242381,22.31188364602682,0.02113851183812863
-4006.808114421095,22.31290459328461,0.02116232767629341
-4004.2882195998022,22.313921997019886,0.021191875000949035
-4001.768324778517,22.314936315097224,0.02122685665551692
-3999.248429957224,22.315947968962558,0.021266991934230824
-3996.7285351359383,22.316957196327188,0.021312001754040796
-3994.208640314653,22.317963976872257,0.021361598100614426
-3991.68874549336,22.31896826236517,0.021415517885164104
-3989.168850672075,22.31997000442322,0.021473530050630938
-3986.648955850789,22.320969154449603,0.02153543757201978
-3984.129061029496,22.321965631710512,0.02160107499361374
-3981.609166208211,22.322959271328674,0.021670303117135806
-3979.089271386918,22.32394989427113,0.021743018217315606
-3976.569376565632,22.32493732088812,0.021819154050438983
-3974.049481744347,22.325921373016534,0.021898681145804514
-3971.529586923054,22.32690188893696,0.021981603562136555
-3969.009692101769,22.327878714720025,0.022067959356903533
-3966.489797280483,22.32885170595629,0.022157813812401027
-3963.96990245919,22.329820626342833,0.02225123607054296
-3961.450007637905,22.330784638908366,0.022348276505375537
-3958.930112816619,22.331742797228593,0.02244900081133972
-3956.410217995326,22.332694375769158,0.022553492049029615
-3953.890323174041,22.333638706303667,0.02266185297878293
-3951.370428352748,22.33457513970081,0.02277420328785363
-3948.850533531462,22.335503133162103,0.022890484390921367
-3946.330638710177,22.336422345008163,0.023010343409386624
-3943.810743888884,22.33733245544715,0.023133421043845515
-3941.290849067598,22.338233253282013,0.023259377319852316
-3938.7709542463126,22.33912468579003,0.023387890626592366
-3936.25105942502,22.340006798592494,0.023518667102673176
-3933.731164603734,22.34087976948692,0.023651443495987516
-3931.2112697824414,22.34174412335721,0.02378598701565511
-3928.691374961156,22.34260060886538,0.023922097011030066
-3926.1714801398703,22.34344999436511,0.024059607298169555
-3923.6515853185774,22.34429305079698,0.024198386935780594
