mjd,muJyas2,muJyas2_err,phase
53044.369998619404,5.242365774361133,0.2676748533323816,-4399.911706542058
53046.88989344069,5.236888908250876,0.2628465195345988,-4397.391811720772
53049.40978826198,5.231403511943427,0.2580843268191801,-4394.871916899479
53051.92968308327,5.225910089510762,0.253389242849361,-4392.352022078194
53054.449577904554,5.220409144999394,0.24876226398865478,-4389.832127256908
53056.96947272585,5.214901112663938,0.24420440981282734,-4387.312232435615
53059.48936754713,5.209385487720283,0.2397166569017643,-4384.79233761433
53062.009262368425,5.203861092970328,0.23529995883020446,-4382.272442793037
53064.52915718971,5.198326592602825,0.23095517239969654,-4379.7525479717515
53067.049052010996,5.192780166169541,0.22668276660356548,-4377.232653150466
53069.56894683229,5.187219891467976,0.2224831520001227,-4374.712758329173
53072.088841653574,5.181643846277439,0.21835676942923324,-4372.1928635078875
53074.60873647486,5.176050108329946,0.21430409131059044,-4369.672968686602
53077.12863129615,5.170436755350238,0.21032562257181506,-4367.153073865309
53079.64852611744,5.164801865073969,0.20642190172887911,-4364.633179044024
53082.16842093873,5.159143515189498,0.20259350170168744,-4362.113284222731
53084.68831576002,5.1534597834070155,0.1988410300376498,-4359.593389401445
53087.2082105813,5.147748749848688,0.19516512851444168,-4357.07349458016
53089.728105402595,5.142008711576636,0.19156638932362285,-4354.553599758867
53092.24800022388,5.136238347571634,0.1880452912837338,-4352.033704937581
53094.76789504517,5.130436375620775,0.18460233339076387,-4349.513810116296
53097.28778986646,5.12460151351479,0.18123804989068926,-4346.993915295003
53099.807684687745,5.118732479000755,0.1779530101630419,-4344.474020473717
53102.32757950903,5.112827989796642,0.17474781770507203,-4341.954125652432
53104.84747433032,5.106886763598595,0.17162310897763158,-4339.434230831139
53107.36736915161,5.100907518037275,0.1685795516978839,-4336.914336009853
53109.8872639729,5.094888970786997,0.1656178420038608,-4334.39444118856
53112.40715879419,5.088829839420214,0.16273870167864007,-4331.874546367275
53114.92705361547,5.082728841498465,0.1599428739131684,-4329.354651545989
53117.446948436766,5.076584694576013,0.1572311187489097,-4326.8347567246965
53119.96684325805,5.0703961161070765,0.15460420751405357,-4324.314861903411
53122.48673807934,5.0641618235749775,0.15206291612960882,-4321.794967082125
53125.00663290063,5.057880534399374,0.14960801771470342,-4319.2750722608325
53127.526527721915,5.051550965958086,0.14724027423353098,-4316.755177439547
53130.04642254321,5.045171802215918,0.14496042063378212,-4314.235282618254
53132.56631736449,5.038741672042875,0.14276901901289746,-4311.715387796969
53135.08621218578,5.0322602605886,0.1406660790262171,-4309.195492975683
53137.60610700707,5.025727495049296,0.13865129426903408,-4306.67559815439
53140.12600182836,5.019143215762369,0.13672423887307428,-4304.155703333105
53142.64589664964,5.01250725529917,0.13488442269503398,-4301.635808511819
53145.165791470936,5.005819306981721,0.13313116176736192,-4299.115913690526
53147.68568629222,4.999078941767948,0.13146347407916126,-4296.596018869241
53150.20558111351,4.992286356588011,0.1298800215190216,-4294.076124047955
53152.7254759348,4.985444711885066,0.1283785139044333,-4291.556229226662
53155.245370756085,4.9785580550305895,0.12695633932559452,-4289.036334405377
53157.76526557738,4.971630433559767,0.12561084163769243,-4286.516439584084
53160.285160398664,4.964665894818609,0.12433933375647314,-4283.996544762798
53162.80505521995,4.9576684863859555,0.12313911064282014,-4281.476649941513
53165.32495004124,4.950642255535058,0.12200746258275888,-4278.95675512022
53167.84484486253,4.943591249706515,0.1209416877092813,-4276.436860298934
53170.36473968381,4.936519516275439,0.11993910476531872,-4273.916965477649
53172.884634505106,4.929431099993963,0.11899706423885252,-4271.397070656356
53175.40452932639,4.922329216769867,0.11811281531553228,-4268.87717583507
53177.924424147684,4.915215058836111,0.11728330802536166,-4266.3572810137775
53180.44431896897,4.90808951548388,0.11650550852418165,-4263.837386192492
53182.964213790256,4.900953476020732,0.11577646631118405,-4261.317491371206
53185.48410861155,4.8938078297269385,0.11509332634068326,-4258.797596549914
53188.004003432834,4.886653465855488,0.11445334107253358,-4256.277701728628
53190.52389825412,4.8794912736975675,0.11385387921473009,-4253.7578069073425
53193.04379307541,4.872322142497069,0.11329243483869045,-4251.23791208605
53195.5636878967,4.865146961508799,0.11276663411942721,-4248.718017264764
53198.08358271798,4.857966619985746,0.11227424039454353,-4246.1981224434785
53200.603477539276,4.85078200715725,0.1118131583531173,-4243.678227622186
53203.12337236056,4.843594012270842,0.11138143636809449,-4241.1583328009
53205.643267181855,4.836403491801093,0.1109772637869217,-4238.638437979607
53208.16316200314,4.829210868245582,0.11059892091846839,-4236.118543158322
53210.683056824426,4.822016256696088,0.11024479370215357,-4233.598648337036
53213.20295164572,4.814819706314665,0.10991339748746252,-4231.078753515743
53215.722846467004,4.807620846893769,0.1096032969451295,-4228.558858694458
53218.24274128829,4.800419142640749,0.10931296374071842,-4226.038963873172
53220.76263610958,4.793215578007221,0.10904057031578879,-4223.519069051879
53223.28253093087,4.786011581601997,0.10878399711762543,-4220.999174230594
53225.80242575216,4.7788083385858044,0.10854100661410633,-4218.479279409301
53228.32232057345,4.771607025846606,0.10830949305725898,-4215.959384588015
53230.84221539473,4.764408835872018,0.10808748872190695,-4213.43948976673
53233.362110216025,4.757215549099783,0.10787297885283534,-4210.919594945437
53235.88200503731,4.750029699469451,0.10766385291756791,-4208.399700124151
53238.401899858596,4.742853870237013,0.10745813749033013,-4205.879805302866
53240.92179467989,4.735690644673014,0.10725401443937858,-4203.359910481573
53243.441689501175,4.728542606062547,0.10704982348958018,-4200.8400156602875
53245.96158432246,4.721412337697984,0.10684406333698777,-4198.320120839002
53248.48147914375,4.714302422878973,0.1066353926057195,-4195.800226017709
53251.00137396504,4.7072154449124355,0.10642263006098072,-4193.2803311964235
53253.52126878633,4.700153987170779,0.10620475366516412,-4190.760436375131
53256.04116360762,4.6931206330045825,0.10598089935660626,-4188.240541553845
53258.5610584289,4.686117965757148,0.10575036006190744,-4185.7206467325595
53261.080953250195,4.679148568873643,0.10551258293079625,-4183.200751911267
53263.60084807148,4.672215025762853,0.10526716689744503,-4180.680857089981
53266.12074289277,4.665319919891772,0.10501385992751007,-4178.160962268696
53268.64063771406,4.658465834756498,0.10475255522405012,-4175.641067447403
53271.160532535345,4.651655353860406,0.10448328781428579,-4173.121172626117
53273.68042735664,4.644891060735972,0.10420622982102809,-4170.601277804824
53276.20032217792,4.6381755390175385,0.10392168590113443,-4168.081382983539
53278.72021699921,4.631511364110338,0.10363008366266886,-4165.561488162253
53281.2401118205,4.624901234681602,0.10333187830844187,-4163.04159334096
53283.76000664179,4.618348222633358,0.10302752770149275,-4160.521698519675
53286.27990146307,4.6118554468412185,0.10271759078707704,-4158.001803698389
53288.799796284366,4.605426028450893,0.10240273290654339,-4155.481908877096
53291.31969110565,4.59906320724258,0.10208368576744815,-4152.962014055811
53293.83958592694,4.592770074865257,0.10176103757387736,-4150.442119234525
53296.35948074823,4.586549517648507,0.10143527506881311,-4147.9222244132325
53298.879375569515,4.580403381470205,0.10110669783354896,-4145.402329591947
53301.39927039081,4.574331487349809,0.10077515165328002,-4142.882434770654
53303.91916521209,4.568333332043949,0.10044038845438105,-4140.3625399493685
53306.43906003338,4.56240829836679,0.10010223030792327,-4137.842645128083
53308.95895485467,4.556554965775831,0.0997604802340113,-4135.32275030679
53311.47884967596,4.550772271958522,0.0994149129406387,-4132.802855485505
53313.99874449724,4.545059758073876,0.09906533804556863,-4130.282960664219
53316.518639318536,4.5394166373007465,0.09871162198449326,-4127.763065842926
53319.03853413982,4.5338405538132065,0.0983535671676096,-4125.243171021641
53321.558428961114,4.528328690870694,0.09799101179975934,-4122.723276200348
53324.0783237824,4.522878495135956,0.09762374719868241,-4120.203381379062
53326.598218603685,4.5174877466852195,0.09725157602502832,-4117.683486557777
53329.11811342498,4.512154238185758,0.0968744084956289,-4115.163591736484
53331.638008246264,4.506875762261188,0.09649226849224471,-4112.643696915198
53334.15790306755,4.501650111651543,0.09610529636256138,-4110.123802093913
53336.67779788884,4.496475079089578,0.09571374965389037,-4107.60390727262
53339.19769271013,4.491348457362619,0.09531800603336488,-4105.084012451334
53341.71758753141,4.486268039305287,0.09491856273783571,-4102.564117630049
53344.237482352706,4.4812316177813045,0.09451603583495148,-4100.044222808756
53346.75737717399,4.476236953843909,0.09411114848575808,-4097.52432798747
53349.277271995285,4.471281134465244,0.09370441508196431,-4095.0044331661775
53351.79716681657,4.466360600075859,0.09329611611779774,-4092.484538344892
53354.317061637856,4.461471764712769,0.09288663389402264,-4089.9646435236064
53356.83695645915,4.456611042602162,0.0924764737799183,-4087.4447487023135
53359.356851280434,4.451774847904744,0.0920662656067914,-4084.924853881028
53361.87674610172,4.446959612232604,0.09165676396359705,-4082.4049590597424
53364.39664092301,4.442162544204621,0.09124881476545117,-4079.8850642384496
53366.9165357443,4.4373822247107455,0.09084322862811611,-4077.365169417164
53369.43643056559,4.432617257330094,0.09044074485448124,-4074.845274595871
53371.95632538688,4.427867195732688,0.09004210366399787,-4072.3253797745856
53374.47622020816,4.423131835229924,0.08964815027141494,-4069.8054849533
53376.996115029455,4.418411301143351,0.08925984187131045,-4067.285590132007
53379.51600985074,4.413708009444235,0.08887813548516174,-4064.7656953107216
53382.035904672026,4.40902527338767,0.08850388661830522,-4062.245800489436
53384.55579949332,4.404366116090387,0.08813800572632859,-4059.7259056681432
53387.075694314604,4.3997335580934305,0.08778152526439288,-4057.2060108468577
53389.59558913589,4.395130619966949,0.08743559972728604,-4054.686116025572
53392.11548395718,4.3905601908927565,0.0871014714772898,-4052.1662212042793
53394.63537877847,4.386023663033484,0.08678018149321914,-4049.6463263829937
53397.15527359976,4.381521476674607,0.08647267958096887,-4047.126431561701
53399.67516842105,4.37705405689303,0.08618002040200172,-4044.6065367404153
53402.19506324233,4.3726216312352335,0.08590328242423428,-4042.0866419191298
53404.714958063625,4.368223072604451,0.08564311623906486,-4039.566747097837
53407.23485288491,4.36385664334739,0.0854000474130915,-4037.0468522765514
53409.754747706196,4.359520795354911,0.08517459149574295,-4034.526957455266
53412.27464252749,4.355214210128906,0.08496723929131383,-4032.007062633973
53414.794537348775,4.350935695355474,0.08477857697808647,-4029.4871678126874
53417.31443217007,4.3466845757020565,0.08460928874090753,-4026.9672729913946
53419.83432699135,4.342460321509861,0.08446015729733143,-4024.447378170109
53422.35422181264,4.338262334253159,0.08433204534243273,-4021.9274833488234
53424.87411663393,4.33408992277873,0.08422588476635744,-4019.4075885275306
53427.39401145522,4.32994238946776,0.08414268817313057,-4016.887693706245
53429.9139062765,4.325819036690518,0.08408354058971088,-4014.3677988849595
53432.433801097795,4.321719125429809,0.08404956979443393,-4011.8479040636666
53434.95369591908,4.317641124114743,0.08404098343912576,-4009.328009242381
53437.47359074037,4.313583037099306,0.08405659087476657,-4006.8081144210955
53439.99348556166,4.3095428292726865,0.08409511321287577,-4004.2882195998027
53442.513380382945,4.3055186418532685,0.08415527351590725,-4001.768324778517
53445.03327520424,4.301508767318637,0.08423586764234683,-3999.2484299572243
53447.55317002552,4.297512231770497,0.08433571659438731,-3996.7285351359387
53450.07306484681,4.293529085310865,0.08445363052827755,-3994.208640314653
53452.5929596681,4.289559488144278,0.08458852480463094,-3991.6887454933603
53455.11285448939,4.285603600483228,0.0847394453960117,-3989.1688506720748
53457.63274931067,4.281661582803281,0.08490557617032737,-3986.648955850789
53460.152644131966,4.27773372161937,0.08508623105286413,-3984.1290610294964
53462.67253895325,4.2738206336271105,0.085280836647301,-3981.609166208211
53465.192433774544,4.2699229889585695,0.08548896255567308,-3979.089271386918
53467.71232859583,4.266041457754909,0.08571032758039933,-3976.5693765656324
53470.232223417115,4.262176701923636,0.08594479611648474,-3974.049481744347
53472.75211823841,4.258329316528943,0.08619236360309687,-3971.529586923054
53475.27201305969,4.254499864018726,0.08645315845590873,-3969.0096921017685
53477.79190788098,4.250688867614372,0.08672741482784994,-3966.489797280483
53480.31180270227,4.246897208184237,0.08701538890113934,-3963.96990245919
53482.83169752356,4.243128110996622,0.08731731148460804,-3961.4500076379045
53485.35159234484,4.239385217391828,0.08763348267477974,-3958.930112816619
53487.871487166136,4.235671294361964,0.0879642530936423,-3956.410217995326
53490.39138198742,4.2319888761485345,0.08831004578188117,-3953.8903231740405
53492.911276808714,4.228340414223567,0.08867134821710389,-3951.3704283527477
53495.43117163,4.224727938353681,0.08904794560660624,-3948.850533531462
