mjd,muJyas2,muJyas2_err,phase
53130.2767036194,18.318789099448704,1.2809761712007457,-4314.005001542064
53130.2816596194,19.634036717935487,1.2395917820251536,-4314.0000455420595
53130.2845936194,15.20784696938975,1.2240726360843066,-4313.997111542063
53132.2865506194,17.701903048300036,1.3876702995440688,-4311.995154542063
53132.2880326194,15.83443248675145,1.361158425228455,-4311.993672542063
53141.29434477438,13.651626319147864,1.837516494500188,-4302.98736038708
53141.299300774386,19.99564492357718,1.8460278935997774,-4302.982404387076
53141.30223477438,12.5469412871223,1.8507564486551045,-4302.979470387079
53143.30419177438,14.70722894969913,1.9538389488612395,-4300.977513387079
53143.30567377438,15.502571910005184,1.8829106230313302,-4300.976031387079
53147.7693029621,17.64307867551257,0.8639081668432151,-4296.5124021993615
53147.774258962105,16.28498228242302,0.8004457185680027,-4296.507446199357
53147.7771929621,15.165996017028467,0.7959419319162133,-4296.504512199361
53149.2782876194,16.06456848843259,1.4057759698083903,-4295.003417542059
53149.7791499621,17.862945351149918,0.8937969328050894,-4294.50255519936
53149.7806319621,16.2665577006657,0.9228668284666383,-4294.501073199361
53160.29592877439,12.315525802714582,1.9954502333481197,-4283.985776387075
53166.770886962106,16.930047361504293,0.9073082927604572,-4277.510818199356
53172.39238103886,17.00868803147995,1.2757856968609314,-4271.889324122603
53172.39733703886,19.570456113893226,1.2086075125410323,-4271.884368122599
53172.40027103886,17.2995935617938,1.2200038116667298,-4271.8814341226025
53174.40222803886,18.20409982924386,1.353160569872243,-4269.879477122602
53174.40371003886,16.617615029903398,1.3615578429122306,-4269.877995122602
53191.393965038864,18.02835690062127,1.2469950464381176,-4252.887740122598
53192.0444266194,15.143183861302889,3.048218915214697,-4252.237278542059
53203.06206777439,14.989050830996637,4.2273282194626045,-4241.219637387076
53206.027065619404,11.987624186664,1.8551845710120842,-4238.254639542058
53208.0411356194,15.724505203003783,1.783408521035667,-4236.24056954206
53209.537025962105,18.278931463715182,1.7900504765111547,-4234.744679199357
53214.095774109315,15.700939701407107,1.6355229627262464,-4230.185931052147
53214.10073010932,21.75999716159811,1.6230949766872933,-4230.1809750521425
53214.103664109316,14.497082120433836,1.589125148180821,-4230.178041052146
53216.10562110932,18.805450613937627,1.6148096526613245,-4228.176084052146
53216.10628864622,16.61283225000171,1.215381819561059,-4228.175416515245
53216.107103109316,15.50623458679684,1.7109194113625628,-4228.174602052146
53216.11124464622,20.731017894860752,1.2013909377542995,-4228.170460515241
53216.11417864622,17.519198071396094,1.21416522114308,-4228.167526515244
53217.04470677439,11.227958139989303,2.8588843864508844,-4227.236998387074
53218.11613564622,17.38415564700042,1.406387771183768,-4226.165569515244
53218.11761764622,17.050807680474165,1.273778543624053,-4226.164087515244
53219.058776774385,20.881776140945515,2.6650136291824653,-4225.2229283870765
53219.29003691867,18.299163424429814,1.0818125297502226,-4224.991668242794
53219.29499291867,20.402720504597365,1.0635565752470881,-4224.9867122427895
53219.29792691867,17.82686421438099,1.0523674418419422,-4224.983778242793
53221.29988391867,15.503823448945118,1.2160821306119813,-4222.981821242793
53221.30136591867,15.739796383442078,1.146002821390274,-4222.980339242793
53223.51966496211,16.45289163750473,1.1660713076632592,-4220.762040199355
53225.533734962104,15.009182354516168,1.037508670512183,-4218.747970199358
53229.735808462414,14.243836387221164,1.1707115199347273,-4214.545896699048
53229.74076446242,15.228310580306506,1.1050440231843652,-4214.540940699044
53229.743698462415,12.919721288812232,1.1357247388792067,-4214.538006699047
53231.745655462415,13.374657094168015,1.3106586441568093,-4212.536049699047
53231.747137462415,14.920965165188008,1.2326112094944945,-4212.534567699047
53233.09735810932,15.02485726088805,1.880768553894924,-4211.184347052142
53234.16010403886,18.54179016649478,2.642741786727439,-4210.121601122599
53235.10787264622,14.444853869163063,1.3048018032825184,-4209.17383251524
53238.29162091867,16.73209584595113,1.2478828255529242,-4205.990084242789
53248.142743038865,14.406133194301022,1.651263762791793,-4196.138962122597
53248.73739246242,13.003151305175395,1.1594080983629438,-4195.544312699043
53250.15681303886,17.615690911227606,1.6014799297690112,-4194.1248921226
53275.86349710932,9.560686065761608,3.9040446810365115,-4168.418208052142
53277.0524106194,13.562170868579102,1.5241094576073484,-4167.229294542063
53277.87401164622,17.859237329221237,2.7519456214685842,-4166.407693515241
53278.0523946194,16.307249133082586,1.6928801697140594,-4166.229310542061
53278.077313619404,12.700858268862092,1.619810857575905,-4166.204391542058
53281.05775991867,15.669717074220369,2.602945771091989,-4163.223945242789
53288.07005177438,12.539375599033777,2.46830573888085,-4156.211653387079
53289.070035774384,15.599034433133857,2.372788926763238,-4155.211669387078
53289.09495477439,12.322145779792042,2.588411037286163,-4155.186750387074
53289.84613610932,14.29740581140799,2.359660282595922,-4154.435569052141
53289.95568425486,12.280955369098741,1.4451969790861776,-4154.326020906599
53289.96064025487,21.381713511021346,1.4601325777873628,-4154.321064906595
