Teff,ebv,ln_sigma_caii,v_MarIMACS200,v_AprIMACS300,v_AprWFCCD,ln_cal_blue_MarIMACS200,ln_cal_blue_AprIMACS300,ln_cal_blue_AprWFCCD,ln_cal_nir_MarIMACS200,ln_cal_nir_AprIMACS300,ln_cal_nir_AprWFCCD
5393.78648540748,0.8950514129035982,-0.6152274221231941,-337.5391621394894,-309.6315306302905,-348.0943745187865,-0.46767415771481896,0.014595253392390942,0.7429357585387537,0.6557694279117283,0.9607230215856393,0.7285539364779837
5396.187041224339,0.8693890209433945,-0.6393861152246962,-329.1974932055649,-309.23536508468817,-347.6463563729829,-0.4367177832320232,0.12658000117096416,0.3311642132162223,0.6071898782452552,0.9329354427191372,0.6221273316213893
5390.322074283905,0.9082287728312278,-0.6094083372630434,-337.3396284466,-304.56204942331414,-344.5952751452293,-0.2467157570782933,-0.0387470113311531,0.6356441191732422,0.6949005238811292,1.0104345094428349,0.7621896531561468
5393.667363642863,0.8738305987998403,-0.6319137268773459,-336.9900929503291,-304.3902316690926,-349.9368669847209,-0.10282102837902685,0.027317291575808304,0.2594896928947864,0.6294389937107767,0.972702364019971,0.6953359695192316
5392.740585034195,0.8741690023796411,-0.6402950301415816,-337.8905901217432,-308.0478039069769,-346.2665941702861,0.12878014810776373,0.29183959556428674,0.011694935028254971,0.6580779698869225,0.9587858507727508,0.69523077581296
5393.247977373705,0.8910397668325359,-0.6195726516671906,-337.89176640757904,-309.1658379475158,-348.14330519217975,0.3077096466995647,-0.02795901632757028,0.2891221164640884,0.647903672206619,0.9840993785870249,0.7546004832539505
5392.580096484822,0.898932224309532,-0.6081793172828419,-336.07598045205776,-308.7245121217767,-344.57282951849334,-0.2179692972453612,-0.3258444486003617,-0.12398667558256521,0.659701642331644,0.9825554042173233,0.7185185481855092
5390.604317276388,0.9093734225349235,-0.6389592601629186,-335.86344853630806,-309.37093809171824,-349.1921993913749,0.09157124242525244,0.02420366721209924,0.6380558658433001,0.6585814357804862,1.0159965609495596,0.7546788675188453
5403.498875362959,0.8954194495882498,-0.5951414083352314,-337.64141534781555,-308.7881001302396,-345.12180851729164,0.26372556854052354,-0.13652003751341607,0.2451401865799357,0.6503892234300386,1.0049441934805674,0.6981907115707761
5401.742577050758,0.885830839096055,-0.5727606345663104,-335.30308590437056,-309.55570585792583,-349.1252340423438,-0.10786428921968322,-0.07273749445105462,0.30188329570050637,0.6626190741347658,0.9916545232822127,0.7028514631661453
5393.803601135782,0.8718456779110836,-0.6405074942943915,-336.72963747436484,-307.10473369606956,-347.4514392195058,-0.2330193216179619,0.07060039819302934,0.23992778546147736,0.6586196201290505,0.9679557406772413,0.6586907252810631
5390.779974849432,0.9034905382319997,-0.6029106477284529,-336.3563187927924,-309.5776382472869,-349.1217029750952,0.11223535533749707,-0.10086133997199163,0.27165839986860413,0.6818485240707659,0.9917006628489684,0.688018200535159
5395.997505347623,0.8934239621447494,-0.615653581800449,-337.2331833016837,-308.9061981458069,-348.07407112237667,0.24976742340889857,0.4894668256993911,0.4012980229435843,0.6559644162995427,1.0107576008967063,0.7048013361650247
5391.408736498126,0.8645534742960403,-0.6050742314439578,-337.60584319525407,-309.0934495374418,-331.12789171113064,-0.14862229147268968,0.1093768359583423,0.2867448387221446,0.6331374170963963,0.9484354647600884,0.7006546391704265
5396.616149441305,0.9178814931161456,-0.6167065452902856,-337.23263363400866,-309.0571827451594,-349.079728338647,-0.056533025164111406,-0.0492394116486402,0.15267080866475294,0.6980658368603417,0.9944186587111242,0.7421982387776173
5419.330640643588,0.9028573254185362,-0.6176700683507449,-335.25609333166824,-309.1365628979093,-349.0003799997002,0.028676211264960325,0.21369694590966612,0.41599852388982217,0.6705237667205449,0.9658896166304126,0.7232456184141607
5398.163908187194,0.8870142820454775,-0.5566458844392694,-333.92132935882637,-302.6810853496796,-348.778509168331,-0.24162882417248266,-0.18262836735452176,0.004605164310571563,0.6573438207078204,0.9798948202357947,0.7161531396154767
5395.892383437857,0.8945738547724303,-0.6104063914029328,-337.8484460963792,-306.78676461132585,-346.813537659734,-0.24584766003462513,0.2439542875310662,0.37430282087601174,0.6849859168566189,0.9754630334609392,0.7096813799164049
5410.827195743448,0.8815118289614396,-0.6360712119863906,-337.2729022168382,-309.6688424809475,-349.8353954905389,0.061240573795680237,0.09753198011113162,0.5032626575634394,0.6579173181814943,0.959030108519565,0.7062750384952359
5390.882577561823,0.8723365765394311,-0.6259125778785435,-337.86024656046703,-306.3477027593901,-346.46679936497594,0.03559075269493034,0.2216997609140184,0.1221703958467164,0.6306948480835393,0.9516360132290853,0.7034226369300648
5396.3389853937815,0.9208980573128984,-0.6045227955466674,-336.338641471803,-307.8877354740912,-348.32650824686226,-0.6041022684511073,0.04141845854564166,0.23830740762652639,0.6664505118174681,1.0172894992198613,0.7596734128118423
5396.045409692332,0.902926368741564,-0.5924618495862259,-337.83222351313674,-305.10418978981613,-349.67302869605624,0.03148313960171867,0.04051724600658985,0.29453521608904015,0.6744691870576143,0.9956203286996291,0.7088398497895393
5390.126714105686,0.8713307200963148,-0.6145157001772895,-329.3854771146605,-308.71993252164185,-349.7889445159275,0.1415255994971027,0.025387193757829468,0.20089732705050817,0.6597035528154954,0.948742716007078,0.7128105430195063
5390.642083922711,0.8941501132048436,-0.569369522343067,-326.76530991858874,-309.66796987479955,-349.322457717376,0.22051287580112247,-0.04633466368262575,0.25585058510023373,0.6686218871264447,0.975848928497705,0.7404656124954446
5392.141343257979,0.881388517999385,-0.6222991413894008,-336.01899403384,-309.1797912653573,-349.0279017530601,0.3945419793143956,0.056344492232908674,0.5160782473556321,0.6720379038610933,0.9536118613828363,0.7062401698731982
5390.100052142946,0.8749433444746244,-0.5927601299119037,-337.75810395315796,-309.24724758227165,-347.7663704401069,-0.26673126570566635,-0.2305739503362564,0.34858075018544377,0.6435264341897576,0.9572818844596939,0.7046292828028052
5400.036305183923,0.8849272733652261,-0.6065188189416824,-332.2255422757123,-308.3053186362592,-349.8542139635623,-0.5797658420341895,0.12165648931337805,0.33497308744874027,0.6478268636539104,0.9840335091722369,0.7635311309823676
5401.777433811989,0.8790201834765713,-0.6030097925066323,-337.21656150227494,-309.2819434637221,-348.44864922316503,0.08073250383969716,-0.03301199158007481,0.4060646113884789,0.6480144895434612,0.9914853511492134,0.7138312286450953
5411.199720956208,0.8933768196224414,-0.6213459666096433,-336.4536232587311,-309.46379202614986,-345.39891196103196,0.4315396267660674,-0.13115690714295092,0.42290299440877743,0.6469044890859136,0.9806712637502466,0.7061184185990564
5392.164547975518,0.9026942342334515,-0.5961842051678609,-331.52092387094814,-307.6786479098481,-344.4214782193723,0.31191571941381935,0.022609694232547245,0.1417412872206335,0.6569713840810838,0.9983240168527082,0.7144773408654466
5397.471207928223,0.8638105251895403,-0.6063315731572196,-335.14995498375475,-309.33494298571657,-348.4874081150647,0.5323641512100956,0.21879159989035069,0.3317739004571389,0.6484999327542108,0.9302868779770176,0.7092133915974351
5397.928671041207,0.9179416996902783,-0.5824176867262489,-333.1232188342777,-309.52331249002583,-345.9756723209799,0.3117577244519198,-0.10427871582588964,-0.13175506123671676,0.6840708876965207,1.010736091548691,0.7385311930150764
5391.104986392899,0.8948836734799317,-0.595594464217295,-335.87588377505085,-307.5070832010696,-349.77523507961644,-0.7063766771086603,0.026841537041925982,0.2824689685870486,0.6766437652396001,0.9914902313395331,0.6995261996037193
5399.179398888597,0.8801896971382621,-0.6074081834454986,-334.42168461724305,-309.16458074737005,-349.6335303592465,-0.1958545855342093,0.141189674415394,0.3922562937351466,0.6680083108716837,0.9801623215407785,0.723527860964204
5391.3531867919555,0.8955087398100021,-0.6225555932503047,-334.2839731307261,-307.6150821475859,-344.65624732440693,-0.6905801220853864,0.021079202372734474,0.22970284274835276,0.7070323019230815,0.9908570898450699,0.7242766150320683
5393.653462306545,0.9206698887233026,-0.63875323756968,-336.05479454785217,-307.77922168840524,-347.6611037642503,0.07421635487384604,-0.02226464858047973,0.4339107651762878,0.7084190268264839,1.0207064594530022,0.7632557649458938
