wavelength_A,flux,flux_err
3.93200000e+03,6.58309002e-18,
3.93400000e+03,4.68099606e-18,
3.93600000e+03,3.09505409e-17,
3.93800000e+03,3.71051451e-17,
3.94000000e+03,1.30521615e-17,
3.94200000e+03,1.44399480e-17,
3.94400000e+03,5.60060522e-19,
3.94600000e+03,6.14595112e-18,
3.94800000e+03,-1.10325777e-17,
3.95000000e+03,1.63716712e-17,
3.95200000e+03,7.95807389e-18,
3.95400000e+03,-4.28197654e-18,
3.95600000e+03,6.85970873e-18,
3.95800000e+03,1.53113845e-17,
3.96000000e+03,5.07578637e-17,
3.96200000e+03,4.06794554e-17,
3.96400000e+03,3.01848496e-17,
3.96600000e+03,5.78373155e-17,
3.96800000e+03,7.14292429e-17,
3.97000000e+03,2.93107711e-17,
3.97200000e+03,5.00994213e-17,
3.97400000e+03,3.34742127e-17,
3.97600000e+03,2.89754553e-17,
3.97800000e+03,2.21877600e-17,
3.98000000e+03,1.02312010e-17,
3.98200000e+03,1.29161109e-17,
3.98400000e+03,9.02038804e-18,
3.98600000e+03,-4.63462018e-18,
3.98800000e+03,1.48954301e-17,
3.99000000e+03,1.08911281e-17,
3.99200000e+03,4.27183531e-18,
3.99400000e+03,1.22760030e-17,
3.99600000e+03,3.33956285e-18,
3.99800000e+03,1.79332889e-17,
4.00000000e+03,-4.97778267e-18,
4.00200000e+03,2.95692833e-18,
4.00400000e+03,-5.17741196e-18,
4.00600000e+03,-5.05423484e-18,
4.00800000e+03,2.58453525e-17,
4.01000000e+03,1.20043089e-17,
4.01200000e+03,4.76056546e-18,
4.01400000e+03,1.02228406e-17,
4.01600000e+03,5.43566809e-18,
4.01800000e+03,7.72969677e-18,
4.02000000e+03,-2.64820508e-18,
4.02200000e+03,1.56966901e-17,
4.02400000e+03,-2.96216148e-18,
4.02600000e+03,1.12231030e-17,
4.02800000e+03,2.04964238e-17,
4.03000000e+03,5.80710486e-18,
4.03200000e+03,-4.93226954e-18,
4.03400000e+03,5.33443111e-18,
4.03600000e+03,-3.21852916e-18,
4.03800000e+03,-3.74631133e-18,
4.04000000e+03,1.24477315e-17,
4.04200000e+03,2.51967668e-17,
4.04400000e+03,1.08296388e-17,
4.04600000e+03,1.00690256e-17,
4.04800000e+03,-2.74995636e-18,
4.05000000e+03,1.30650547e-17,
4.05200000e+03,-5.76933207e-18,
4.05400000e+03,-4.43284932e-18,
4.05600000e+03,2.61912493e-18,
4.05800000e+03,2.36204733e-19,
4.06000000e+03,2.88109357e-17,
4.06200000e+03,3.78064884e-18,
4.06400000e+03,1.02223245e-19,
4.06600000e+03,2.72533657e-18,
4.06800000e+03,6.43424259e-18,
4.07000000e+03,-6.90200951e-19,
4.07200000e+03,-8.62425589e-19,
4.07400000e+03,6.98856672e-19,
4.07600000e+03,-5.30622921e-18,
4.07800000e+03,-1.13508929e-19,
4.08000000e+03,1.11716904e-17,
4.08200000e+03,9.18052028e-18,
4.08400000e+03,-2.31675836e-18,
4.08600000e+03,1.17573622e-18,
4.08800000e+03,5.09701042e-19,
4.09000000e+03,1.76971107e-17,
4.09200000e+03,-1.11680947e-17,
4.09400000e+03,3.36469114e-17,
4.09600000e+03,4.30021753e-17,
4.09800000e+03,4.05133311e-17,
4.10000000e+03,1.35291265e-16,
4.10200000e+03,8.92601335e-17,
4.10400000e+03,4.59114588e-17,
4.10600000e+03,3.57948811e-17,
4.10800000e+03,4.51829791e-18,
4.11000000e+03,4.05248231e-18,
4.11200000e+03,-2.43504581e-18,
4.11400000e+03,1.90020365e-18,
4.11600000e+03,5.20445456e-18,
4.11800000e+03,9.79550342e-18,
4.12000000e+03,5.09340267e-18,
4.12200000e+03,-2.76671235e-18,
4.12400000e+03,7.32054480e-19,
4.12600000e+03,-1.02208389e-17,
4.12800000e+03,-2.34272066e-18,
4.13000000e+03,1.64339066e-17,
4.13200000e+03,-2.73228530e-18,
4.13400000e+03,1.66205334e-17,
